Показатель,value_float
"Добыча никеля, тыс т",208.6
"Добыча меди, тыс т",425.4
"Добыча платины, тыс тр унц",664.0
"Добыча палладия, тыс тр унц",2692.0
"Выручка, млрд руб",1172.0
"Операционная прибыль, млрд руб",474.5
"EBITDA, млрд руб",589.6
"Чистая прибыль, млрд руб",210.7
"Чистая прибыль н/с, млрд руб",210.7
"Опер.денежный поток, млрд руб",495.4
"CAPEX, млрд руб",253.5
"FCF, млрд руб",164.9
"Див.выплата, млрд руб",139.9
"Дивиденд, руб/акцию",9.1533
"Див доход, ао, %",5.7
"Дивиденды/прибыль, %",66.0
"Опер. расходы, млрд руб",139.3
"Себестоимость, млрд руб",602.3
"Амортизация, млрд руб",99.4
"Расх на персонал, млрд руб",228.0
"Процентные расходы, млрд руб",59.8
"Активы, млрд руб",2115.0
"Чистые активы, млрд руб",573.7
"Долг, млрд руб",871.1
"Наличность, млрд руб",191.8
"Чистый долг, млрд руб",679.3
"Цена акции ао, руб",162.0
"Число акций ао, млн",15286.0
"Капитализация, млрд руб",2476.0
"EV, млрд руб",3155.0
"Баланс стоимость, млрд руб",552.4
"EPS, руб",13.8
"FCF/акцию, руб",10.8
"BV/акцию, руб",36.1
"Рентаб EBITDA, %",50.3
"Чистая рентаб, %",18.0
"Доходность FCF, %",6.7
"ROE, %",36.7
"ROA, %",10.0
P/E,11.8
P/FCF,15.0
P/S,2.11
P/BV,4.48
EV/EBITDA,5.35
Долг/EBITDA,1.15
"R&D/CAPEX, %",0.0
"CAPEX/Выручка, %",22.0
