date,"0,5","0,75",1,2,3,5,7,10,15,20,30
2025-04-22,"21,04","19,78","18,87","18,21","16,84","16,30","15,88","15,69","15,53","15,37","15,30"
2025-04-21,"20,88","19,83","19,03","18,41","17,02","16,42","15,92","15,70","15,50","15,32","15,23"
2025-04-18,"20,78","19,77","19,01","18,41","17,07","16,48","16,00","15,79","15,62","15,46","15,38"
2025-04-17,"21,15","19,66","18,66","17,98","16,75","16,28","15,87","15,68","15,54","15,44","15,40"
2025-04-16,"21,27","19,92","18,96","18,27","16,86","16,32","15,89","15,70","15,53","15,38","15,30"
2025-04-15,"21,13","19,93","19,05","18,40","17,02","16,47","16,02","15,83","15,66","15,49","15,41"
