secid,days_present,total_days,presence_percentage,is_continuous
XS1601094755,124,340,36.470588235294116,False
XS1760786340,124,340,36.470588235294116,False
XS2269280066,123,340,36.17647058823529,False
XS1960651641,122,340,35.88235294117647,False
XS2199713384,119,340,35.0,False
RU000A0JUQC5,118,340,34.705882352941174,False
RU000A0JUQ96,118,340,34.705882352941174,False
RU000A0JVVK6,116,340,34.11764705882353,False
RU000A0JUPW5,116,340,34.11764705882353,False
XS0810596832,113,340,33.23529411764706,False
RU000A0JVXZ0,103,340,30.294117647058822,False
RU000A0JVWA5,103,340,30.294117647058822,False
RU000A0JVXS5,103,340,30.294117647058822,False
RU000A0JVVT7,103,340,30.294117647058822,False
RU000A0JVVL4,103,340,30.294117647058822,False
RU000A0JVVP5,103,340,30.294117647058822,False
RU000A0JVW71,103,340,30.294117647058822,False
RU000A0JVWJ6,103,340,30.294117647058822,False
RU000A0JVWB3,103,340,30.294117647058822,False
RU000A0JVWD9,103,340,30.294117647058822,False
RU000A0JUMH3,101,340,29.705882352941178,False
RU000A0JVY04,95,340,27.941176470588236,False
XS2384174228,95,340,27.941176470588236,False
RU000A0JUML5,93,340,27.35294117647059,False
RU000A0JVZA8,92,340,27.058823529411764,False
RU000A0JVYG8,92,340,27.058823529411764,False
RU000A0JULA0,85,340,25.0,False
RU000A0JUL91,85,340,25.0,False
RU000A0JUL67,85,340,25.0,False
RU000A0JULC6,85,340,25.0,False
XS2281299763,81,340,23.823529411764703,False
XS2290820518,79,340,23.235294117647058,False
XS2099763075,78,340,22.941176470588236,False
RU000A107U99,75,340,22.058823529411764,False
RU000A0JUG56,74,340,21.764705882352942,False
XS2278534099,70,340,20.588235294117645,False
XS1843441731,69,340,20.294117647058822,False
XS2306607271,68,340,20.0,False
XS2307308069,68,340,20.0,False
XS2321534310,68,340,20.0,False
RU000A1059A6,67,340,19.705882352941178,False
XS2325565369,66,340,19.411764705882355,False
XS2325702459,66,340,19.411764705882355,False
BYM000001818,66,340,19.411764705882355,False
XS2328978999,65,340,19.11764705882353,False
XS2332228449,65,340,19.11764705882353,False
XS2328381756,65,340,19.11764705882353,False
XS2348718383,64,340,18.823529411764707,False
RU000A0JVZB6,64,340,18.823529411764707,False
XS2348717658,64,340,18.823529411764707,False
XS2353064335,62,340,18.235294117647058,False
XS2357422331,62,340,18.235294117647058,False
