,RU000A0JV0T3,RU000A0JUKX4,RU000A0JRJL7,RU000A0JUCA9,RU000A0JV0U1,RU000A0JRU20,RU000A0JRJB8,RU000A0JVCB5,RU000A0JU2L7,RU000A0JS4K9,RU000A0JUC92,RU000A0JR4U9,RU000A0JTYK4,RU000A0JUG98,RU000A0JUAG0,RU000A0JRU46,RU000A0JV4R9,RU000A0JSQ58,RU000A0JRZ74,RU000A0JS9X1,RU000A0JTZF1,RU000A0JVB19,RU000A0JU9K4,RU000A0JQAM6,RU000A0JTFB2,RU000A0JTW83,RU000A0JU7S1,KG000A3LSJ06,RU000A0JTU85,KG000A3LSC78,RU000A0JS4Z7,RU000A1037P0,RU000A0JUAH8,RU000A0JVNL1,RU000A0JT403,RU000A0ZZAL5,RU000A0JU0N7,RU000A0JTYJ6,RU000A0JU2K9,RU000A0JS4J1,RU000A0JUAN6,RU000A0JV755,RU000A0JT6B2,RU000A0JUAP1,RU000A0JTB96,RU000A0JSGV0,RU000A0JVB27,RU000A0JUT85,RU000A0JS4L7
2024-01-03,,0.26,4.8,,,9.33,11.24,,,,,,,,14.85,8.69,,9.38,,,,,,,,,,15.07,15.37,10.09,12.62,,10.59,,13.33,,11.07,,,,,,11.89,,,10.4,,,7.48
2024-01-04,,0.26,4.8,,,9.33,11.57,,,,,,,,14.85,8.69,,9.38,,,,,,,,,,15.08,14.08,10.09,13.09,,11.57,,13.45,,11.06,,,,,,12.07,,,12.24,,,7.48
2024-01-05,,0.26,4.8,,15.94,8.45,11.31,,,,,,,,12.74,8.69,,9.38,,,,,,,,,,15.08,13.41,10.09,12.66,,11.9,,13.45,,11.06,,,,,,12.07,,,12.41,,12.82,7.48
2024-01-08,,-0.7,4.79,,15.94,8.45,9.4,,,,,,,,14.02,8.69,,13.21,,,,,,,,,,15.08,13.98,15.52,12.75,,11.03,,13.55,,11.06,,,,,,11.02,,,11.91,,12.82,7.48
2024-01-09,,-0.7,5.95,,2.67,8.45,11.33,,,,,,,,12.66,43.06,,15.7,,,,,,,,,,15.07,15.39,10.07,12.75,,13.66,,13.82,,11.06,,,,,,11.02,,,12.4,,9.59,7.48
2024-01-10,,-1.14,4.8,,2.67,15.02,11.32,,,7.96,,,,,13.95,13.03,,14.67,,,,,,,,,,15.07,15.23,11.19,14.81,,13.68,,13.86,,14.85,,,,,,11.02,,21.81,12.51,,12.82,7.32
2024-01-11,,28.63,4.8,,16.48,15.02,10.91,,,7.96,,,,,14.3,13.03,,14.75,,,,,,,,,,15.07,14.1,11.77,13.64,,13.7,,13.93,,14.87,,,,,,14.88,,21.81,12.53,,9.67,7.32
2024-01-12,,28.63,3.53,,2.4,10.78,10.91,,,7.96,,,,,14.15,8.27,,14.84,,,,,,,,,,15.07,15.41,11.75,13.79,,13.78,,13.93,,14.96,,,,,,16.05,,21.81,12.53,,12.84,7.32
2024-01-15,,28.63,7.12,,2.4,9.83,11.09,,,7.96,,,,,14.15,13.23,,14.17,,,,,,,,,,15.08,14.46,11.75,13.69,,13.93,,13.93,,15.0,,,,,,14.67,,11.65,12.4,,9.64,7.32
2024-01-16,,28.63,7.12,,2.4,9.83,8.76,,,7.96,,,,,15.11,42.94,,14.2,16.58,,,,,,,,,15.08,14.46,11.75,13.72,,14.18,,14.5,,14.8,,,,,,14.72,,11.65,12.54,,9.64,7.32
