Полное наименование,Код ценной бумаги,"Цена, %","Объем сделок за n дней, шт.",Доходность,"Дюрация, месяцев",Месяцы выплат
ОФЗ-ПД 26223 28/02/24,SU26223RMFS6,97.785,13164818,11.8,5.66,––-02-––-––-––-––-––-––-––-––-––-––
ОФЗ-ПД 26227 17/07/24,SU26227RMFS7,96.695,4231636,11.76,10.1,01-––-––-––-––-––-07-––-––-––-––-––
ОФЗ-ПД 26222 16/10/24,SU26222RMFS8,95.5,2915365,11.71,12.73,––-––-––-04-––-––-––-––-––-10-––-––
Сбербанк ПАО 001Р-SBER17,RU000A1025U5,99.17,453176,12.49,1.6,––-––-––-––-––-––-––-––-––-10-––-––
Сбербанк ПАО 002Р-green01,RU000A103YM3,99.5,358299,12.14,2.0,––-––-––-––-––-––-––-––-––-––-11-––
Сбербанк ПАО 001Р-SBER33,RU000A103WV8,97.0,303553,12.11,13.56,––-––-––-––-05-––-––-––-––-––-11-––
ГК Самолет БО-П10,RU000A103L03,96.95,273258,13.16,11.1,––-02-––-––-05-––-––-08-––-––-11-––
Сбербанк ПАО 001Р-SBER19,RU000A102CU4,98.84,259632,12.74,2.23,––-––-––-––-––-––-––-––-––-––-11-––
Сбербанк ПАО 001Р-SBER15,RU000A101C89,98.11,191201,11.95,4.43,01-––-––-––-––-––-––-––-––-––-––-––
ГК Самолет БО-П09,RU000A102RX6,98.45,182927,13.24,5.23,––-02-––-––-––-––-––-––-––-––-––-––
Брусника 001P-02,RU000A102Y58,98.04,168369,13.98,6.56,01-––-––-04-––-––-––-––-––-10-––-––
Группа ЛСР ПАО БО 001Р-04,RU000A100WA8,97.55,73471,14.02,6.23,––-––-03-––-––-06-––-––-09-––-––--12
Банк ВТБ (ПАО) Б-1-320,RU000A106M25,99.65,73403,9.83,10.23,01-02-03-04-05-06-07-––-09-10-11--12
Сбербанк ПАО 001Р-SBER16,RU000A101QW2,95.85,69171,12.14,8.6,––-––-––-––-05-––-––-––-––-––-––--12
ГПБ (АО) БО-10,RU000A0JUV08,96.75,63936,11.86,11.96,––-––-03-––-––-––-––-––-09-––-––-––
ХК Новотранс 001P-01,RU000A1014S3,97.05,54914,13.73,8.36,––-02-––-––-05-––-––-08-––-––-11-––
Джи-групп 002P-01,RU000A103JR3,101.04,52006,12.87,3.03,––-02-––-––-05-––-––-08-––-––-11-––
Селектел 001P-01R,RU000A102SG9,98.16,49917,13.23,5.46,––-02-––-––-––-––-––-––-––-––-––-––
ИНАРКТИКА 001Р-01,RU000A102TT0,98.47,47844,13.26,5.9,––-––-03-––-––-––-––-––-––-––-––-––
АБЗ-1 001Р-01,RU000A102LW1,99.85,46530,13.53,1.96,––-––-––-––-––-––-––-––-09-––-––--12
Ритейл Бел Финанс 01,RU000A100JH0,98.87,45633,13.74,6.5,01-––-––-04-––-––-07-––-––-10-––-––
