Полное наименование,Код ценной бумаги,"Цена, %","Объем сделок за n дней, шт.",Доходность,"Дюрация, месяцев",Есть льгота?
ГК Сегежа 001P-01R,RU000A101D13,100.0,954355,7.22,26.93,true
Республика Беларусь 03,RU000A100D30,98.6,209227,9.59,21.6,true
ГК Пионер БО 001P-04,RU000A1016F5,98.05,174296,11.72,27.56,true
ХК Новотранс 001P-01,RU000A1014S3,100.1,161378,9.01,35.5,true
Республика Беларусь 04,RU000A100D63,98.6,141901,9.52,21.6,true
ГТЛК БО 001P-15,RU000A100Z91,101.35,132386,7.35,33.2,true
ДОМОДЕДОВО ФьюэлФ 001Р-01,RU000A0ZYM21,100.98,128355,7.81,25.43,true
МаксимаТелеком БО-П01,RU000A101XD8,100.76,126670,10.68,30.4,true
РОЛЬФ ООО БО 001Р-02,RU000A101GB7,99.78,96038,9.37,16.76,true
Ренессанс Страхование 001P-01R,RU000A100X69,100.7,87921,8.43,12.33,true
Вита Лайн 001Р-01,RU000A102200,100.6,60717,10.13,31.36,true
Обувь России 001P-01,RU000A100V61,101.63,58027,11.41,18.13,true
Первое кол.бюро НАО 001Р-01,RU000A1020S0,100.35,55141,13.44,24.23,true
ПР-Лизинг ООО БО 002Р-01,RU000A1022E6,100.05,51624,10.45,26.23,true
ЛЕГЕНДА БО 001P-02,RU000A101GW3,99.9,45193,11.53,19.86,true
Обувь России 001P-03,RU000A1021B4,101.13,36960,11.7,35.13,true
Калужская сбытовая комп 1P 01,RU000A0ZZYL5,100.06,34682,13.32,14.2,true
ПР-Лизинг ООО БО 001Р-02,RU000A0ZZX35,100.19,31637,10.72,14.3,true
ДФФ ООО БО 001Р-02,RU000A100J18,101.7,26337,7.79,20.23,true
Вита Лайн БО-01,RU000A101DU4,101.72,22239,10.43,15.9,true
Кредит Европа Банк АО 001Р-03,RU000A100X77,101.85,21444,8.19,23.0,true
ЭБИС БО-П03,RU000A102101,100.88,14623,13.22,29.86,true
Кировский завод 1P1,RU000A101S99,101.6,12757,7.88,8.8,true
Лизинг-Трейд 001P-01,RU000A101CB6,100.64,12366,13.0,20.26,true
АО ЭталонЛенСпецСМУ БО-001P-02,RU000A0ZYA66,101.76,11608,7.66,10.9,true
АВТОБАН-Финанс АО БО-П02,RU000A100733,101.29,10407,8.2,6.16,true
ПР-Лизинг ООО БО 001Р-01,RU000A0ZZFP5,100.5,8298,9.84,10.46,true
ФПК Гарант-Инвест БО 001P-07,RU000A101V37,101.0,5949,11.49,12.86,true
С-Инновации БО-П01,RU000A100HW3,101.27,3328,13.97,9.16,true
ЭБИС БО-П01,RU000A100VY0,101.66,2670,12.35,6.36,undefined
Банк ЗЕНИТ ПАО БО-001Р-05,RU000A1016K5,100.45,2092,7.72,14.63,true
ВСК САО БО-001P-01,RU000A0JXNB8,101.8,1558,7.16,6.63,true
ГК Самолет БО-П06,RU000A100QA0,100.45,1177,9.47,16.2,true
Трейдберри ООО БО-П01,RU000A100741,101.0,1001,13.65,6.13,true
ЮАИЗ БО 1-002,RU000A100Q92,100.54,525,10.04,21.36,true
ДОМ.РФ (АО) БО-08,RU000A0ZYFM5,101.0,19,7.49,13.56,true
Россельхозбанк (АО) обл.23,RU000A0JUAD7,100.0,0,9.03,13.53,false
ПАО НК Роснефть 002P-03,RU000A0ZYLG5,100.06,0,7.86,25.43,true
