Полное наименование,Код ценной бумаги,"Цена, %","Объем сделок за n дней, шт.",Доходность,"Дюрация, месяцев",Месяцы выплат
ГТЛК БО 001P-15,RU000A100Z91,99.76,390512,8.13,23.76,01-––-––-04-––-––-07-––-––-10-––-––
ФПК Гарант-Инвест БО 001P-05,RU000A1005T9,99.91,187589,12.56,17.36,01-––-––-04-––-––-07-––-––-10-––-––
Республика Беларусь 04,RU000A100D63,100.32,168062,8.43,11.4,––-02-––-––-––-––-––-08-––-––-––-––
Республика Беларусь 03,RU000A100D30,100.38,143033,8.38,11.4,––-02-––-––-––-––-––-08-––-––-––-––
ПИК-Корпорация 001Р-04,RU000A103C46,100.35,135955,8.21,21.06,––-––-03-04-––-06-07-––-09-10-––--12
АБЗ-1 001Р-01,RU000A102LW1,100.34,118637,12.19,18.96,––-––-03-––-––-06-––-––-09-––-––--12
ГруппаЧеркизово БО-001Р-02,RU000A1013Y3,99.36,113038,8.15,20.0,––-02-––-––-05-––-––-08-––-––-11-––
Ритейл Бел Финанс 01,RU000A100JH0,101.14,75630,10.76,23.0,01-––-––-04-––-––-07-––-––-10-––-––
Брусника 001P-01,RU000A101HU5,102.17,72316,9.31,13.4,––-––-03-––-––-06-––-––-09-––-––--12
СофтЛайн Трейд 001P-04,RU000A1029T9,100.82,71630,8.69,23.23,––-––-03-––-––-06-––-––-09-––-––--12
ПАО ЛК Европлан 001P-02,RU000A1034J0,99.37,59599,8.42,20.9,––-02-––-––-05-––-––-08-––-––-11-––
ПИК-Корпорация 001Р-03,RU000A1026C1,99.3,57445,8.15,18.46,––-––-03-––-––-06-––-––-09-––-––--12
ОР ООО 001P-01,RU000A100V61,101.17,54728,10.7,8.36,––-––-03-––-––-06-––-––-09-––-––--12
ГК Пионер БО 001P-04,RU000A1016F5,101.38,52453,9.96,18.76,––-––-03-––-––-06-––-––-09-––-––--12
ПР-Лизинг ООО БО 002Р-01,RU000A1022E6,100.48,51427,10.07,16.8,01-02-03-04-––-––-––-08-09-10-11--12
РЕСО-Лизинг ООО БО-П-06,RU000A100PE4,101.94,45117,8.25,22.26,01-02-––-––-––-––-––-08-––-––-––-––
КИВИ Финанс 001P-01,RU000A1028C7,99.68,44219,8.97,23.96,01-––-––-04-––-––-07-––-––-10-––-––
АО ЭР-Телеком Холдинг ПБО-04,RU000A1029P7,99.87,40763,8.15,13.73,01-––-––-04-––-––-07-––-––-10-––-––
ДОМОДЕДОВО ФьюэлФ 001Р-01,RU000A0ZYM21,100.1,37674,8.15,15.6,––-––-––-––-––-06-––-––-––-––-––--12
ТФН 01,RU000A102QY6,99.85,35400,12.65,20.93,––-02-––-––-05-––-––-08-––-––-11-––
Экспобанк БО-02,RU000A100YT4,99.58,34385,8.27,14.13,01-––-––-––-05-––-––-08-––-10-11-––
ОР ООО 001P-02,RU000A1015P6,100.72,31143,12.36,22.66,––-––-––-––-––-––-––-––-––-––-––-––
РОЛЬФ АО БО 001Р-02,RU000A101GB7,100.61,30451,8.35,6.13,––-02-––-––-––-––-––-08-––-––-11-––
ЛЕГЕНДА БО 001P-02,RU000A101GW3,101.6,26269,9.45,10.26,––-––-03-––-––-06-––-––-09-––-––--12
Кредит Европа Банк АО 001Р-03,RU000A100X77,101.3,24324,8.01,13.2,01-––-––-04-––-––-07-––-––-10-––-––
Онлайн Микрофинанс 03,RU000A102CZ3,101.07,21183,12.76,23.6,01-02-03-04-05-06-07-––-09-10-11--12
МигКредит 01К,RU000A103DA2,99.72,16471,13.24,20.2,01-02-03-04-05-06-07-08-09-10-11--12
АПРИ Флай Плэнинг АО БО-П04,RU000A102KR3,101.4,16164,12.74,21.06,––-––-03-––-––-06-––-––-09-––-––--12
ВсеИнструменты.ру ООО БО-01,RU000A0ZZXT0,100.22,15772,8.23,3.7,––-––-––-––-––-––-––-––-09-––-––--12
С-Инновации БО-П02,RU000A1037S4,101.38,13454,10.5,19.8,––-––-03-––-––-06-––-––-09-––-––--12
Лизинг-Трейд 001P-01,RU000A101CB6,101.08,11456,11.83,10.76,––-––-––-––-––-––-––-––-09-––-––-––
АПРИ Флай Плэнинг АО БО-П03,RU000A101178,102.3,9899,11.97,9.93,––-02-––-––-05-––-––-08-––-––-11-––
АО им. Т.Г. Шевченко 001P-01,RU000A100YP2,102.47,9419,11.53,13.33,01-––-––-04-––-––-07-––-––-10-––-––
АПРИ Флай Плэнинг АО БО-П02,RU000A100K64,102.2,7179,10.68,5.96,01-––-––-04-––-––-07-––-––-10-––-––
Онлайн Микрофинанс БО-02,RU000A101JF2,100.62,7041,11.77,6.53,––-––-––-––-––-––-––-––-09-10-11-––
