Полное наименование,Код ценной бумаги,"Цена, %","Объем сделок за n дней, шт.",Доходность,"Дюрация, месяцев",Месяцы выплат
ОФЗ-ПД 26223 28/02/24,SU26223RMFS6,97.8,19775421,12.04,5.33,––-02-––-––-––-––-––-––-––-––-––-––
ОФЗ-ПД 26222 16/10/24,SU26222RMFS8,95.36,4267850,11.92,12.4,––-––-––-04-––-––-––-––-––-10-––-––
ОФЗ-ПД 26227 17/07/24,SU26227RMFS7,96.681,3793164,11.98,9.76,01-––-––-––-––-––-07-––-––-––-––-––
Сбербанк ПАО 001Р-SBER15,RU000A101C89,98.2,232324,12.2,4.09,01-––-––-––-––-––-––-––-––-––-––-––
ГК Самолет БО-П10,RU000A103L03,97.24,213916,12.95,10.76,––-02-––-––-05-––-––-08-––-––-11-––
МВ ФИНАНС 001Р-01,RU000A103117,96.85,125111,17.64,6.66,––-––-––-04-––-––-––-––-––-10-––-––
ГК Самолет БО-П09,RU000A102RX6,98.83,118762,12.51,4.9,––-02-––-––-––-––-––-––-––-––-––-––
ХэндерсонБ01,RU000A103Q08,97.17,100666,14.78,10.1,––-––-03-––-––-06-––-––-09-––-––--12
Сбербанк ПАО 001Р-SBER16,RU000A101QW2,96.1,83529,11.98,8.26,––-––-––-––-05-––-––-––-––-––-––--12
Мобильные ТелеСистемы 001P-22,RU000A1051T3,96.8,66864,12.81,10.16,––-02-––-––-05-––-––-08-––-––-11-––
ГК Пионер БО 001P-05,RU000A102KG6,97.8,63254,13.55,8.76,––-––-03-––-––-06-––-––-09-––-––--12
РОСНАНО АО БО-002P-04,RU000A101KK0,95.09,56894,18.06,6.06,––-––-03-––-––-––-––-––-09-––-––--12
MT-FREE-02,RU000A102DK3,96.3,27358,16.38,7.8,––-––-––-––-05-––-––-––-––-––-11-––
