Полное наименование,Код ценной бумаги,"Цена, %","Объем сделок за n дней, шт.",Доходность,"Дюрация, месяцев",Месяцы выплат
Первое кол.бюро НАО БО-01,RU000A0JWWG0,102.26,82178,8.73,4.16,––-––-––-––-––-––-07-––-––-10-––-––
Республика Беларусь 03,RU000A100D30,100.95,64355,8.11,14.73,––-02-––-––-––-––-––-08-––-––-––-––
Брусника 001P-01,RU000A101HU5,102.3,53239,9.72,16.76,––-––-03-––-––-06-––-––-09-––-––--12
ОР ООО 001P-01,RU000A100V61,100.36,51138,12.2,11.86,––-––-03-––-––-06-––-––-09-––-––--12
Республика Беларусь 04,RU000A100D63,101.08,36361,8.02,14.73,––-02-––-––-––-––-––-08-––-––-––-––
ЛЕГЕНДА БО 001P-02,RU000A101GW3,101.63,32195,10.11,13.73,––-––-03-––-––-06-––-––-09-––-––--12
АЗБУКА_ВКУСА_БОП1,RU000A100HE1,101.95,22846,8.01,13.46,––-––-03-––-––-06-––-––-09-––-––--12
Лизинг-Трейд 001P-01,RU000A101CB6,100.7,17465,12.61,14.06,––-––-––-––-05-06-07-08-09-––-––-––
ЮниМетрикс 01,RU000A100T81,100.94,16129,12.41,14.86,––-––-––-––-05-––-––-––-––-––-––-––
ТрансФин-М ПАО 001P-04,RU000A0ZYEB1,100.36,15511,9.01,11.73,––-––-––-04-––-––-––-––-––-10-––-––
АО им. Т.Г. Шевченко 001P-01,RU000A100YP2,102.73,14848,12.06,16.66,01-––-––-04-––-––-07-––-––-10-––-––
ГК Самолет БО-П06,RU000A100QA0,100.89,12899,8.16,9.23,––-02-––-––-05-––-––-08-––-––-11-––
ЭБИС БО-П01,RU000A100VY0,102.2,12025,11.15,16.03,––-––-03-––-––-06-––-––-09-––-––--12
Вита Лайн БО-01,RU000A101DU4,101.04,11262,10.14,9.0,––-02-––-––-05-––-––-08-––-––-11-––
АПРИ Флай Плэнинг АО БО-П03,RU000A101178,102.21,10673,12.95,12.96,––-02-––-––-05-––-––-08-––-––-11-––
Атомстройкомплекс 01,RU000A100VS2,101.2,9195,9.12,5.16,––-––-03-––-––-––-––-––-09-––-––-––
Калужская сбытовая комп 1P 01,RU000A0ZZYL5,101.82,6365,10.32,7.33,––-––-––-––-––-06-––-––-––-––-––--12
ЗАО ЛК Роделен БО 001Р-02,RU000A100W29,101.23,5259,11.48,8.53,––-––-––-––-05-––-––-––-––-––-––-––
