Полное наименование,Код ценной бумаги,"Цена, %","Объем сделок за n дней, шт.",Доходность,"Дюрация, месяцев",Месяцы выплат
ОФЗ-ПД 26220 07/12/22,SU26220RMFS2,99.169,2804652,9.16,6.06,––-––-––-––-––-––-––-––-––-––-––--12
ОФЗ-ПД 26211 25/01/23,SU26211RMFS1,98.83,1010682,9.03,7.5,01-––-––-––-––-––-07-––-––-––-––-––
МТС-Банк ПАО 001P-01,RU000A1034T9,96.85,146927,10.89,11.43,––-––-––-––-05-––-––-––-––-––-11-––
Сбербанк ПАО БО 001Р-06R,RU000A0ZZ117,97.59,140487,10.06,11.3,––-––-––-––-05-––-––-––-––-––-11-––
Сбербанк ПАО 001Р-SBER22,RU000A102RQ0,97.06,133971,9.97,11.93,––-––-––-––-––-06-––-––-––-––-––--12
ГК Самолет БО-П08,RU000A101H43,99.37,105964,12.39,8.5,––-02-––-––-––-––-––-08-––-––-––-––
ПАО ЛК Европлан 001P-02,RU000A1034J0,95.45,98559,12.48,12.26,––-02-––-––-05-––-––-08-––-––-11-––
Сегежа Групп 001P-01R,RU000A101D13,97.65,90394,9.82,7.53,01-––-––-––-––-––-07-––-––-––-––-––
ДОМОДЕДОВО ФьюэлФ 001Р-01,RU000A0ZYM21,97.05,87553,13.01,6.26,––-––-––-––-––-06-––-––-––-––-––--12
Банк ВТБ (ПАО) Б-1-253,RU000A104C60,99.28,83585,10.3,6.5,––-––-––-––-––-06-––-––-09-––-––--12
ГруппаЧеркизово БО-001Р-02,RU000A1013Y3,97.3,80605,10.55,11.36,––-02-––-––-05-––-––-08-––-––-11-––
ФПК Гарант-Инвест БО 001P-05,RU000A1005T9,83.94,78337,38.21,11.23,01-––-––-04-––-––-07-––-––-10-––-––
Сбербанк ПАО БО 001P-16R,RU000A0ZZE20,98.46,76463,10.23,7.23,01-––-––-––-––-––-07-––-––-––-––-––
ГПБ (АО) БО 001Р-05Р,RU000A1002E8,99.63,72983,9.99,7.63,01-––-––-––-––-––-07-––-––-––-––-––
ПИК-Корпорация 001Р-04,RU000A103C46,96.55,67505,11.9,12.3,––-––-03-––-––-06-07-––-09-––-––--12
ПИК-Корпорация 001Р-03,RU000A1026C1,96.7,57468,12.01,9.46,––-––-03-––-––-06-––-––-09-––-––--12
АБЗ-1 001Р-01,RU000A102LW1,93.7,49999,19.61,10.36,––-––-03-––-––-06-––-––-09-––-––--12
ГосТранспортЛизингКомп 001P-04,RU000A0JXPG2,98.71,35098,12.01,10.03,––-––-––-––-––-––-––-––-––-––-––-––
Хакасия 2016 об.35006,RU000A0JWXQ7,101.01,23849,11.0,11.06,––-––-––-––-––-––-––-––-––-––-––-––
Магнит ПАО БО-003Р-05,RU000A1018X4,98.13,20926,9.75,6.36,––-––-––-––-––-06-––-––-––-––-––--12
