Полное наименование,Код ценной бумаги,"Цена, %","Объем сделок за n дней, шт.",Доходность,"Дюрация, месяцев",Месяцы выплат
ОФЗ-ПД 26211 25/01/23,SU26211RMFS1,98.893,820196,9.04,7.26,01-––-––-––-––-––-07-––-––-––-––-––
ФПК Гарант-Инвест БО 001P-05,RU000A1005T9,83.9,150413,35.43,11.06,01-––-––-04-––-––-07-––-––-10-––-––
Сбербанк ПАО 001Р-SBER22,RU000A102RQ0,97.21,135570,9.6,11.7,––-––-––-––-––-06-––-––-––-––-––--12
Сбербанк ПАО БО 001Р-06R,RU000A0ZZ117,97.85,110487,10.01,11.06,––-––-––-––-05-––-––-––-––-––-11-––
ГосТранспортЛизингКомп 001P-04,RU000A0JXPG2,98.46,108398,12.98,9.8,––-––-––-––-––-––-––-––-––-––-––-––
ДОМОДЕДОВО ФьюэлФ 001Р-01,RU000A0ZYM21,97.51,87267,14.66,6.03,––-––-––-––-––-06-––-––-––-––-––--12
ПИК-Корпорация 001Р-04,RU000A103C46,97.5,80337,11.44,12.06,––-––-03-––-––-06-07-––-09-––-––--12
Банк ВТБ (ПАО) Б-1-253,RU000A104C60,99.38,76940,10.2,6.26,––-––-––-––-––-06-––-––-09-––-––--12
Сегежа Групп 001P-01R,RU000A101D13,97.77,73515,11.28,7.3,01-––-––-––-––-––-07-––-––-––-––-––
ГК Самолет БО-П08,RU000A101H43,99.51,67114,11.41,8.3,––-02-––-––-––-––-––-08-––-––-––-––
ГПБ (АО) БО 001Р-05Р,RU000A1002E8,99.71,63998,9.8,7.4,01-––-––-––-––-––-07-––-––-––-––-––
АБЗ-1 001Р-01,RU000A102LW1,95.84,61757,18.59,10.16,––-––-03-––-––-06-––-––-09-––-––--12
Банк ВТБ (ПАО) Б-1-131,RU000A104UX6,100.16,54312,10.22,11.33,01-02-03-04-05-06-07-08-09-10-11--12
МТС-Банк ПАО 001P-01,RU000A1034T9,97.5,51375,11.0,11.2,––-––-––-––-05-––-––-––-––-––-11-––
Сбербанк ПАО БО 001P-16R,RU000A0ZZE20,98.63,43101,10.01,7.0,01-––-––-––-––-––-07-––-––-––-––-––
ПИК-Корпорация 001Р-03,RU000A1026C1,97.17,42033,11.88,9.23,––-––-03-––-––-06-––-––-09-––-––--12
ПАО ЛК Европлан 001P-02,RU000A1034J0,95.38,37497,13.01,12.0,––-02-––-––-05-––-––-08-––-––-11-––
МЭФ Московской обл. 2016,RU000A0JX0B9,100.75,32469,9.12,11.3,––-––-––-––-––-––-––-––-––-––-––-––
ВЭБ.РФ ПБО-001Р-17,RU000A100GY1,98.3,28454,9.69,11.7,––-––-––-––-––-06-––-––-––-––-––--12
Магнит ПАО БО-002Р-02,RU000A101MC3,97.3,25304,9.89,10.3,––-––-––-04-––-––-––-––-––-10-––-––
ГруппаЧеркизово БО-001Р-02,RU000A1013Y3,97.59,23411,10.74,11.13,––-02-––-––-05-––-––-08-––-––-11-––
Хакасия 2016 об.35006,RU000A0JWXQ7,101.43,17857,10.71,10.86,––-––-––-––-––-––-––-––-––-––-––-––
Позитив Текнолоджиз 001Р-01,RU000A101YV8,101.04,13191,10.44,8.56,01-––-––-04-––-––-07-––-––-10-––-––
ТФН 01,RU000A102QY6,95.91,11012,16.54,12.23,––-02-––-––-05-––-––-08-––-––-11-––
