Полное наименование,Код ценной бумаги,"Цена, %","Объем сделок за n дней, шт.",Доходность,"Дюрация, месяцев",Месяцы выплат
Русская Аквакультура 001Р-01,RU000A102TT0,100.1,345713,9.68,32.13,––-––-03-––-––-––-––-––-09-––-––-––
ГК Самолет БО-П09,RU000A102RX6,100.93,212527,8.86,31.63,––-02-––-––-––-––-––-08-––-––-––-––
ГК Пионер БО 001P-05,RU000A102KG6,99.93,204802,10.14,32.36,––-––-03-––-––-06-––-––-09-––-––--12
ФПК Гарант-Инвест БО 001P-05,RU000A1005T9,99.93,183488,12.55,19.2,01-––-––-04-––-––-07-––-––-10-––-––
ВИС ФИНАНС БО-П01,RU000A102952,99.98,158827,9.42,27.86,01-––-––-04-––-––-07-––-––-10-––-––
АБЗ-1 001Р-01,RU000A102LW1,100.3,154327,12.36,22.66,––-––-03-––-––-06-––-––-09-––-––--12
Селектел 001P-01R,RU000A102SG9,100.04,103236,8.66,32.06,––-02-––-––-––-––-––-08-––-––-––-––
ГК Пионер БО 001P-04,RU000A1016F5,101.64,91640,10.12,23.2,––-––-03-––-––-06-––-––-09-––-––--12
Аэрофьюэлз 001Р-01,RU000A102T97,100.65,78290,9.28,31.6,––-02-03-––-05-06-––-08-09-––-11--12
ХК Новотранс 001P-01,RU000A1014S3,101.52,76796,8.32,30.5,––-02-03-––-05-06-––-08-09-––-11--12
MT-FREE-02,RU000A102DK3,99.94,74166,9.99,33.06,––-––-––-––-05-––-––-––-––-––-11-––
Ритейл Бел Финанс 001P-01,RU000A101QF7,99.33,73214,10.01,35.86,––-02-03-––-05-06-––-08-09-––-11--12
Группа ЛСР ПАО БО 001Р-04,RU000A100WA8,101.5,71263,8.16,29.23,––-––-03-04-––-06-07-––-09-10-––--12
Бизнес-Недвижимость 001Р-01,RU000A1022G1,99.0,69709,8.45,30.83,––-02-––-––-05-––-––-08-––-––-11-––
КИВИ Финанс 001P-01,RU000A1028C7,99.7,69112,8.81,27.83,01-––-––-04-––-––-07-––-––-10-––-––
МаксимаТелеком БО-П01,RU000A101XD8,101.99,65486,10.03,25.36,01-––-––-––-––-––-07-––-––-––-––-––
ОР ООО 001P-04,RU000A102NK2,100.38,63039,11.38,34.7,01-02-03-04-05-06-07-08-09-10-11--12
Республика Беларусь 03,RU000A100D30,101.13,54607,8.09,15.9,––-02-––-––-––-––-––-08-––-––-––-––
СофтЛайн Трейд 001P-04,RU000A1029T9,100.59,49263,8.97,26.63,––-––-03-––-––-06-––-––-09-––-––--12
ОР ООО 001P-02,RU000A1015P6,101.46,44331,11.97,26.46,––-––-––-04-05-06-07-08-––-––-––-––
ЛЕГЕНДА БО 001P-02,RU000A101GW3,101.65,40176,10.29,14.86,––-––-03-––-––-06-––-––-09-––-––--12
ТФН 01,RU000A102QY6,99.9,35484,12.56,24.6,––-02-––-––-05-––-––-08-––-––-11-––
ВсеИнструменты.ру ООО БО-03,RU000A102M86,100.0,30269,9.29,29.53,––-––-03-––-––-06-––-––-09-––-––--12
ЯТЭК 001Р-01,RU000A102B48,100.8,29670,8.31,28.26,––-––-––-––-05-––-––-––-––-10-11-––
ПРОМОМЕД ДМ 001P-01,RU000A102LB5,100.49,27907,9.5,29.63,––-––-––-––-––-06-––-––-––-––-––--12
ОР ООО 001P-01,RU000A100V61,101.16,25024,11.35,12.66,––-––-03-––-––-06-––-––-09-––-––--12
Группа ЛСР ПАО БО 001Р-05,RU000A100ZL8,101.31,22387,8.11,30.16,01-––-––-04-––-––-07-––-––-10-––-––
Кредит Европа Банк АО 001Р-03,RU000A100X77,101.95,22253,8.03,17.46,01-––-––-04-––-––-07-––-––-10-––-––
Онлайн Микрофинанс 03,RU000A102CZ3,100.01,21495,13.24,27.26,01-02-03-04-05-06-07-08-09-10-11--12
ТрансФин-М ПАО 001P-04,RU000A0ZYEB1,100.1,19688,9.03,12.4,––-––-––-04-––-––-––-––-––-10-––-––
ТАЛАН-ФИНАНС БО 001Р-02,RU000A102US0,100.49,18815,10.62,29.0,––-––-03-––-––-06-––-––-09-––-––--12
ПР-Лизинг ООО БО 002Р-01,RU000A1022E6,100.97,18479,9.79,21.0,01-02-03-04-05-06-07-08-09-10-11--12
АПРИ Флай Плэнинг АО БО-П04,RU000A102KR3,100.24,17457,13.51,24.5,––-––-03-––-––-06-––-––-09-––-––--12
Вита Лайн 001Р-01,RU000A102200,100.6,17267,10.07,26.3,––-02-––-––-05-––-––-08-––-––-11-––
Концерн Покровский 001P-01,RU000A102S23,100.4,16404,9.95,30.93,––-02-––-––-05-––-––-08-––-––-11-––
МФК Займер - 01,RU000A102TL7,100.5,14908,13.31,29.6,01-02-03-04-05-06-07-08-09-10-11--12
ТД РКС-Сочи 002Р-01,RU000A102KQ5,100.27,14797,12.93,27.96,––-––-03-––-––-06-––-––-09-––-––--12
ОР ООО 001P-03,RU000A1021B4,101.38,12390,11.48,30.86,01-02-03-04-05-06-07-08-09-10-11--12
КБ Ренессанс Кредит БО-06,RU000A102RN7,99.44,12385,8.53,32.0,––-02-––-––-––-––-––-08-––-––-––-––
Кировский завод 1P2,RU000A102UZ5,100.32,8513,9.74,31.96,––-––-03-––-––-06-––-––-09-––-––--12
Лизинг-Трейд 001P-01,RU000A101CB6,101.79,6947,11.81,15.1,––-––-––-04-05-06-07-08-09-––-––-––
