Полное наименование,Код ценной бумаги,"Цена, %","Объем сделок за n дней, шт.",Доходность,"Дюрация, месяцев",Есть льгота?
Республика Беларусь 03,RU000A100D30,101.3,263555,8.14,22.73,True
Республика Беларусь 04,RU000A100D63,101.36,240976,8.14,22.73,True
ЛЕГЕНДА БО 001P-01,RU000A0ZZCV0,101.54,144511,11.18,6.4,True
РОЛЬФ ООО БО 001Р-02,RU000A101GB7,99.88,106353,9.38,17.53,True
Обувь России 001P-01,RU000A100V61,101.7,92318,11.39,19.26,True
ЛЕГЕНДА БО 001P-02,RU000A101GW3,99.93,71682,11.47,21.0,True
Ренессанс Страхование 001P-01R,RU000A100X69,100.74,70955,8.45,13.46,True
Первое кол.бюро НАО БО-01,RU000A0JWWG0,101.82,30489,13.67,8.0,False
