Полное наименование,Код ценной бумаги,"Цена, %","Объем сделок за n дней, шт.",Доходность,"Дюрация, месяцев",Месяцы выплат
Республика Беларусь 04,RU000A100D63,100.96,81608,7.94,16.23,––-02-––-––-––-––-––-08-––-––-––-––
РУСАЛ Братск БО-001P-03,RU000A100TF3,101.86,78634,7.14,17.46,––-––-03-––-––-––-––-08-09-––-––-––
ГК Самолет БО-П06,RU000A100QA0,100.99,72524,8.61,10.73,––-02-––-––-05-––-––-08-––-––-11-––
Республика Беларусь 03,RU000A100D30,100.97,58139,7.94,16.23,––-02-––-––-––-––-––-08-––-––-––-––
ОР ООО 001P-01,RU000A100V61,101.59,45400,10.83,13.0,––-––-03-––-––-06-––-––-09-––-––--12
Первое кол.бюро НАО БО-01,RU000A0JWWG0,101.85,40378,10.12,4.06,––-––-––-04-––-––-07-––-––-10-––-––
Ренессанс Страхование 001P-01R,RU000A100X69,100.53,38512,8.34,6.73,––-––-––-04-––-––-––-––-––-10-––-––
ЛЕГЕНДА БО 001P-02,RU000A101GW3,101.61,38290,9.81,14.83,––-––-03-––-––-06-––-––-09-––-––--12
РОЛЬФ ООО БО 001Р-02,RU000A101GB7,101.2,32900,7.8,11.23,––-02-––-––-05-––-––-08-––-––-11-––
ЮниМетрикс 01,RU000A100T81,100.94,25723,12.43,16.2,––-––-––-04-05-––-––-––-––-––-––-––
Вита Лайн БО-01,RU000A101DU4,101.92,20838,9.21,10.5,––-02-––-––-05-––-––-08-––-––-11-––
ТрансФин-М ПАО 001P-04,RU000A0ZYEB1,100.2,20619,8.98,12.73,––-––-––-04-––-––-––-––-––-10-––-––
АО ЭталонЛенСпецСМУ БО-001P-02,RU000A0ZYA66,101.77,18001,7.18,10.36,––-––-03-––-––-06-––-––-09-––-––--12
ВсеИнструменты.ру ООО БО-01,RU000A0ZZXT0,100.59,15462,8.36,8.86,––-––-––-––-––-06-––-––-09-––-––--12
Башкирская содовая комп. 1P-01,RU000A0ZYR18,101.3,11466,7.37,17.26,01-––-––-04-––-––-07-––-––-10-––-––
Лизинг-Трейд 001P-01,RU000A101CB6,101.56,11027,11.59,15.3,––-––-03-04-05-06-07-08-09-––-––-––
ЧЗПСН-Профнастил ПАО БО-П01,RU000A100DF7,101.69,10728,12.42,9.46,––-02-––-––-05-––-––-08-––-––-11-––
