Полное наименование,Код ценной бумаги,"Цена, %","Объем сделок за n дней, шт.",Доходность,"Дюрация, месяцев",Месяцы выплат
ФПК Гарант-Инвест БО 001P-05,RU000A1005T9,99.9,189682,12.5,17.6,01-––-––-04-––-––-07-––-––-10-––-––
ГруппаЧеркизово БО-001Р-02,RU000A1013Y3,99.35,180190,8.13,20.23,––-02-––-––-05-––-––-08-––-––-11-––
Республика Беларусь 03,RU000A100D30,100.23,170021,8.55,11.63,––-02-––-––-––-––-––-08-––-––-––-––
АБЗ-1 001Р-01,RU000A102LW1,100.24,157454,12.34,19.2,––-––-03-––-––-06-––-––-09-––-––--12
Республика Беларусь 04,RU000A100D63,100.23,153650,8.5,11.63,––-02-––-––-––-––-––-08-––-––-––-––
ПИК-Корпорация 001Р-04,RU000A103C46,100.4,133141,8.3,21.3,––-––-03-04-––-06-07-––-09-10-––--12
СофтЛайн Трейд 001P-04,RU000A1029T9,100.62,101068,8.76,23.43,––-––-03-––-––-06-––-––-09-––-––--12
ПР-Лизинг ООО БО 002Р-01,RU000A1022E6,100.51,82924,10.09,17.03,01-02-03-04-––-––-––-08-09-10-11--12
ПИК-Корпорация 001Р-03,RU000A1026C1,99.36,74753,8.16,18.7,––-––-03-––-––-06-––-––-09-––-––--12
Брусника 001P-01,RU000A101HU5,102.07,67108,9.55,13.63,––-––-03-––-––-06-––-––-09-––-––--12
ПАО ЛК Европлан 001P-02,RU000A1034J0,99.45,66489,8.35,21.13,––-02-––-––-05-––-––-08-––-––-11-––
Ритейл Бел Финанс 01,RU000A100JH0,101.18,64452,10.74,23.23,01-––-––-04-––-––-07-––-––-10-––-––
Джи-групп 001P-01,RU000A101TS4,102.6,56430,10.27,12.9,––-––-03-––-––-06-––-––-09-––-––--12
ОР ООО 001P-01,RU000A100V61,100.7,53687,11.55,8.6,––-––-03-––-––-06-––-––-09-––-––--12
РЕСО-Лизинг ООО БО-П-06,RU000A100PE4,101.67,49768,8.07,22.5,01-02-––-––-––-––-––-08-––-––-––-––
АО ЭР-Телеком Холдинг ПБО-04,RU000A1029P7,100.0,44584,8.14,13.96,01-––-––-04-––-––-07-––-––-10-––-––
ГК Пионер БО 001P-04,RU000A1016F5,101.25,41314,9.96,19.0,––-––-03-––-––-06-––-––-09-––-––--12
Сэтл-Групп ООО БО-001P-01,RU000A0ZYEQ9,101.33,39659,8.03,8.5,01-––-––-04-––-––-07-––-––-10-––-––
РОЛЬФ ООО БО 001Р-02,RU000A101GB7,100.51,38514,8.38,6.36,––-02-––-––-––-––-––-08-––-––-11-––
ДОМОДЕДОВО ФьюэлФ 001Р-01,RU000A0ZYM21,100.38,35766,8.05,15.83,––-––-––-––-––-06-––-––-––-––-––--12
ОР ООО 001P-02,RU000A1015P6,100.56,31957,12.24,22.9,––-––-––-––-––-––-––-––-––-––-––-––
ЛЕГЕНДА БО 001P-02,RU000A101GW3,101.34,30945,9.83,10.5,––-––-03-––-––-06-––-––-09-––-––--12
Респ.Марий Эл 2017обл.08,RU000A0JY031,101.2,30128,8.01,18.96,––-02-––-––-05-––-––-08-––-––-11-––
Онлайн Микрофинанс 03,RU000A102CZ3,100.75,26223,12.74,23.6,01-02-03-04-05-06-07-08-09-10-11--12
ВсеИнструменты.ру ООО БО-01,RU000A0ZZXT0,100.39,25931,8.26,3.93,––-––-––-––-––-––-––-––-09-––-––--12
Кредит Европа Банк АО 001Р-03,RU000A100X77,101.35,23244,8.03,13.43,01-––-––-04-––-––-07-––-––-10-––-––
ТФН 01,RU000A102QY6,99.91,22702,12.58,21.16,––-02-––-––-05-––-––-08-––-––-11-––
Башкирская содовая комп. 1P-01,RU000A0ZYR18,100.36,19350,8.04,12.76,01-––-––-04-––-––-07-––-––-10-––-––
АПРИ Флай Плэнинг АО БО-П04,RU000A102KR3,101.26,18217,12.85,21.3,––-––-03-––-––-06-––-––-09-––-––--12
С-Инновации БО-П02,RU000A1037S4,100.9,18189,10.8,20.03,––-––-03-––-––-06-––-––-09-––-––--12
Лизинг-Трейд 001P-01,RU000A101CB6,101.14,10759,11.77,10.9,––-––-––-––-––-––-––-08-09-––-––-––
МигКредит 01К,RU000A103DA2,99.61,9755,13.13,20.43,01-02-03-04-05-06-07-08-09-10-11--12
АПРИ Флай Плэнинг АО БО-П03,RU000A101178,102.06,9208,11.94,9.83,––-02-––-––-05-––-––-08-––-––-11-––
АО им. Т.Г. Шевченко 001P-01,RU000A100YP2,102.41,8577,11.79,13.56,01-––-––-04-––-––-07-––-––-10-––-––
АПРИ Флай Плэнинг АО БО-П02,RU000A100K64,102.29,5462,10.88,6.2,01-––-––-04-––-––-07-––-––-10-––-––
Онлайн Микрофинанс БО-02,RU000A101JF2,100.74,5386,11.66,6.76,––-––-––-––-––-––-––-––-09-10-11-––
