Полное наименование,Код ценной бумаги,"Цена, %","Объем сделок за n дней, шт.",Доходность,"Дюрация, месяцев",Месяцы выплат
ГТЛК БО 001P-15,RU000A100Z91,99.81,754539,8.08,23.7,01-––-––-04-––-––-07-––-––-10-––-––
ФПК Гарант-Инвест БО 001P-05,RU000A1005T9,99.96,179156,12.52,17.3,01-––-––-04-––-––-07-––-––-10-––-––
ПИК-Корпорация 001Р-04,RU000A103C46,100.3,123851,8.26,21.0,––-––-03-04-––-06-07-––-09-10-––--12
Республика Беларусь 04,RU000A100D63,100.3,113181,8.42,11.33,––-02-––-––-––-––-––-08-––-––-––-––
АБЗ-1 001Р-01,RU000A102LW1,100.17,111871,12.3,18.89,––-––-03-––-––-06-––-––-09-––-––--12
ГруппаЧеркизово БО-001Р-02,RU000A1013Y3,99.35,101140,8.14,19.93,––-02-––-––-05-––-––-08-––-––-11-––
Республика Беларусь 03,RU000A100D30,100.4,88248,8.35,11.33,––-02-––-––-––-––-––-08-––-––-––-––
Ритейл Бел Финанс 01,RU000A100JH0,100.86,78274,10.86,22.93,01-––-––-04-––-––-07-––-––-10-––-––
Брусника 001P-01,RU000A101HU5,102.01,76286,9.42,13.33,––-––-03-––-––-06-––-––-09-––-––--12
ГК Самолет БО-П08,RU000A101H43,103.97,65922,8.34,16.8,––-02-03-––-––-––-––-08-––-––-––-––
СофтЛайн Трейд 001P-04,RU000A1029T9,100.93,62997,8.69,23.16,––-––-03-––-––-06-––-––-09-––-––--12
Сегежа Групп 001P-01R,RU000A101D13,98.99,59012,8.01,16.83,01-––-––-––-––-––-07-––-––-––-––-––
ГК Пионер БО 001P-04,RU000A1016F5,101.39,58051,9.94,18.7,––-––-03-––-––-06-––-––-09-––-––--12
ПИК-Корпорация 001Р-03,RU000A1026C1,99.23,57422,8.11,18.39,––-––-03-––-––-06-––-––-09-––-––--12
Джи-групп 001P-01,RU000A101TS4,103.15,57390,9.64,12.63,––-––-03-––-––-06-––-––-09-––-––--12
ПАО ЛК Европлан 001P-02,RU000A1034J0,99.37,56555,8.42,21.23,––-02-––-––-05-––-––-08-––-––-11-––
ГК Самолет БО-П07,RU000A100YG1,104.59,55922,8.18,13.33,01-––-––-04-––-––-07-––-––-10-––-––
ОР ООО 001P-01,RU000A100V61,100.84,52688,10.57,8.3,––-––-03-––-––-06-––-––-09-––-––--12
Первое кол.бюро НАО 001Р-01,RU000A1020S0,104.07,45732,10.16,15.23,––-02-––-––-05-––-––-08-––-––-11-––
ДОМОДЕДОВО ФьюэлФ 001Р-01,RU000A0ZYM21,100.13,45142,8.08,15.53,––-––-––-––-––-06-––-––-––-––-––--12
ПР-Лизинг ООО БО 002Р-01,RU000A1022E6,100.38,43533,10.13,16.73,01-02-03-04-––-––-––-08-09-10-11--12
КИВИ Финанс 001P-01,RU000A1028C7,99.64,42628,8.87,23.9,01-––-––-04-––-––-07-––-––-10-––-––
ТФН 01,RU000A102QY6,99.86,42159,12.61,20.86,––-02-––-––-05-––-––-08-––-––-11-––
АО ЭР-Телеком Холдинг ПБО-04,RU000A1029P7,99.98,30971,8.14,13.66,01-––-––-04-––-––-07-––-––-10-––-––
ОР ООО 001P-02,RU000A1015P6,100.81,28340,12.18,22.6,––-––-––-––-––-––-––-––-––-––-––-––
ЛЕГЕНДА БО 001P-02,RU000A101GW3,101.53,27289,9.94,10.19,––-––-03-––-––-06-––-––-09-––-––--12
Онлайн Микрофинанс 03,RU000A102CZ3,100.94,19575,12.57,23.53,01-02-03-04-05-06-07-––-09-10-11--12
РЕСО-Лизинг ООО БО-П-06,RU000A100PE4,101.74,19396,8.22,22.2,01-02-––-––-––-––-––-08-––-––-––-––
АПРИ Флай Плэнинг АО БО-П04,RU000A102KR3,101.51,15936,12.71,21.0,––-––-03-––-––-06-––-––-09-––-––--12
ТАЛАН-ФИНАНС БО 001Р-01,RU000A100AA4,103.0,15646,10.34,7.8,01-––-––-04-––-––-––-––-––-10-––-––
ВсеИнструменты.ру ООО БО-01,RU000A0ZZXT0,100.37,14920,8.23,3.63,––-––-––-––-––-––-––-––-09-––-––--12
Хакасия 2016 об.35006,RU000A0JWXQ7,104.73,11323,8.04,14.63,––-––-––-––-––-––-––-––-––-10-––-––
АО им. Т.Г. Шевченко 001P-01,RU000A100YP2,102.41,10259,11.64,13.26,01-––-––-04-––-––-07-––-––-10-––-––
ОбъединениеАгроЭлита БО-П03,RU000A100CG7,104.56,8621,11.68,21.13,––-––-––-––-––-––-––-––-––-––-––-––
МФК Быстроденьги 001P-01,RU000A101483,103.87,8255,11.45,9.36,––-––-––-––-––-––-––-––-––-––-––-––
