Полное наименование,Код ценной бумаги,"Цена, %","Объем сделок за n дней, шт.",Доходность,"Дюрация, месяцев",Месяцы выплат
ОФЗ-ПД 26234 16/07/2025,SU26234RMFS3,90.223,4190532,16.91,11.13,01-––-––-––-––-––-07-––-––-––-––-––
ОФЗ-ПД 26229 12/11/25,SU26229RMFS3,90.07,835284,16.67,14.56,––-––-––-––-05-––-––-––-––-––-11-––
ООО «СФО ВТБ РКС-1 »,RU000A1032P1,87.31,826575,23.9,12.26,––-––-––-––-––-––-––-––-––-––-––-––
ГК Самолет БО-П13,RU000A107RZ0,93.35,742526,21.83,16.03,01-02-03-04-05-06-07-08-09-10-11--12
Сбербанк ПАО 001Р-SBER42,RU000A105SD9,95.85,491331,17.54,6.46,––-––-03-––-––-––-––-––-09-––-––-––
Уралкалий ПАО ПБО-06-P,RU000A101GZ6,93.99,271232,19.48,6.36,––-02-––-––-––-––-––-08-––-––-––-––
МВ ФИНАНС 001Р-03,RU000A104ZK2,93.89,185176,20.92,10.9,01-––-––-04-––-––-07-––-––-10-––-––
ГК Самолет БО-П12,RU000A104YT6,95.58,175361,20.0,10.5,01-––-––-04-––-––-07-––-––-10-––-––
Эталон-Финанс АО БО-П03,RU000A103QH9,90.56,167061,20.5,12.1,––-––-03-––-––-06-––-––-09-––-––--12
Сэтл-Групп ООО БО 002P-03,RU000A1084B2,93.7,160927,22.11,17.16,01-02-03-04-05-06-07-08-09-10-11--12
ФПК Гарант-Инвест БО 002Р-08,RU000A107TR3,97.26,142087,21.13,15.9,01-02-03-04-05-06-07-08-09-10-11--12
КАМАЗ ПАО БО-П11,RU000A107MM9,97.4,104808,17.87,16.03,01-––-––-04-––-––-07-––-––-10-––-––
Борец Капитал 001Р-01,RU000A105ZX2,90.66,87159,20.1,17.6,––-––-03-––-––-06-––-––-09-––-––--12
ЕвроТранс БО-001Р-01,RU000A105PP9,93.13,87024,20.52,14.73,––-––-––-––-––-––-––-08-––-––-––-––
Интерлизинг 001Р-06,RU000A106SF2,91.2,84514,22.59,15.16,––-02-––-––-05-––-––-08-––-––-11-––
Интерлизинг 001Р-07,RU000A1077X0,95.35,82733,22.43,13.23,01-02-03-04-05-06-07-08-09-10-11--12
Джи-групп 002P-03,RU000A106Z38,94.0,70237,22.19,15.23,––-––-03-04-––-06-07-––-09-10-––--12
Селектел 001P-04R,RU000A1089J4,96.97,62687,18.52,17.73,01-02-03-04-05-06-07-08-09-10-11--12
АБЗ-1 001P-05,RU000A1070X5,91.15,62412,22.77,16.39,01-02-03-04-05-06-––-08-09-10-11--12
Республика Беларусь 07,RU000A100D89,93.07,60946,20.01,8.46,––-––-––-––-05-––-––-––-––-10-––-––
Балтийский лизинг ООО БО-П08,RU000A106EM8,93.05,55335,22.52,9.63,01-02-––-––-––-––-––-08-09-10-11--12
ГЛОРАКС 001Р-02,RU000A108132,96.24,53031,21.73,16.73,01-02-03-04-05-06-07-08-09-10-11--12
Ритейл Бел Финанс 001P-02,RU000A102TR4,89.48,52722,19.96,17.33,––-––-03-––-––-06-––-––-09-––-––--12
ВУШ БО 001P-01,RU000A104WS2,95.65,49791,19.99,9.96,––-––-03-––-––-06-––-––-09-––-––--12
ОФЗ-АД 46023 23/07/26,SU46023RMFS6,92.577,46446,15.52,13.43,––-––-––-––-––-––-––-––-––-––-––-––
АПРИ ПАО БО-П05,RU000A104WA0,100.4,36062,22.82,8.16,––-––-03-––-––-06-––-––-09-––-––--12
ЭР-Телеком Холдинг ПБО-02-03,RU000A106JV8,94.03,32160,20.5,10.53,01-––-––-04-––-––-07-––-––-10-––-––
