Полное наименование,Код ценной бумаги,"Цена, %","Объем сделок за n дней, шт.",Доходность,"Дюрация, месяцев",Месяцы выплат
РСГ-Финанс ООО обл. БО-7,RU000A0JXN13,102.11,637713,9.56,10.16,––-––-––-04-––-––-––-––-––-10-––-––
Тинькофф Банк БО 001Р-02R,RU000A1008B1,101.87,252312,7.02,10.16,––-––-03-––-––-––-––-––-09-––-––-––
ОКЕЙ ООО БО 001Р-02,RU000A1009Z8,101.67,73551,7.69,10.56,01-––-––-04-––-––-07-––-––-10-––-––
РУСАЛ Братск БО-001P-03,RU000A100TF3,101.1,71365,7.24,15.13,––-––-03-––-––-––-––-08-09-––-––-––
Группа ЛСР ПАО БО 001Р-03,RU000A0ZYBV5,101.53,44636,7.5,10.53,––-––-03-––-––-06-––-––-09-––-––--12
Тинькофф Банк БО 001Р-03R,RU000A100V79,101.6,42536,7.28,15.56,––-––-03-––-––-––-––-––-09-––-––-––
ЮниМетрикс 01,RU000A100T81,100.86,28078,12.32,14.16,––-––-––-––-––-––-––-––-––-––-––-––
МОСТОТРЕСТ ПАО 07 обл.,RU000A0JWN63,99.99,26569,9.44,13.1,01-––-––-––-––-––-07-––-––-––-––-––
ЛЕГЕНДА БО 001P-03,RU000A101YD6,102.71,26556,9.29,8.46,––-02-––-––-05-––-––-08-––-––-11-––
Кредит Европа Банк АО 001Р-03,RU000A100X77,102.07,23719,7.69,15.83,01-––-––-04-––-––-07-––-––-10-––-––
РУСАЛ Братск БО-001P-01,RU000A100BB0,101.79,23498,7.4,11.03,––-––-––-04-––-––-––-––-––-10-––-––
РУСАЛ Братск БО-001P-04,RU000A1011C3,100.26,22610,7.3,17.13,––-02-––-––-05-––-––-08-––-––-11-––
ДФФ ООО БО 001Р-02,RU000A100J18,101.82,22260,7.22,12.86,––-––-03-––-––-06-07-––-09-––-––--12
АФК Система БО 001P-09,RU000A1005L6,102.2,22088,7.26,9.23,––-02-03-––-––-––-––-08-09-––-––-––
Балтийский лизинг ООО БО-П02,RU000A100JE7,101.46,19282,7.28,8.19,01-––-––-04-––-––-07-––-––-10-––-––
Экспобанк БО-02,RU000A100YT4,100.2,18528,7.71,16.83,01-––-––-––-05-––-07-08-––-10-11-––
Совкомбанк БО-П02,RU000A101MB5,98.67,17457,7.37,16.73,01-––-––-04-––-––-07-––-––-10-––-––
ГК Самолет БО-П06,RU000A100QA0,101.21,15301,8.0,8.6,––-02-––-––-05-––-––-08-––-––-11-––
ТЕХНО Лизинг 001P-02,RU000A100RS0,102.14,14230,11.68,12.0,––-02-––-––-05-––-––-08-––-––-11-––
ТрансФин-М ПАО 001P-04,RU000A0ZYEB1,100.18,13267,8.84,10.9,––-––-––-04-––-––-––-––-––-10-––-––
