Полное наименование,Код ценной бумаги,"Цена, %","Объем сделок за n дней, шт.",Доходность,"Дюрация, месяцев",Месяцы выплат
ГТЛК БО 001P-15,RU000A100Z91,99.71,739013,8.05,23.56,01-––-––-04-––-––-07-––-––-10-––-––
ФПК Гарант-Инвест БО 001P-05,RU000A1005T9,100.0,170145,12.53,17.16,01-––-––-04-––-––-07-––-––-10-––-––
ПИК-Корпорация 001Р-04,RU000A103C46,100.38,127269,8.2,20.86,––-––-03-04-––-06-07-––-09-10-––--12
АБЗ-1 001Р-01,RU000A102LW1,100.4,112846,12.19,18.76,––-––-03-––-––-06-––-––-09-––-––--12
ГруппаЧеркизово БО-001Р-02,RU000A1013Y3,99.53,100927,8.14,19.8,––-02-––-––-05-––-––-08-––-––-11-––
Республика Беларусь 04,RU000A100D63,100.3,86040,8.44,11.2,––-02-––-––-––-––-––-08-––-––-––-––
Брусника 001P-01,RU000A101HU5,102.1,72634,9.38,13.2,––-––-03-––-––-06-––-––-09-––-––--12
ГК Самолет БО-П08,RU000A101H43,104.13,71830,8.31,16.66,––-02-03-––-––-––-––-08-––-––-––-––
Ритейл Бел Финанс 01,RU000A100JH0,100.95,65960,11.02,22.8,01-––-––-04-––-––-07-––-––-10-––-––
Республика Беларусь 03,RU000A100D30,100.46,59723,8.32,11.2,––-02-––-––-––-––-––-08-––-––-––-––
Сегежа Групп 001P-01R,RU000A101D13,98.99,57858,8.04,16.7,01-––-––-––-––-––-07-––-––-––-––-––
СофтЛайн Трейд 001P-04,RU000A1029T9,100.8,56668,8.7,23.03,––-––-03-––-––-06-––-––-09-––-––--12
ГК Пионер БО 001P-04,RU000A1016F5,101.39,50862,10.04,18.56,––-––-03-––-––-06-––-––-09-––-––--12
ОР ООО 001P-01,RU000A100V61,101.01,48404,10.75,8.16,––-––-03-––-––-06-––-––-09-––-––--12
ДОМОДЕДОВО ФьюэлФ 001Р-01,RU000A0ZYM21,100.22,48339,8.17,15.4,––-––-––-––-––-06-––-––-––-––-––--12
ГК Самолет БО-П07,RU000A100YG1,104.45,47958,8.2,13.2,01-––-––-04-––-––-07-––-––-10-––-––
КИВИ Финанс 001P-01,RU000A1028C7,99.61,46043,8.9,23.76,01-––-––-04-––-––-07-––-––-10-––-––
ПИК-Корпорация 001Р-03,RU000A1026C1,99.29,44608,8.11,18.26,––-––-03-––-––-06-––-––-09-––-––--12
Джи-групп 001P-01,RU000A101TS4,103.06,43542,9.55,12.5,––-––-03-––-––-06-––-––-09-––-––--12
ТФН 01,RU000A102QY6,99.9,42557,12.58,20.73,––-02-––-––-05-––-––-08-––-––-11-––
Первое кол.бюро НАО 001Р-01,RU000A1020S0,104.04,42390,10.07,15.1,––-02-––-––-05-––-––-08-––-––-11-––
ПР-Лизинг ООО БО 002Р-01,RU000A1022E6,100.5,40672,10.06,16.73,01-02-03-04-––-––-––-––-09-10-11--12
ПАО ЛК Европлан 001P-02,RU000A1034J0,99.36,30433,8.43,21.1,––-02-––-––-05-––-––-08-––-––-11-––
ЛЕГЕНДА БО 001P-02,RU000A101GW3,101.1,28051,10.4,10.03,––-––-03-––-––-06-––-––-09-––-––--12
АО ЭР-Телеком Холдинг ПБО-04,RU000A1029P7,99.97,27256,8.18,13.53,01-––-––-04-––-––-07-––-––-10-––-––
ОР ООО 001P-02,RU000A1015P6,100.9,24928,12.22,22.46,––-––-––-––-––-––-––-––-––-––-––-––
Онлайн Микрофинанс БО-01,RU000A100CT0,100.64,22859,12.37,8.66,––-02-––-––-05-––-––-––-––-––-11-––
Онлайн Микрофинанс 03,RU000A102CZ3,101.06,20544,12.68,23.4,01-02-03-04-05-06-07-––-09-10-11--12
РЕСО-Лизинг ООО БО-П-06,RU000A100PE4,101.56,17602,8.23,22.06,01-02-––-––-––-––-––-08-––-––-––-––
АПРИ Флай Плэнинг АО БО-П04,RU000A102KR3,101.67,16811,12.75,20.86,––-––-03-––-––-06-––-––-09-––-––--12
Хакасия 2016 об.35006,RU000A0JWXQ7,104.54,16686,8.08,14.5,––-––-––-––-––-––-––-––-––-10-––-––
ТАЛАН-ФИНАНС БО 001Р-01,RU000A100AA4,103.06,15610,10.22,7.66,01-––-––-04-––-––-––-––-––-10-––-––
ВсеИнструменты.ру ООО БО-01,RU000A0ZZXT0,100.24,13219,8.7,3.5,––-––-––-––-––-––-––-––-09-––-––--12
АО им. Т.Г. Шевченко 001P-01,RU000A100YP2,102.37,10070,11.8,13.13,01-––-––-04-––-––-07-––-––-10-––-––
МФК Быстроденьги 001P-01,RU000A101483,104.23,9659,11.69,10.03,––-––-––-––-––-––-––-––-––-––-––-––
ОбъединениеАгроЭлита БО-П03,RU000A100CG7,104.8,8057,11.63,21.0,––-––-––-––-––-––-––-––-––-––-––-––
