Полное наименование,Код ценной бумаги,Нужна квалификация?,"Цена, %","Объем сделок за n дней, шт.",Доходность,"Дюрация, месяцев",Месяцы выплат
ОФЗ-ПК 29006 29/01/25,SU29006RMFS2,нет,100.052,3038185,17.54,5.63,01-––-––-––-––-––-––-––-––-––-––-––
ОФЗ-ПД 26234 16/07/2025,SU26234RMFS3,нет,90.265,2982713,17.09,11.1,01-––-––-––-––-––-07-––-––-––-––-––
Сбербанк ПАО 001Р-SBER33,RU000A103WV8,нет,98.06,657084,17.76,3.13,––-––-––-––-––-––-––-––-––-––-11-––
ОФЗ-ПД 26229 12/11/25,SU26229RMFS3,нет,90.1,514640,17.0,14.53,––-––-––-––-05-––-––-––-––-––-11-––
Уралкалий ПАО ПБО-06-P,RU000A101GZ6,нет,94.2,262851,19.1,6.33,––-02-––-––-––-––-––-08-––-––-––-––
МВ ФИНАНС 001Р-03,RU000A104ZK2,нет,94.04,177895,20.83,10.86,01-––-––-04-––-––-07-––-––-10-––-––
СОПФ Инфраструктурные обл 1,RU000A103RD6,нет,97.78,163742,17.35,3.13,––-––-––-––-––-––-––-––-––-––-11-––
Сбербанк ПАО 001Р-SBER42,RU000A105SD9,нет,95.85,155581,18.01,6.43,––-––-03-––-––-––-––-––-09-––-––-––
ГК Самолет БО-П12,RU000A104YT6,нет,95.64,153103,19.86,10.46,01-––-––-04-––-––-07-––-––-10-––-––
ФПК Гарант-Инвест БО 002Р-08,RU000A107TR3,нет,97.48,127649,21.42,15.86,01-02-03-04-05-06-07-08-09-10-11--12
Эталон-Финанс АО БО-П03,RU000A103QH9,нет,90.62,120712,20.54,12.06,––-––-03-––-––-06-––-––-09-––-––--12
ФПК Гарант-Инвест БО 002Р-07,RU000A106SK2,нет,96.6,92152,26.6,6.8,01-02-03-04-05-06-07-08-09-10-11--12
КАМАЗ ПАО БО-П11,RU000A107MM9,нет,96.97,84394,18.4,15.96,01-––-––-04-––-––-07-––-––-10-––-––
Интерлизинг 001Р-07,RU000A1077X0,нет,95.63,81754,22.25,13.2,01-02-03-04-05-06-07-08-09-10-11--12
Борец Капитал 001Р-01,RU000A105ZX2,нет,90.73,75662,20.22,17.56,––-––-03-––-––-06-––-––-09-––-––--12
Интерлизинг 001Р-06,RU000A106SF2,нет,91.25,70550,22.25,15.13,––-02-––-––-05-––-––-08-––-––-11-––
Джи-групп 002P-03,RU000A106Z38,нет,93.99,67857,21.37,15.23,––-––-03-04-––-06-07-––-09-10-––--12
ЕвроТранс БО-001Р-01,RU000A105PP9,нет,93.61,62987,21.06,14.66,01-02-03-04-05-06-07-08-09-10-11--12
Селектел 001P-04R,RU000A1089J4,нет,97.45,60576,18.28,17.7,01-02-03-04-05-06-07-08-09-10-11--12
Республика Беларусь 07,RU000A100D89,нет,93.01,58154,20.04,8.43,––-––-––-––-05-––-––-––-––-10-––-––
АБЗ-1 001P-05,RU000A1070X5,нет,91.5,54659,22.6,16.36,01-02-03-04-05-06-07-08-09-10-11--12
МТС-Банк ПАО 001P-02,RU000A1051U1,нет,92.75,54134,19.42,11.33,01-––-––-––-05-––-––-08-––-––-11-––
ПИК-Корпорация 001Р-02,RU000A1016Z3,нет,97.34,53635,17.56,3.93,––-––-––-––-––-––-––-––-09-––-––--12
Республика Кыргызстан 02,KG000A3LSJ06,нет,95.8,48684,18.6,15.1,––-––-03-––-––-06-––-––-09-––-––--12
ГЛОРАКС 001Р-02,RU000A108132,нет,97.02,48257,21.35,16.7,01-02-03-04-05-06-07-08-09-10-11--12
Софтлайн 002Р-01,RU000A106A78,нет,91.68,48214,19.76,16.6,––-02-––-––-05-––-––-08-––-––-11-––
ВУШ БО 001P-01,RU000A104WS2,нет,95.57,43831,20.16,9.93,––-––-03-––-––-06-––-––-09-––-––--12
ЭР-Телеком Холдинг ПБО-02-03,RU000A106JV8,нет,94.19,33365,20.79,10.5,01-––-––-04-––-––-07-––-––-10-––-––
ОФЗ-АД 46023 23/07/26,SU46023RMFS6,нет,92.917,32500,15.56,13.4,01-––-––-––-––-––-07-––-––-––-––-––
