Полное наименование,Код ценной бумаги,"Цена, %","Объем сделок за n дней, шт.",Доходность,"Дюрация, месяцев",Месяцы выплат
ПАО ЛК Европлан 001P-02,RU000A1034J0,99.43,285226,8.34,21.33,––-02-––-––-05-––-––-08-––-––-11-––
ФПК Гарант-Инвест БО 001P-05,RU000A1005T9,99.88,185895,12.6,17.8,01-––-––-04-––-––-07-––-––-10-––-––
ГруппаЧеркизово БО-001Р-02,RU000A1013Y3,99.35,177068,8.13,20.43,––-02-––-––-05-––-––-08-––-––-11-––
АБЗ-1 001Р-01,RU000A102LW1,99.99,167127,12.52,19.39,––-––-03-––-––-06-––-––-09-––-––--12
Республика Беларусь 03,RU000A100D30,100.2,139222,8.47,11.83,––-02-––-––-––-––-––-08-––-––-––-––
ПИК-Корпорация 001Р-04,RU000A103C46,100.43,135815,8.21,21.5,––-––-03-04-––-06-07-––-09-10-––--12
АО ЭР-Телеком Холдинг ПБО-04,RU000A1029P7,100.0,101856,8.11,14.16,01-––-––-04-––-––-07-––-––-10-––-––
СофтЛайн Трейд 001P-04,RU000A1029T9,100.45,98944,8.88,23.63,––-––-03-––-––-06-––-––-09-––-––--12
ПР-Лизинг ООО БО 002Р-01,RU000A1022E6,100.51,95680,10.08,17.23,01-02-03-04-––-––-––-08-09-10-11--12
Республика Беларусь 04,RU000A100D63,100.19,81079,8.61,11.83,––-02-––-––-––-––-––-08-––-––-––-––
Ритейл Бел Финанс 01,RU000A100JH0,101.2,61309,10.76,23.43,01-––-––-04-––-––-07-––-––-10-––-––
ПИК-Корпорация 001Р-03,RU000A1026C1,99.35,59764,8.07,18.89,––-––-03-––-––-06-––-––-09-––-––--12
Брусника 001P-01,RU000A101HU5,102.06,52998,9.35,13.83,––-––-03-––-––-06-––-––-09-––-––--12
ГК Пионер БО 001P-04,RU000A1016F5,101.33,50776,10.15,19.2,––-––-03-––-––-06-––-––-09-––-––--12
ОР ООО 001P-01,RU000A100V61,100.3,43841,12.1,8.8,––-––-03-––-––-06-––-––-09-––-––--12
ДОМОДЕДОВО ФьюэлФ 001Р-01,RU000A0ZYM21,100.14,41645,8.14,16.03,––-––-––-––-––-06-––-––-––-––-––--12
РОЛЬФ ООО БО 001Р-02,RU000A101GB7,100.6,40413,8.11,6.56,––-02-––-––-––-––-––-08-––-––-11-––
ЛЕГЕНДА БО 001P-02,RU000A101GW3,101.21,35395,9.93,10.7,––-––-03-––-––-06-––-––-09-––-––--12
ОР ООО 001P-02,RU000A1015P6,100.44,34056,12.43,23.06,––-––-––-––-––-––-––-––-––-––-––-––
Джи-групп 001P-01,RU000A101TS4,102.85,31651,10.25,13.1,––-––-03-––-––-06-––-––-09-––-––--12
Онлайн Микрофинанс 03,RU000A102CZ3,100.53,25872,12.9,23.8,01-02-03-04-05-06-07-08-09-10-11--12
Респ.Марий Эл 2017обл.08,RU000A0JY031,101.15,25403,8.1,19.16,––-02-––-––-05-––-––-08-––-––-11-––
Кредит Европа Банк АО 001Р-03,RU000A100X77,101.35,22378,8.1,13.63,01-––-––-04-––-––-07-––-––-10-––-––
ВсеИнструменты.ру ООО БО-01,RU000A0ZZXT0,100.29,22120,8.34,4.13,––-––-––-––-––-––-––-––-09-––-––--12
АПРИ Флай Плэнинг АО БО-П04,RU000A102KR3,101.02,19253,13.03,21.5,––-––-03-––-––-06-––-––-09-––-––--12
С-Инновации БО-П02,RU000A1037S4,100.84,16169,10.88,20.23,––-––-03-––-––-06-––-––-09-––-––--12
Лизинг-Трейд 001P-01,RU000A101CB6,100.97,16095,11.93,11.1,––-––-––-––-––-––-––-08-09-––-––-––
ТФН 01,RU000A102QY6,99.86,15085,12.62,20.76,––-02-––-––-05-––-––-08-––-––-11-––
АО им. Т.Г. Шевченко 001P-01,RU000A100YP2,102.29,11761,11.87,13.76,01-––-––-04-––-––-07-––-––-10-––-––
МигКредит 01К,RU000A103DA2,99.48,10549,13.33,20.39,01-02-03-04-05-06-07-08-09-10-11--12
АПРИ Флай Плэнинг АО БО-П03,RU000A101178,102.1,10147,12.37,10.03,––-02-––-––-05-––-––-08-––-––-11-––
Мясничий БО-П03,RU000A1006B5,102.95,7270,11.49,14.43,––-––-––-––-––-––-––-––-––-––-––-––
АПРИ Флай Плэнинг АО БО-П01,RU000A1003E6,102.96,6060,9.73,5.63,––-––-––-––-––-––-––-––-––-––-––-––
АПРИ Флай Плэнинг АО БО-П02,RU000A100K64,102.29,5588,11.35,6.4,01-––-––-04-––-––-07-––-––-10-––-––
