Полное наименование,Код ценной бумаги,"Цена, %","Объем сделок за n дней, шт.",Доходность,"Дюрация, месяцев",Месяцы выплат
Русская Аквакультура 001Р-01,RU000A102TT0,100.49,400100,9.58,31.86,––-––-03-––-––-––-––-––-09-––-––-––
ГК Самолет БО-П09,RU000A102RX6,100.91,262065,8.87,31.36,––-02-––-––-––-––-––-08-––-––-––-––
ФПК Гарант-Инвест БО 001P-05,RU000A1005T9,100.04,241031,12.52,18.96,01-––-––-04-––-––-07-––-––-10-––-––
ГК Пионер БО 001P-05,RU000A102KG6,100.0,228824,10.12,32.9,––-––-03-––-––-06-––-––-09-––-––--12
АБЗ-1 001Р-01,RU000A102LW1,100.25,212407,12.39,23.06,––-––-03-––-––-06-––-––-09-––-––--12
ВИС ФИНАНС БО-П01,RU000A102952,99.7,205902,9.43,27.6,01-––-––-04-––-––-07-––-––-10-––-––
Селектел 001P-01R,RU000A102SG9,100.19,103172,8.59,31.8,––-02-––-––-––-––-––-08-––-––-––-––
ХК Новотранс 001P-01,RU000A1014S3,101.5,96764,8.21,30.23,––-02-03-––-05-06-––-08-09-––-11--12
Группа ЛСР ПАО БО 001Р-04,RU000A100WA8,101.45,94216,8.11,28.96,––-––-03-04-––-06-07-––-09-10-––--12
Аэрофьюэлз 001Р-01,RU000A102T97,100.59,92589,9.35,31.33,––-02-03-––-05-06-––-08-09-––-11--12
MT-FREE-02,RU000A102DK3,99.98,91815,10.0,32.79,––-––-––-––-05-––-––-––-––-––-11-––
КИВИ Финанс 001P-01,RU000A1028C7,99.59,76919,8.66,27.56,01-––-––-04-––-––-07-––-––-10-––-––
ГК Пионер БО 001P-04,RU000A1016F5,101.68,76390,9.95,22.96,––-––-03-––-––-06-––-––-09-––-––--12
СофтЛайн Трейд 001P-04,RU000A1029T9,100.7,74400,8.86,27.36,––-––-03-––-––-06-––-––-09-––-––--12
ОР ООО 001P-04,RU000A102NK2,100.29,71847,11.57,34.43,01-02-03-04-05-06-07-08-09-10-11--12
ОР ООО 001P-02,RU000A1015P6,100.23,70049,12.68,26.13,––-––-––-04-05-06-07-08-––-––-––-––
МаксимаТелеком БО-П01,RU000A101XD8,101.87,65056,10.04,25.1,01-––-––-––-––-––-07-––-––-––-––-––
ОР ООО 001P-01,RU000A100V61,100.0,56587,12.5,12.76,––-––-03-––-––-06-––-––-09-––-––--12
Бизнес-Недвижимость 001Р-01,RU000A1022G1,98.9,53697,8.57,30.56,––-02-––-––-05-––-––-08-––-––-11-––
Ритейл Бел Финанс 001P-01,RU000A101QF7,99.69,52395,9.92,35.63,––-02-03-––-05-06-––-08-09-––-11--12
ЛЕГЕНДА БО 001P-02,RU000A101GW3,101.8,51293,9.75,14.63,––-––-03-––-––-06-––-––-09-––-––--12
ТАЛАН-ФИНАНС БО 001Р-02,RU000A102US0,100.7,42566,10.62,28.76,––-––-03-––-––-06-––-––-09-––-––--12
ЯТЭК 001Р-01,RU000A102B48,100.99,42488,8.25,28.03,––-––-––-––-05-––-––-––-––-10-11-––
ВсеИнструменты.ру ООО БО-03,RU000A102M86,100.0,41997,9.28,29.93,––-––-03-––-––-06-––-––-09-––-––--12
ПР-Лизинг ООО БО 002Р-01,RU000A1022E6,100.53,41238,10.04,20.9,01-02-03-04-05-06-07-08-09-10-11--12
Онлайн Микрофинанс 03,RU000A102CZ3,100.22,33985,13.16,27.0,01-02-03-04-05-06-07-08-09-10-11--12
Вита Лайн 001Р-01,RU000A102200,100.74,32748,9.94,26.03,––-02-––-––-05-––-––-08-––-––-11-––
ТФН 01,RU000A102QY6,99.97,30871,12.56,24.33,––-02-––-––-05-––-––-08-––-––-11-––
АПРИ Флай Плэнинг АО БО-П04,RU000A102KR3,100.8,27297,13.27,25.03,––-––-03-––-––-06-––-––-09-––-––--12
ПРОМОМЕД ДМ 001P-01,RU000A102LB5,100.62,24967,9.41,29.36,––-––-––-––-––-06-––-––-––-––-––--12
Кировский завод 1P2,RU000A102UZ5,100.6,24613,9.64,31.73,––-––-03-––-––-06-––-––-09-––-––--12
МФК ЦФП Об-01,RU000A102T55,100.87,23048,13.95,28.96,01-02-03-04-05-06-07-08-09-10-11--12
Элемент Лизинг БО 001P-03,RU000A102VW0,99.82,21188,8.62,23.53,––-––-03-––-––-06-––-––-09-––-––--12
ТД РКС-Сочи 002Р-01,RU000A102KQ5,100.66,17263,12.74,28.56,––-––-03-––-––-06-––-––-09-––-––--12
ТрансФин-М ПАО 001P-04,RU000A0ZYEB1,100.03,16878,9.02,12.13,––-––-––-04-––-––-––-––-––-10-––-––
АПРИ Флай Плэнинг АО БО-П03,RU000A101178,101.95,15704,12.99,13.86,––-02-––-––-05-––-––-08-––-––-11-––
ОР ООО 001P-03,RU000A1021B4,100.99,14247,11.91,30.56,01-02-03-04-05-06-07-08-09-10-11--12
ВИС ФИНАНС БО-П02,RU000A102VK5,100.1,11327,9.44,32.13,––-02-03-––-05-––-––-08-––-––-11-––
Лизинг-Трейд 001P-01,RU000A101CB6,101.38,9362,11.82,14.83,––-––-––-04-05-06-07-08-09-––-––-––
