Полное наименование,Код ценной бумаги,"Цена, %","Объем сделок за n дней, шт.",Доходность,"Дюрация, месяцев",Месяцы выплат
ОФЗ-ПД 26227 17/07/24,SU26227RMFS7,99.44,1398201,8.12,12.16,01-––-––-––-––-––-07-––-––-––-––-––
ПАО НК Роснефть БО-05,RU000A0JUCS1,100.05,551713,8.49,5.5,––-––-––-––-––-––-––-––-––-––-––--12
Сбербанк ПАО 001Р-SBER17,RU000A1025U5,99.26,265835,8.3,4.06,––-––-––-––-––-––-––-––-––-10-––-––
Сбербанк ПАО 001Р-SBER16,RU000A101QW2,97.79,246059,8.35,11.06,––-––-––-––-05-––-––-––-––-––-––--12
Сбербанк ПАО 001Р-SBER15,RU000A101C89,98.99,236400,8.33,6.7,01-––-––-––-––-––-07-––-––-––-––-––
ГК Самолет БО-П09,RU000A102RX6,99.94,198322,9.43,7.43,––-02-––-––-––-––-––-08-––-––-––-––
Сбербанк ПАО 002Р-green01,RU000A103YM3,100.33,176190,8.33,4.46,––-––-––-––-––-––-––-––-––-––-11-––
Группа ЛСР ПАО БО 001Р-04,RU000A100WA8,98.35,150634,11.44,8.56,––-––-03-––-––-06-––-––-09-––-––--12
Сбербанк ПАО 001Р-SBER19,RU000A102CU4,99.16,147141,8.23,4.7,––-––-––-––-––-––-––-––-––-––-11-––
РЕСО-Лизинг ООО БО-П-06,RU000A100PE4,99.99,138233,8.57,1.1,––-––-––-––-––-––-––-08-––-––-––-––
АБЗ-1 001Р-01,RU000A102LW1,100.62,123057,11.08,4.46,––-––-––-––-––-––-––-––-09-––-––--12
МВ ФИНАНС 001Р-01,RU000A103117,100.89,121857,9.89,9.5,––-––-––-04-––-––-––-––-––-10-––-––
ГК Пионер БО 001P-04,RU000A1016F5,100.3,112710,9.34,4.0,––-––-––-––-––-––-––-––-09-––-––--12
ПИК-Корпорация 001Р-02,RU000A1016Z3,98.97,97601,9.92,11.16,––-––-03-––-––-06-––-––-09-––-––--12
ГПБ (АО) БО 001Р-13Р,RU000A100VR4,99.85,85503,8.3,3.1,––-––-––-––-––-––-––-––-09-––-––-––
ГК Пионер БО 001P-05,RU000A102KG6,98.25,61725,12.44,9.93,––-––-03-––-––-06-––-––-09-––-––--12
Синара Транспортные Машины 1P1,RU000A1035D0,98.98,53396,9.7,10.76,––-––-––-––-05-––-––-––-––-––-11-––
Банк ВТБ (ПАО) Б-1-318,RU000A105ZN3,100.1,48299,8.19,8.66,01-02-03-––-––-––-07-08-09-10-11--12
КИВИ Финанс 001P-01,RU000A1028C7,99.79,45746,9.55,3.36,––-––-––-––-––-––-07-––-––-10-––-––
Софтлайн 001P-04,RU000A1029T9,99.59,42144,10.65,5.83,––-––-––-––-––-––-––-––-09-––-––--12
Брусника 001P-02,RU000A102Y58,99.43,41652,10.96,8.8,01-––-––-04-––-––-07-––-––-10-––-––
ИНАРКТИКА 001Р-01,RU000A102TT0,100.0,33752,9.8,8.1,––-––-03-––-––-––-––-––-09-––-––-––
ОКЕЙ ООО БО 001Р-03,RU000A1014B9,98.49,26589,10.45,9.23,––-02-––-––-05-––-––-08-––-––-11-––
