Полное наименование,Код ценной бумаги,"Цена, %","Объем сделок за n дней, шт.",Доходность,"Дюрация, месяцев",Месяцы выплат
Респ.Марий Эл 2017обл.08,RU000A0JY031,101.24,197605,8.08,20.43,––-02-––-––-05-––-––-08-––-––-11-––
ФПК Гарант-Инвест БО 001P-05,RU000A1005T9,100.1,145611,12.51,17.43,01-––-––-04-––-––-07-––-––-10-––-––
АБЗ-1 001Р-01,RU000A102LW1,100.1,124804,12.5,20.66,––-––-03-––-––-06-––-––-09-––-––--12
Республика Беларусь 03,RU000A100D30,100.35,84826,8.52,12.63,––-02-––-––-––-––-––-08-––-––-––-––
Республика Беларусь 04,RU000A100D63,100.37,54003,8.52,12.63,––-02-––-––-––-––-––-08-––-––-––-––
ГК Пионер БО 001P-04,RU000A1016F5,101.68,45320,9.9,20.5,––-––-03-––-––-06-––-––-09-––-––--12
ОР ООО 001P-01,RU000A100V61,100.26,38296,12.28,10.06,––-––-03-––-––-06-––-––-09-––-––--12
ПР-Лизинг ООО БО 002Р-01,RU000A1022E6,100.43,37777,10.16,18.36,01-02-03-04-––-––-07-08-09-10-11--12
ЛЕГЕНДА БО 001P-02,RU000A101GW3,101.27,36697,10.19,11.93,––-––-03-––-––-06-––-––-09-––-––--12
АО ЛК Европлан 001P-02,RU000A1034J0,99.79,32662,8.28,22.6,––-02-––-––-05-––-––-08-––-––-11-––
РОЛЬФ ООО БО 001Р-02,RU000A101GB7,100.53,29074,8.14,7.83,––-02-––-––-––-––-––-08-––-––-11-––
ОР ООО 001P-02,RU000A1015P6,100.35,27890,12.54,23.9,––-––-––-––-––-––-07-08-––-––-––-––
Республика Карелия 35018,RU000A0ZYCZ4,100.39,20492,8.13,16.16,––-02-––-––-05-––-––-08-––-––-11-––
ТФН 01,RU000A102QY6,99.99,18086,12.48,22.03,––-02-––-––-05-––-––-08-––-––-11-––
С-Инновации БО-П02,RU000A1037S4,100.56,17670,11.03,21.5,––-––-03-––-––-06-––-––-09-––-––--12
АПРИ Флай Плэнинг АО БО-П04,RU000A102KR3,101.1,16418,13.04,22.76,––-––-03-––-––-06-––-––-09-––-––--12
Сэтл-Групп ООО БО-001P-01,RU000A0ZYEQ9,101.49,13910,8.03,8.36,01-––-––-04-––-––-07-––-––-10-––-––
Лизинг-Трейд 001P-01,RU000A101CB6,100.85,11288,12.31,12.23,––-––-––-––-––-––-07-08-09-––-––-––
