Полное наименование,Код ценной бумаги,"Цена, %","Объем сделок за n дней, шт.",Доходность,"Дюрация, месяцев",Месяцы выплат
Русская Аквакультура 001Р-01,RU000A102TT0,100.03,419103,9.54,32.0,––-––-03-––-––-––-––-––-09-––-––-––
ГК Пионер БО 001P-05,RU000A102KG6,99.95,242898,10.13,33.03,––-––-03-––-––-06-––-––-09-––-––--12
ГК Самолет БО-П09,RU000A102RX6,100.87,225707,8.85,31.5,––-02-––-––-––-––-––-08-––-––-––-––
ВИС ФИНАНС БО-П01,RU000A102952,99.63,199059,9.41,27.73,01-––-––-04-––-––-07-––-––-10-––-––
ФПК Гарант-Инвест БО 001P-05,RU000A1005T9,100.0,180274,12.53,19.1,01-––-––-04-––-––-07-––-––-10-––-––
АБЗ-1 001Р-01,RU000A102LW1,100.2,167591,12.41,22.53,––-––-03-––-––-06-––-––-09-––-––--12
Селектел 001P-01R,RU000A102SG9,99.98,114052,8.65,31.93,––-02-––-––-––-––-––-08-––-––-––-––
Группа ЛСР ПАО БО 001Р-04,RU000A100WA8,101.4,98127,8.15,29.06,––-––-03-04-––-06-07-––-09-10-––--12
ХК Новотранс 001P-01,RU000A1014S3,101.3,93932,8.48,30.36,––-02-03-––-05-06-––-08-09-––-11--12
Аэрофьюэлз 001Р-01,RU000A102T97,100.51,92465,9.32,31.46,––-02-03-––-05-06-––-08-09-––-11--12
MT-FREE-02,RU000A102DK3,100.0,82691,9.99,32.93,––-––-––-––-05-––-––-––-––-––-11-––
ГК Пионер БО 001P-04,RU000A1016F5,101.59,82604,9.92,23.1,––-––-03-––-––-06-––-––-09-––-––--12
ОР ООО 001P-04,RU000A102NK2,100.26,78630,11.4,34.56,01-02-03-04-05-06-07-08-09-10-11--12
КИВИ Финанс 001P-01,RU000A1028C7,99.72,76081,8.9,27.7,01-––-––-04-––-––-07-––-––-10-––-––
Бизнес-Недвижимость 001Р-01,RU000A1022G1,99.04,71926,8.57,30.7,––-02-––-––-05-––-––-08-––-––-11-––
Ритейл Бел Финанс 001P-01,RU000A101QF7,99.36,69491,9.99,35.73,––-02-03-––-05-06-––-08-09-––-11--12
СофтЛайн Трейд 001P-04,RU000A1029T9,100.12,65259,8.96,26.5,––-––-03-––-––-06-––-––-09-––-––--12
МаксимаТелеком БО-П01,RU000A101XD8,101.93,63204,10.02,25.23,01-––-––-––-––-––-07-––-––-––-––-––
ОР ООО 001P-02,RU000A1015P6,101.45,49365,12.25,26.3,––-––-––-04-05-06-07-08-––-––-––-––
ЛЕГЕНДА БО 001P-02,RU000A101GW3,101.45,48374,9.99,14.76,––-––-03-––-––-06-––-––-09-––-––--12
ЯТЭК 001Р-01,RU000A102B48,100.7,40403,8.27,28.16,––-––-––-––-05-––-––-––-––-10-11-––
ТАЛАН-ФИНАНС БО 001Р-02,RU000A102US0,100.86,39060,10.6,28.9,––-––-03-––-––-06-––-––-09-––-––--12
ТФН 01,RU000A102QY6,99.96,37113,12.56,24.46,––-02-––-––-05-––-––-08-––-––-11-––
ВсеИнструменты.ру ООО БО-03,RU000A102M86,99.98,35078,9.31,29.4,––-––-03-––-––-06-––-––-09-––-––--12
Группа ЛСР ПАО БО 001Р-05,RU000A100ZL8,101.12,28864,8.03,30.0,01-––-––-04-––-––-07-––-––-10-––-––
ПР-Лизинг ООО БО 002Р-01,RU000A1022E6,100.94,28540,9.98,21.03,01-02-03-04-05-06-07-08-09-10-11--12
Онлайн Микрофинанс 03,RU000A102CZ3,100.0,27290,13.14,27.13,01-02-03-04-05-06-07-08-09-10-11--12
ПРОМОМЕД ДМ 001P-01,RU000A102LB5,100.47,26539,9.43,29.5,––-––-––-––-––-06-––-––-––-––-––--12
ОР ООО 001P-01,RU000A100V61,101.39,26074,11.58,12.9,––-––-03-––-––-06-––-––-09-––-––--12
АПРИ Флай Плэнинг АО БО-П04,RU000A102KR3,100.56,23379,13.31,25.16,––-––-03-––-––-06-––-––-09-––-––--12
Кировский завод 1P2,RU000A102UZ5,100.28,21157,9.7,31.83,––-––-03-––-––-06-––-––-09-––-––--12
ТрансФин-М ПАО 001P-04,RU000A0ZYEB1,100.1,20903,9.04,12.26,––-––-––-04-––-––-––-––-––-10-––-––
АВТОБАН-Финанс АО БО-П02,RU000A100733,97.6,20899,8.62,33.23,––-––-03-––-––-––-––-––-09-––-––-––
ТД РКС-Сочи 002Р-01,RU000A102KQ5,100.55,20013,12.84,28.7,––-––-03-––-––-06-––-––-09-––-––--12
Вита Лайн 001Р-01,RU000A102200,100.5,19971,9.97,26.16,––-02-––-––-05-––-––-08-––-––-11-––
ОР ООО 001P-03,RU000A1021B4,101.53,14265,11.43,30.73,01-02-03-04-05-06-07-08-09-10-11--12
Элемент Лизинг БО 001P-03,RU000A102VW0,99.85,13909,8.56,23.66,––-––-03-––-––-06-––-––-09-––-––--12
Лизинг-Трейд 001P-01,RU000A101CB6,101.34,8349,12.0,14.96,––-––-––-04-05-06-07-08-09-––-––-––
АТОМ БО-П01,RU000A102VY6,99.73,2372,8.7,17.39,––-––-03-––-––-––-––-––-09-––-––-––
