Полное наименование,Код ценной бумаги,Нужна квалификация?,"Цена, %","Объем сделок за n дней, шт.",Доходность,"Дюрация, месяцев",Месяцы выплат
ОФЗ-ПД 26234 16/07/2025,SU26234RMFS3,нет,94.446,6719177,20.05,4.96,––-––-––-––-––-––-07-––-––-––-––-––
ОФЗ-ПД 26219 16/09/26,SU26219RMFS4,нет,88.129,6171123,17.27,17.76,––-––-03-––-––-––-––-––-09-––-––-––
ОФЗ-ПД 26229 12/11/25,SU26229RMFS3,нет,92.552,5406012,18.93,8.69,––-––-––-––-05-––-––-––-––-––-11-––
Магнит ПАО БО-005Р-01,RU000A10ANZ8,нет,100.93,2347098,22.23,12.53,01-02-03-04-05-06-07-08-09-10-11--12
Россети ПАО БО 001P-15R,RU000A10ASB8,нет,101.9,1259216,21.33,15.03,01-02-03-04-05-06-07-08-09-10-11--12
Ростелеком ПАО 001P-14R,RU000A10ASS2,нет,101.5,766343,21.28,13.63,01-02-03-04-05-06-07-08-09-10-11--12
МОНОПОЛИЯ 001P-03,RU000A10ARS4,нет,100.64,619720,28.89,10.1,01-––-03-04-05-06-07-08-09-10-11--12
ДОМОДЕДОВО ФьюэлФ 002Р-01,RU000A105MP6,нет,85.28,262759,37.19,9.66,––-––-––-––-––-06-––-––-––-––-––--12
Банк ВТБ (ПАО) Б-1-343,RU000A106TM6,да,98.34,257109,24.77,15.96,01-02-03-04-05-06-07-08-09-10-11--12
Сбербанк ПАО 002Р-SBER44,RU000A1069P3,нет,88.61,255027,20.49,14.6,––-––-––-––-05-––-––-––-––-––-11-––
Мэйл.Ру Финанс 001P-01,RU000A103QK3,нет,79.3,251102,25.52,17.6,––-––-03-––-––-––-––-––-09-––-––-––
Российские ЖД ОАО БО-02,RU000A0JVW71,нет,99.98,213321,21.71,7.46,––-––-––-04-––-––-––-––-––-10-––-––
Уральская Сталь БО-001Р-02,RU000A1066A1,нет,85.85,183106,26.45,13.53,01-––-––-04-––-––-07-––-––-10-––-––
Банк ВТБ (ПАО) Б-1-364,RU000A109ZK1,нет,100.15,178549,22.41,8.1,––-––-––-––-05-––-––-08-––-10-––-––
ГК Самолет БО-П12,RU000A104YT6,нет,94.99,177050,29.78,4.7,––-––-––-04-––-––-07-––-––-––-––-––
ХКФ Банк ООО БО-04,RU000A103760,нет,88.5,175023,20.72,14.7,––-––-03-––-––-06-––-––-09-––-––--12
Промсвязьбанк 003P-10,RU000A10AC83,нет,103.1,162693,20.25,10.0,01-02-03-04-05-06-07-08-09-10-11--12
ЭР-Телеком Холдинг ПБО-02-03,RU000A106JV8,нет,94.8,153805,26.64,4.66,––-––-––-04-––-––-07-––-––-––-––-––
МВ ФИНАНС 001Р-03,RU000A104ZK2,нет,93.87,130083,29.83,5.06,––-––-––-04-––-––-07-––-––-––-––-––
Каршеринг Руссия 001P-02,RU000A106A86,нет,86.81,121716,26.4,13.83,––-02-––-––-05-––-––-08-––-––-11-––
Новые технологии 001Р-02,RU000A10AHE5,нет,107.1,114092,24.94,17.63,01-02-03-04-05-06-07-08-09-10-11--12
Синара Транспортные Машины 1P2,RU000A103G00,нет,80.57,98464,26.32,16.5,01-––-––-––-––-––-07-––-––-––-––-––
Селектел 001P-04R,RU000A1089J4,нет,94.89,68378,21.95,12.53,01-02-03-04-05-06-07-08-09-10-11--12
ЭЛЕКТРОРЕШЕНИЯ 001Р-01,RU000A106HF5,нет,80.81,65707,32.58,15.33,01-––-––-04-––-––-07-––-––-10-––-––
