Полное наименование,Код ценной бумаги,Нужна квалификация?,"Цена, %","Объем сделок за n дней, шт.",Доходность,"Дюрация, месяцев",Месяцы выплат
ОФЗ-ПД 26226 07/10/26,SU26226RMFS9,нет,88.84,3010238,17.61,17.0,––-––-––-04-––-––-––-––-––-10-––-––
ОФЗ-ПД 26229 12/11/25,SU26229RMFS3,нет,94.27,1428081,19.28,6.53,––-––-––-––-05-––-––-––-––-––-11-––
ОФЗ-ПД 26219 16/09/26,SU26219RMFS4,нет,88.822,1381933,17.69,16.33,––-––-03-––-––-––-––-––-09-––-––-––
ГТЛК БО 002P-07,RU000A10AU73,нет,102.83,766912,23.7,13.5,01-02-03-04-05-06-07-08-09-10-11--12
Сбербанк ПАО 002Р-SBER44,RU000A1069P3,нет,90.82,578318,19.89,12.43,––-––-––-––-05-––-––-––-––-––-11-––
ДелоПортс ООО БО 001P-04,RU000A10B487,нет,100.69,467983,22.14,14.76,01-02-03-04-05-06-07-08-09-10-11--12
ГТЛК БО 001P-15,RU000A100Z91,нет,93.52,432167,23.67,5.96,––-––-––-––-––-––-07-––-––-10-––-––
Магнит ПАО БО-005Р-01,RU000A10ANZ8,нет,102.45,374603,20.52,10.76,01-02-03-04-05-06-07-08-09-10-11--12
МВ ФИНАНС 001Р-04,RU000A106540,нет,96.7,312135,31.86,10.93,01-––-––-04-––-––-07-––-––-10-––-––
Аэрофлот-росс.авиалин.ПАО БО-1,RU000A103943,нет,88.63,262294,21.29,13.13,––-––-03-––-––-06-––-––-09-––-––--12
Банк ВТБ (ПАО) Б-1-343,RU000A106TM6,да,97.49,193652,25.8,14.3,01-02-03-04-05-06-07-08-09-10-11--12
МОНОПОЛИЯ 001P-03,RU000A10ARS4,нет,100.04,185197,29.89,8.33,01-––-––-04-05-06-07-08-09-10-11--12
Селектел 001P-04R,RU000A1089J4,нет,95.74,149237,21.95,10.66,01-02-03-04-05-06-07-08-09-10-11--12
Томская область 34072,RU000A10AC75,нет,109.37,146063,21.28,17.23,01-02-03-04-05-06-07-08-09-10-11--12
Уральская Сталь БО-001Р-02,RU000A1066A1,нет,88.66,137461,25.6,11.36,01-––-––-04-––-––-07-––-––-10-––-––
МОНОПОЛИЯ 001P-04,RU000A10B396,нет,99.47,130822,30.56,14.13,01-02-03-04-05-06-07-08-09-10-11--12
Каршеринг Руссия 001P-02,RU000A106A86,нет,88.91,128447,27.08,12.16,––-02-––-––-05-––-––-08-––-––-11-––
ДельтаЛизинг 001P-02,RU000A10B0J3,нет,102.2,112260,24.98,17.86,01-02-03-04-05-06-07-08-09-10-11--12
ЕвроТранс БО-001Р-03,RU000A1061K1,нет,84.14,108610,29.91,16.46,01-02-03-04-05-06-07-08-09-10-11--12
ДАРС-Девелопмент 001Р-03,RU000A10B8X7,нет,99.61,104644,29.75,14.63,01-02-03-04-05-06-07-08-09-10-11--12
Селигдар 001Р-01,RU000A105CS1,нет,94.7,100339,23.4,5.96,––-––-––-04-––-––-––-––-––-10-––-––
Сбербанк ПАО 001Р-SBER27,RU000A103661,нет,88.29,99620,20.12,13.23,––-––-––-––-––-06-––-––-––-––-––--12
ВИС ФИНАНС БО-П07,RU000A10AV15,нет,102.96,95622,25.11,13.5,01-02-03-04-05-06-07-08-09-10-11--12
iКаршеринг Руссия 001P-05,RU000A10AV31,нет,102.32,88689,25.56,11.23,01-02-03-04-05-06-07-08-09-10-11--12
ГруппаЧеркизово БО-001Р-05,RU000A105C28,нет,94.97,87855,22.45,5.86,––-––-––-04-––-––-07-––-––-10-––-––
ГЛОРАКС 001P-03,RU000A10ATR2,нет,103.86,86195,28.4,17.06,01-02-03-04-05-06-07-08-09-10-11--12
Софтлайн 002Р-01,RU000A106A78,нет,91.48,84922,26.23,9.53,––-02-––-––-05-––-––-08-––-––-11-––
Селектел 001P-03R,RU000A106R95,нет,90.93,77926,22.67,14.76,––-02-––-––-––-––-––-08-––-––-––-––
Ростелеком ПАО 001P-14R,RU000A10ASS2,нет,102.7,76423,20.63,11.9,01-02-03-04-05-06-07-08-09-10-11--12
РОЛЬФ БО 001Р-07,RU000A10ASE2,нет,100.85,73855,28.58,17.06,01-02-03-04-05-06-07-08-09-10-11--12
Новые технологии 001Р-04,RU000A10AYF7,нет,100.78,72694,25.88,17.93,––-02-––-––-05-––-––-08-––-––-11-––
ОФЗ-АД 46023 23/07/26,SU46023RMFS6,нет,92.859,72429,15.12,14.46,01-––-––-––-––-––-07-––-––-––-––-––
ПАО ТГК-14 001Р-01,RU000A1066J2,нет,91.19,70666,26.23,11.33,01-––-––-04-05-––-07-––-––-10-––-––
ВУШ БО 001P-02,RU000A106HB4,нет,87.68,70298,26.22,13.6,01-––-––-04-––-––-07-––-––-10-––-––
Интерскол КЛС БО-03,RU000A10ATB6,нет,100.15,64980,33.13,3.53,––-––-––-––-05-06-07-08-09-10-11-––
Группа ЛСР ПАО БО 001Р-08,RU000A106888,нет,89.48,60226,26.65,11.86,––-02-––-––-05-––-––-08-––-––-11-––
Новые технологии 001Р-02,RU000A10AHE5,нет,107.79,52443,24.15,16.2,01-02-03-04-05-06-07-08-09-10-11--12
Интерлизинг 001Р-07,RU000A1077X0,нет,92.28,50200,31.14,8.53,01-02-03-04-05-06-07-08-09-10-11--12
ЕвроТранс БО-001Р-02,RU000A105TS5,нет,92.55,48273,27.17,8.69,01-––-––-04-05-06-07-08-09-10-11--12
ЕвроТранс БО-001Р-01,RU000A105PP9,нет,93.76,47750,27.06,7.43,––-––-––-––-05-06-07-08-09-10-11--12
Интерлизинг 001Р-06,RU000A106SF2,нет,90.6,45126,31.96,7.86,––-02-––-––-05-––-––-08-––-––-11-––
АБЗ-1 001P-05,RU000A1070X5,нет,88.68,43399,33.18,9.03,01-02-03-04-05-06-07-08-09-10-11--12
ВсеИнструменты.ру 001Р-04,RU000A10AXP8,нет,102.5,42857,24.1,13.76,01-02-03-04-05-06-07-08-09-10-11--12
ИЭК ХОЛДИНГ 001P-03,RU000A10B3T6,нет,102.99,37308,23.42,14.43,01-02-03-04-05-06-07-08-09-10-11--12
ВИС ФИНАНС БО-П04,RU000A106EZ0,нет,87.06,33176,26.84,14.76,––-02-––-––-05-––-––-08-––-––-11-––
Позитив Текнолоджиз 001Р-02,RU000A105JG1,нет,93.98,31081,22.99,7.23,––-––-––-––-––-06-––-––-09-––-––--12
