Полное наименование,Код ценной бумаги,"Цена, %","Объем сделок за n дней, шт.",Доходность,"Дюрация, месяцев",Есть льгота?
ПИК-Корпорация 001Р-03,RU000A1026C1,100.5,371263,7.38,27.73,True
ГТЛК БО 001P-15,RU000A100Z91,101.72,306640,7.26,32.29,True
ГК Пионер БО 001P-04,RU000A1016F5,100.22,166091,10.83,27.43,True
ГИДРОМАШСЕРВИС АО БО-03,RU000A1026H0,100.57,161465,7.81,32.9,True
ЛЕГЕНДА БО 001P-02,RU000A101GW3,100.0,120472,11.47,19.46,True
Республика Беларусь 03,RU000A100D30,100.14,114276,8.6,20.66,True
ГИДРОМАШСЕРВИС АО БО-02,RU000A101WH1,101.65,96864,7.61,30.2,True
РОЛЬФ ООО БО 001Р-02,RU000A101GB7,100.29,89635,8.99,15.83,True
ОКЕЙ ООО БО 001Р-03,RU000A1014B9,101.23,85652,7.64,35.06,True
ПР-Лизинг ООО БО 002Р-01,RU000A1022E6,100.01,79113,10.45,25.53,True
Республика Беларусь 04,RU000A100D63,100.1,62741,8.64,20.66,True
ДОМОДЕДОВО ФьюэлФ 001Р-01,RU000A0ZYM21,101.8,57917,7.36,24.53,True
Обувь России 001P-01,RU000A100V61,101.78,54071,11.24,17.73,True
Ренессанс Страхование 001P-01R,RU000A100X69,101.2,37706,8.08,11.4,True
Обувь России 001P-03,RU000A1021B4,101.65,36020,11.43,34.56,True
Кредит Европа Банк АО 001Р-03,RU000A100X77,101.86,34663,8.21,22.06,True
Калужская сбытовая комп 1P 01,RU000A0ZZYL5,99.97,29580,13.41,13.26,True
Вита Лайн 001Р-01,RU000A102200,101.09,28347,9.82,30.43,True
Первое кол.бюро НАО 001Р-01,RU000A1020S0,100.8,24570,13.2,23.3,True
Лизинг-Трейд 001P-01,RU000A101CB6,100.84,18997,12.9,19.53,True
