Полное наименование,Код ценной бумаги,"Цена, %","Объем сделок за n дней, шт.",Доходность,"Дюрация, месяцев",Месяцы выплат
ОФЗ-ПД 26220 07/12/22,SU26220RMFS2,95.776,9231881,12.82,9.16,––-––-––-––-––-06-––-––-––-––-––--12
ОФЗ-ПД 26211 25/01/23,SU26211RMFS1,95.001,6404921,12.78,10.83,01-––-––-––-––-––-07-––-––-––-––-––
МЭФ Московской обл. 2017,RU000A0ZYML3,96.74,3154175,10.99,9.56,––-––-03-––-––-06-––-––-09-––-––--12
Нижегородская обл. 35011,RU000A0JWLD0,99.62,1212454,11.1,11.13,––-––-––-––-––-––-––-––-––-––-––-––
ОФЗ-ПК 29012 16/11/22,SU29012RMFS0,96.356,416979,12.47,8.5,––-––-––-––-05-––-––-––-––-––-11-––
Газпром нефть ПАО 001P-03R,RU000A0ZYDS7,97.49,304883,12.43,7.46,––-––-––-04-––-––-––-––-––-10-––-––
Мобильные ТелеСистемы 001P-03,RU000A0ZYFC6,96.84,283090,13.01,8.03,––-––-––-––-05-––-––-––-––-––-11-––
Мобильные ТелеСистемы 001P-08,RU000A100A58,98.12,207967,11.97,7.5,––-––-––-04-––-––-07-––-––-10-––-––
Сегежа Групп 001P-01R,RU000A101D13,93.2,185854,15.99,10.86,01-––-––-––-––-––-07-––-––-––-––-––
Башкирская содовая комп. 1P-01,RU000A0ZYR18,95.96,144204,17.19,6.3,01-––-––-04-––-––-07-––-––-10-––-––
ГК Самолет БО-П07,RU000A100YG1,97.73,112462,16.76,7.5,––-––-––-04-––-––-07-––-––-10-––-––
Сбербанк ПАО 001Р-SBER18,RU000A102FR3,94.4,107672,13.48,9.3,––-––-––-––-––-06-––-––-––-––-––--12
ПАО НК Роснефть обл.05,RU000A0JT965,97.23,91118,12.96,7.46,––-––-––-04-––-––-––-––-––-10-––-––
ГК Самолет БО-П08,RU000A101H43,94.17,89676,17.35,11.16,––-02-03-––-––-––-––-08-––-––-––-––
ГПБ (АО) БО 001Р-05Р,RU000A1002E8,95.5,86976,15.05,10.96,01-––-––-––-––-––-07-––-––-––-––-––
Брусника 001P-01,RU000A101HU5,95.0,79604,20.95,7.4,––-––-03-––-––-06-––-––-09-––-––--12
Банк ВТБ (ПАО) Б-1-253,RU000A104C60,94.88,64252,16.24,9.63,––-––-03-––-––-06-––-––-09-––-––--12
РОСНАНО АО обл. 07,RU000A0JW1G7,94.0,62034,22.37,9.33,––-––-––-––-––-06-––-––-––-––-––--12
Банк ВТБ (ПАО) Б-1-251,RU000A103YS0,94.8,61619,17.39,7.96,––-––-––-––-05-––-––-08-––-10-––-––
Сбербанк ПАО БО 001P-16R,RU000A0ZZE20,95.25,55785,13.79,10.56,01-––-––-––-––-––-07-––-––-––-––-––
ПАО НК Роснефть обл.04,RU000A0JT940,98.06,41671,11.29,7.46,––-––-––-04-––-––-––-––-––-10-––-––
ПР-Лизинг ООО БО 002Р-01,RU000A1022E6,90.12,37551,23.74,11.1,––-––-03-04-––-––-––-––-––-––-––-––
Ростелеком ПАО 002P-03R,RU000A101FC7,94.42,35104,13.81,11.5,––-02-––-––-––-––-––-08-––-––-––-––
ДОМОДЕДОВО ФьюэлФ 001Р-01,RU000A0ZYM21,92.45,34564,19.42,9.56,––-––-––-––-––-06-––-––-––-––-––--12
