Полное наименование,Код ценной бумаги,Нужна квалификация?,"Цена, %","Объем сделок за n дней, шт.",Доходность,"Дюрация, месяцев",Месяцы выплат
ОФЗ-ПД 26234 16/07/2025,SU26234RMFS3,нет,94.349,10029819,19.83,5.16,––-––-––-––-––-––-07-––-––-––-––-––
ОФЗ-ПД 26229 12/11/25,SU26229RMFS3,нет,92.299,5325860,19.32,8.9,––-––-––-––-05-––-––-––-––-––-11-––
ОФЗ-ПД 26219 16/09/26,SU26219RMFS4,нет,87.25,5044259,17.96,17.93,––-––-03-––-––-––-––-––-09-––-––-––
Магнит ПАО БО-005Р-01,RU000A10ANZ8,нет,100.28,3148881,23.29,12.7,01-02-03-04-05-06-07-08-09-10-11--12
Россети ПАО БО 001P-15R,RU000A10ASB8,нет,100.2,577795,23.5,15.2,01-02-03-04-05-06-07-08-09-10-11--12
МОНОПОЛИЯ 001P-03,RU000A10ARS4,нет,100.13,454314,29.89,10.3,01-––-03-04-05-06-07-08-09-10-11--12
Российские ЖД ОАО БО-02,RU000A0JVW71,нет,99.74,366734,22.36,7.66,––-––-––-04-––-––-––-––-––-10-––-––
ГТЛК БО 001P-15,RU000A100Z91,нет,91.26,353889,23.6,8.23,––-––-––-04-––-––-07-––-––-10-––-––
Мэйл.Ру Финанс 001P-01,RU000A103QK3,нет,77.8,208982,26.76,17.76,––-––-03-––-––-––-––-––-09-––-––-––
Банк ВТБ (ПАО) Б-1-343,RU000A106TM6,да,98.79,207232,24.36,16.16,01-02-03-04-05-06-07-08-09-10-11--12
Сбербанк ПАО 002Р-SBER44,RU000A1069P3,нет,88.45,180588,20.86,14.8,––-––-––-––-05-––-––-––-––-––-11-––
Уральская Сталь БО-001Р-02,RU000A1066A1,нет,84.14,172494,28.79,13.73,01-––-––-04-––-––-07-––-––-10-––-––
ГК Самолет БО-П12,RU000A104YT6,нет,93.8,166823,32.83,4.9,––-––-––-04-––-––-07-––-––-––-––-––
Банк ВТБ (ПАО) Б-1-364,RU000A109ZK1,нет,100.15,147167,22.37,8.3,––-––-––-––-05-––-––-08-––-10-––-––
МВ ФИНАНС 001Р-03,RU000A104ZK2,нет,93.03,143110,32.77,5.26,––-––-––-04-––-––-07-––-––-––-––-––
Промсвязьбанк 003P-10,RU000A10AC83,нет,101.7,139749,21.93,10.03,01-02-03-04-05-06-07-08-09-10-11--12
Новые технологии 001Р-02,RU000A10AHE5,нет,105.7,117373,25.85,17.8,01-02-03-04-05-06-07-08-09-10-11--12
ЭЛЕКТРОРЕШЕНИЯ 001Р-01,RU000A106HF5,нет,79.69,107526,34.49,15.5,01-––-––-04-––-––-07-––-––-10-––-––
ЭР-Телеком Холдинг ПБО-02-03,RU000A106JV8,нет,94.36,106866,29.51,4.86,––-––-––-04-––-––-07-––-––-––-––-––
КАМАЗ ПАО БО-П11,RU000A107MM9,нет,94.0,104957,23.29,10.83,01-––-––-04-––-––-07-––-––-10-––-––
ОФЗ-АД 46023 23/07/26,SU46023RMFS6,нет,92.143,102021,15.06,16.83,01-––-––-––-––-––-07-––-––-––-––-––
РусГидро БО-002Р-04,RU000A10A8H1,нет,105.72,101963,20.07,14.5,01-02-03-04-05-06-07-08-09-10-11--12
Каршеринг Руссия 001P-02,RU000A106A86,нет,86.59,96162,28.22,14.03,––-02-––-––-05-––-––-08-––-––-11-––
Аэрофлот-росс.авиалин.ПАО БО-1,RU000A103943,нет,85.99,93107,21.96,15.16,––-––-03-––-––-06-––-––-09-––-––--12
Адм. г.Томск 34009,RU000A10A6J1,нет,107.6,72750,21.8,14.6,01-02-03-04-05-06-07-08-09-10-11--12
Селектел 001P-03R,RU000A106R95,нет,88.29,72735,23.35,15.93,––-02-––-––-––-––-––-08-––-––-––-––
Сэтл-Групп ООО БО 002P-02,RU000A105X64,нет,88.54,69338,27.98,11.93,––-––-03-––-––-06-––-––-09-––-––--12
Интерлизинг 001Р-07,RU000A1077X0,нет,91.97,66703,30.1,9.69,01-02-03-04-05-06-07-08-09-10-11--12
