Полное наименование,Код ценной бумаги,"Цена, %","Объем сделок за n дней, шт.",Доходность,"Дюрация, месяцев",Месяцы выплат
ФПК Гарант-Инвест БО 001P-05,RU000A1005T9,99.0,184180,13.4,16.36,01-––-––-04-––-––-07-––-––-10-––-––
Ритейл Бел Финанс 01,RU000A100JH0,99.99,175362,11.63,21.06,01-––-––-04-––-––-07-––-––-10-––-––
Джи-групп 002P-01,RU000A103JR3,99.14,104240,11.38,22.3,––-02-––-––-05-––-––-08-––-––-11-––
АБЗ-1 001Р-01,RU000A102LW1,99.81,71535,12.97,17.0,––-––-03-––-––-06-––-––-09-––-––--12
Брусника 001P-01,RU000A101HU5,100.3,65425,11.33,11.2,––-––-03-––-––-06-––-––-09-––-––--12
ПР-Лизинг ООО БО 002Р-01,RU000A1022E6,99.99,64784,10.36,14.7,01-02-03-04-––-––-––-––-––-––-11--12
ГК Пионер БО 001P-04,RU000A1016F5,99.73,58718,10.71,16.73,––-––-03-––-––-06-––-––-09-––-––--12
ОР ООО 001P-02,RU000A1015P6,97.34,52101,14.57,20.63,––-––-––-––-––-––-––-––-––-––-––-––
КИВИ Финанс 001P-01,RU000A1028C7,95.79,45196,10.92,21.86,01-––-––-04-––-––-07-––-––-10-––-––
ОР ООО 001P-01,RU000A100V61,99.46,38212,13.89,6.06,––-––-03-––-––-06-––-––-09-––-––--12
ПАО ЛК Европлан 001P-02,RU000A1034J0,97.1,36865,10.09,18.73,––-02-––-––-05-––-––-08-––-––-11-––
ЛЕГЕНДА БО 001P-02,RU000A101GW3,99.52,27454,12.18,9.0,––-––-03-––-––-06-––-––-09-––-––--12
Лизинг-Трейд 001P-01,RU000A101CB6,99.85,21567,13.58,8.43,––-––-––-––-––-––-––-––-––-––-––-––
Джи-групп 001P-01,RU000A101TS4,101.8,20518,11.28,10.5,––-––-03-––-––-06-––-––-09-––-––--12
АПРИ Флай Плэнинг АО БО-П04,RU000A102KR3,100.04,16271,13.5,19.16,––-––-03-––-––-06-––-––-09-––-––--12
МФК Быстроденьги 001P-01,RU000A101483,102.36,15721,13.81,8.56,––-––-––-––-––-––-––-––-––-––-––-––
ТФН 01,RU000A102QY6,99.59,12638,12.77,18.43,––-02-––-––-05-––-––-08-––-––-11-––
АО им. Т.Г. Шевченко 001P-01,RU000A100YP2,101.1,12374,13.28,11.2,01-––-––-04-––-––-07-––-––-10-––-––
