Полное наименование,Код ценной бумаги,"Цена, %","Объем сделок за n дней, шт.",Доходность,"Дюрация, месяцев",Месяцы выплат
Русская Аквакультура 001Р-01,RU000A102TT0,100.25,284929,9.59,32.26,––-––-03-––-––-––-––-––-09-––-––-––
ГК Самолет БО-П09,RU000A102RX6,100.97,251840,8.84,31.76,––-02-––-––-––-––-––-08-––-––-––-––
ГК Пионер БО 001P-05,RU000A102KG6,99.93,231535,10.13,32.5,––-––-03-––-––-06-––-––-09-––-––--12
Селектел 001P-01R,RU000A102SG9,100.28,208822,8.6,32.2,––-02-––-––-––-––-––-08-––-––-––-––
ФПК Гарант-Инвест БО 001P-05,RU000A1005T9,100.04,198340,12.55,19.33,01-––-––-04-––-––-07-––-––-10-––-––
АБЗ-1 001Р-01,RU000A102LW1,100.29,183881,12.36,22.8,––-––-03-––-––-06-––-––-09-––-––--12
ВИС ФИНАНС БО-П01,RU000A102952,100.15,162510,9.26,28.0,01-––-––-04-––-––-07-––-––-10-––-––
Аэрофьюэлз 001Р-01,RU000A102T97,100.7,111948,9.22,31.73,––-02-03-––-05-06-––-08-09-––-11--12
ХК Новотранс 001P-01,RU000A1014S3,101.71,101550,8.36,30.63,––-02-03-––-05-06-––-08-09-––-11--12
ГК Пионер БО 001P-04,RU000A1016F5,101.89,98480,9.84,23.36,––-––-03-––-––-06-––-––-09-––-––--12
ОР ООО 001P-04,RU000A102NK2,100.3,89507,11.42,34.53,01-02-03-04-05-06-07-08-09-10-11--12
КИВИ Финанс 001P-01,RU000A1028C7,100.0,88961,8.74,27.96,01-––-––-04-––-––-07-––-––-10-––-––
MT-FREE-02,RU000A102DK3,99.91,87797,10.01,33.2,––-––-––-––-05-––-––-––-––-––-11-––
Бизнес-Недвижимость 001Р-01,RU000A1022G1,99.55,76028,8.53,30.96,––-02-––-––-05-––-––-08-––-––-11-––
СофтЛайн Трейд 001P-04,RU000A1029T9,100.8,65219,9.04,26.76,––-––-03-––-––-06-––-––-09-––-––--12
Республика Беларусь 03,RU000A100D30,101.04,65042,8.01,16.03,––-02-––-––-––-––-––-08-––-––-––-––
ЛЕГЕНДА БО 001P-02,RU000A101GW3,101.6,43803,10.02,15.03,––-––-03-––-––-06-––-––-09-––-––--12
ТФН 01,RU000A102QY6,99.97,36248,12.57,24.73,––-02-––-––-05-––-––-08-––-––-11-––
ОР ООО 001P-02,RU000A1015P6,101.7,33466,11.92,26.6,––-––-––-04-05-06-07-08-––-––-––-––
ЯТЭК 001Р-01,RU000A102B48,101.21,31476,8.36,28.43,––-––-––-––-05-––-––-––-––-10-11-––
ОР ООО 001P-01,RU000A100V61,101.51,30275,11.08,12.8,––-––-03-––-––-06-––-––-09-––-––--12
ВсеИнструменты.ру ООО БО-03,RU000A102M86,100.0,30020,9.3,29.66,––-––-03-––-––-06-––-––-09-––-––--12
ПРОМОМЕД ДМ 001P-01,RU000A102LB5,100.4,27375,9.52,29.76,––-––-––-––-––-06-––-––-––-––-––--12
Онлайн Микрофинанс 03,RU000A102CZ3,100.0,26195,13.23,27.4,01-02-03-04-05-06-07-08-09-10-11--12
МФК Займер - 01,RU000A102TL7,100.49,22160,13.3,29.73,01-02-03-04-05-06-07-08-09-10-11--12
ТрансФин-М ПАО 001P-04,RU000A0ZYEB1,100.16,21633,9.03,12.53,––-––-––-04-––-––-––-––-––-10-––-––
ПР-Лизинг ООО БО 002Р-01,RU000A1022E6,101.01,20316,9.83,21.13,01-02-03-04-05-06-07-08-09-10-11--12
Вита Лайн 001Р-01,RU000A102200,100.79,19377,10.03,26.43,––-02-––-––-05-––-––-08-––-––-11-––
Концерн Покровский 001P-01,RU000A102S23,100.38,19063,9.98,31.06,––-02-––-––-05-––-––-08-––-––-11-––
АПРИ Флай Плэнинг АО БО-П04,RU000A102KR3,100.25,18690,13.5,24.63,––-––-03-––-––-06-––-––-09-––-––--12
КБ Ренессанс Кредит БО-06,RU000A102RN7,99.6,17935,8.48,32.13,––-02-––-––-––-––-––-08-––-––-––-––
ТД РКС-Сочи 002Р-01,RU000A102KQ5,100.41,14302,12.93,28.1,––-––-03-––-––-06-––-––-09-––-––--12
ОР ООО 001P-03,RU000A1021B4,101.38,13477,11.51,31.0,01-02-03-04-05-06-07-08-09-10-11--12
ТАЛАН-ФИНАНС БО 001Р-02,RU000A102US0,100.1,11958,10.76,29.13,––-––-03-––-––-06-––-––-09-––-––--12
Лизинг-Трейд 001P-01,RU000A101CB6,101.8,8013,11.52,15.23,––-––-––-04-05-06-07-08-09-––-––-––
