Полное наименование,Код ценной бумаги,"Цена, %","Объем сделок за n дней, шт.",Доходность,"Дюрация, месяцев",Месяцы выплат
Республика Беларусь 04,RU000A100D63,100.96,103431,8.02,16.23,––-02-––-––-––-––-––-08-––-––-––-––
РУСАЛ Братск БО-001P-03,RU000A100TF3,101.86,67558,7.11,17.46,––-––-03-––-––-––-––-08-09-––-––-––
ГК Самолет БО-П06,RU000A100QA0,100.99,65682,8.64,10.73,––-02-––-––-05-––-––-08-––-––-11-––
Республика Беларусь 03,RU000A100D30,100.97,61220,8.06,16.23,––-02-––-––-––-––-––-08-––-––-––-––
ОР ООО 001P-01,RU000A100V61,101.59,44247,11.02,13.0,––-––-03-––-––-06-––-––-09-––-––--12
Первое кол.бюро НАО БО-01,RU000A0JWWG0,101.85,38831,9.47,4.06,––-––-––-04-––-––-07-––-––-10-––-––
ЛЕГЕНДА БО 001P-02,RU000A101GW3,101.61,33404,9.82,14.83,––-––-03-––-––-06-––-––-09-––-––--12
Ренессанс Страхование 001P-01R,RU000A100X69,100.53,32829,8.13,6.73,––-––-––-04-––-––-––-––-––-10-––-––
РОЛЬФ ООО БО 001Р-02,RU000A101GB7,101.2,32731,7.66,11.23,––-02-––-––-05-––-––-08-––-––-11-––
ЮниМетрикс 01,RU000A100T81,100.94,26956,12.42,16.2,––-––-––-04-05-––-––-––-––-––-––-––
ТрансФин-М ПАО 001P-04,RU000A0ZYEB1,100.2,19158,8.99,12.73,––-––-––-04-––-––-––-––-––-10-––-––
Онлайн Микрофинанс БО-02,RU000A101JF2,100.11,16765,13.12,11.26,––-––-––-04-05-06-07-08-09-10-11-––
ВсеИнструменты.ру ООО БО-01,RU000A0ZZXT0,100.59,14907,8.29,8.86,––-––-––-––-––-06-––-––-09-––-––--12
Лизинг-Трейд 001P-01,RU000A101CB6,101.56,11247,11.64,15.3,––-––-03-04-05-06-07-08-09-––-––-––
ЧЗПСН-Профнастил ПАО БО-П01,RU000A100DF7,101.69,10299,11.99,9.46,––-02-––-––-05-––-––-08-––-––-11-––
Башкирская содовая комп. 1P-01,RU000A0ZYR18,101.3,9872,7.11,17.26,01-––-––-04-––-––-07-––-––-10-––-––
