Полное наименование,Код ценной бумаги,"Цена, %","Объем сделок за n дней, шт.",Доходность,"Дюрация, месяцев",Есть льгота?
ДОМОДЕДОВО ФьюэлФ 001Р-01,RU000A0ZYM21,100.0,105588,8.26,27.1,True
МаксимаТелеком БО-П01,RU000A101XD8,100.45,93958,10.87,32.03,True
Кредит Европа Банк АО 001Р-03,RU000A100X77,101.67,73821,8.48,24.63,True
ЛЕГЕНДА БО 001P-01,RU000A0ZZCV0,101.04,61794,12.68,6.9,True
Республика Беларусь 03,RU000A100D30,101.38,61457,8.04,22.33,True
Обувь России 001P-01,RU000A100V61,100.82,54092,11.58,19.76,True
Обувь России 001P-02,RU000A1015P6,101.4,53936,12.1,32.26,True
ЛЕГЕНДА БО 001P-02,RU000A101GW3,98.0,46255,12.76,21.5,True
РОЛЬФ ООО БО 001Р-02,RU000A101GB7,99.26,44879,9.52,18.03,True
Калужская сбытовая комп 1P 01,RU000A0ZZYL5,100.09,43438,13.34,15.86,True
Ренессанс Страхование 001P-01R,RU000A100X69,100.35,40610,8.81,14.0,True
Лизинг-Трейд 001P-01,RU000A101CB6,100.41,35662,13.13,21.7,True
