Полное наименование,Код ценной бумаги,"Цена, %","Объем сделок за n дней, шт.",Доходность,"Дюрация, месяцев",Месяцы выплат
ОФЗ-ПД 26223 28/02/24,SU26223RMFS6,98.4,9463742,12.51,3.53,––-02-––-––-––-––-––-––-––-––-––-––
ОФЗ-ПД 26222 16/10/24,SU26222RMFS8,96.27,7137673,11.91,11.03,––-––-––-04-––-––-––-––-––-10-––-––
ОФЗ-ПД 26227 17/07/24,SU26227RMFS7,97.15,5167800,12.33,7.96,01-––-––-––-––-––-07-––-––-––-––-––
Сбербанк ПАО 001Р-SBER33,RU000A103WV8,96.68,589359,13.02,11.43,––-––-––-––-05-––-––-––-––-––-11-––
Сбербанк ПАО 001Р-SBER15,RU000A101C89,98.93,369583,11.56,2.29,01-––-––-––-––-––-––-––-––-––-––-––
Автодор ГК БО-006Р-01,RU000A106XP1,100.29,325944,14.36,9.76,01-––-––-04-––-06-––-––-09-––-––-––
ПАО НК Роснефть БО-05,RU000A0JUCS1,99.66,267254,13.2,0.9,––-––-––-––-––-––-––-––-––-––-––--12
Группа ЛСР ПАО БО 001Р-04,RU000A100WA8,95.63,229403,14.49,10.19,––-––-03-––-––-06-––-––-09-––-––--12
ГПБ (АО) БО-17,RU000A0ZYEE5,95.73,212996,13.56,11.5,––-––-––-04-––-––-––-––-––-10-––-––
Банк ВТБ (ПАО) Б-1-319,RU000A106DN8,97.66,206797,12.61,6.93,01-02-03-04-05-06-––-––-––-––-11--12
Сбербанк ПАО 001Р-SBER16,RU000A101QW2,96.9,196610,11.8,6.46,––-––-––-––-05-––-––-––-––-––-––--12
Банк ВТБ (ПАО) Б-1-318,RU000A105ZN3,98.28,137144,13.98,4.23,01-02-03-––-––-––-––-––-––-––-11--12
МВ ФИНАНС 001Р-02,RU000A103HT3,92.58,131746,20.49,8.69,––-02-––-––-05-––-––-08-––-––-––-––
ГК Самолет БО-П10,RU000A103L03,96.87,115365,14.3,8.96,––-02-––-––-05-––-––-08-––-––-11-––
ГК Самолет БО-П09,RU000A102RX6,98.89,114779,13.89,3.1,––-02-––-––-––-––-––-––-––-––-––-––
МВ ФИНАНС 001Р-01,RU000A103117,97.49,111845,17.77,5.2,––-––-––-04-––-––-––-––-––-––-––-––
ГК Пионер БО 001P-04,RU000A1016F5,99.75,110623,15.33,0.9,––-––-––-––-––-––-––-––-––-––-––--12
Банк ВТБ (ПАО) Б-1-320,RU000A106M25,97.4,86554,13.59,8.23,01-02-03-04-05-06-07-––-––-––-11--12
ГК Пионер БО 001P-05,RU000A102KG6,96.85,59889,16.84,6.93,––-––-03-––-––-06-––-––-09-––-––--12
ФПК Гарант-Инвест БО 001P-05,RU000A1005T9,99.64,52986,15.2,3.2,01-––-––-––-––-––-––-––-––-––-––-––
Газпром нефть БО 001Р-06R,RU000A0ZYXV9,98.6,46621,12.49,3.8,––-––-03-––-––-––-––-––-––-––-––-––
Брусника 001P-02,RU000A102Y58,98.43,44069,14.7,4.56,01-––-––-04-––-––-––-––-––-––-––-––
Ритейл Бел Финанс 001P-01,RU000A101QF7,96.2,42184,15.86,8.83,––-02-––-––-05-––-––-08-––-––-11-––
ПИК-Корпорация 001Р-02,RU000A1016Z3,97.0,40621,14.82,6.63,––-––-03-––-––-06-––-––-09-––-––--12
Селектел 001P-01R,RU000A102SG9,98.6,39606,14.05,3.33,––-02-––-––-––-––-––-––-––-––-––-––
Ритейл Бел Финанс 01,RU000A100JH0,98.9,39225,14.02,4.53,01-––-––-04-––-––-07-––-––-––-––-––
реСтор 001Р-01,RU000A103935,96.46,33934,15.65,6.86,––-––-03-––-––-06-––-––-––-––-––--12
ХэндерсонБ01,RU000A103Q08,97.51,30529,14.35,9.6,––-––-03-––-––-06-––-––-09-––-––--12
