Полное наименование,Код ценной бумаги,"Цена, %","Объем сделок за n дней, шт.",Доходность,"Дюрация, месяцев",Месяцы выплат
ОР ООО 001P-01,RU000A100V61,100.0,193927,12.54,12.43,––-––-03-––-––-06-––-––-09-––-––--12
Брусника 001P-01,RU000A101HU5,102.57,117488,9.55,17.36,––-––-03-––-––-06-––-––-09-––-––--12
Первое кол.бюро НАО БО-01,RU000A0JWWG0,101.66,49510,8.7,3.16,––-––-––-04-––-––-07-––-––-10-––-––
ЛЕГЕНДА БО 001P-02,RU000A101GW3,101.64,48258,9.92,14.3,––-––-03-––-––-06-––-––-09-––-––--12
ГК Самолет БО-П06,RU000A100QA0,101.15,40378,8.29,9.8,––-02-––-––-05-––-––-08-––-––-11-––
ВсеИнструменты.ру ООО БО-01,RU000A0ZZXT0,100.43,23877,8.6,7.93,––-––-––-––-––-06-––-––-09-––-––--12
АПРИ Флай Плэнинг АО БО-П03,RU000A101178,102.18,17111,12.83,13.53,––-02-––-––-05-––-––-08-––-––-11-––
ТАЛАН-ФИНАНС БО 001Р-01,RU000A100AA4,103.38,16776,9.83,7.5,01-––-––-04-––-––-07-––-––-10-––-––
ЧЗПСН-Профнастил ПАО БО-П01,RU000A100DF7,100.78,16370,12.91,8.5,––-02-––-––-05-––-––-08-––-––-11-––
АТОМ БО-П01,RU000A102VY6,99.9,16274,8.75,16.93,––-––-03-––-––-––-––-––-09-––-––-––
МОСТОТРЕСТ ПАО 08 обл.,RU000A0JWN89,100.0,15832,11.34,3.9,01-02-––-––-––-––-07-08-––-––-––-––
ТрансФин-М ПАО 001P-04,RU000A0ZYEB1,100.18,14869,8.95,11.8,––-––-––-04-––-––-––-––-––-10-––-––
АО им. Т.Г. Шевченко 001P-01,RU000A100YP2,102.61,14711,12.13,16.7,01-––-––-04-––-––-07-––-––-10-––-––
ЭБИС БО-П01,RU000A100VY0,101.12,12596,11.63,16.6,––-––-03-––-––-06-––-––-09-––-––--12
Лизинг-Трейд 001P-01,RU000A101CB6,101.27,12259,12.02,14.5,––-––-––-04-05-06-07-08-09-––-––-––
ЛЕГЕНДА БО 001P-03,RU000A101YD6,103.0,10848,9.49,9.6,––-02-––-––-05-––-––-08-––-––-11-––
Онлайн Микрофинанс БО-02,RU000A101JF2,100.65,10689,12.65,10.46,––-––-––-04-05-06-07-08-09-10-11-––
ЮниМетрикс 01,RU000A100T81,100.99,9926,12.36,15.43,––-––-––-––-05-––-––-––-––-––-––-––
Калужская сбытовая комп 1P 01,RU000A0ZZYL5,102.1,9362,9.86,7.9,––-––-––-––-––-06-––-––-––-––-––--12
МФК КарМани БО-1-03,RU000A1014P9,103.79,8088,11.81,12.1,––-––-––-04-05-06-07-08-––-––-––-––
ЗАО ЛК Роделен БО 001Р-02,RU000A100W29,100.63,7785,10.04,8.53,––-––-––-04-05-––-––-––-––-––-––-––
АПРИ Флай Плэнинг АО БО-П02,RU000A100K64,102.68,7359,12.18,10.06,01-––-––-04-––-––-07-––-––-10-––-––
