Полное наименование,Код ценной бумаги,"Цена, %","Объем сделок за n дней, шт.",Доходность,"Дюрация, месяцев",Месяцы выплат
ПИК-Корпорация 001Р-04,RU000A103C46,99.99,630103,8.39,22.16,––-––-03-04-––-06-07-––-09-10-––--12
АБЗ-1 001Р-01,RU000A102LW1,100.08,178724,12.5,20.06,––-––-03-––-––-06-––-––-09-––-––--12
ФПК Гарант-Инвест БО 001P-05,RU000A1005T9,100.12,174649,12.4,18.46,01-––-––-04-––-––-07-––-––-10-––-––
ЛЕГЕНДА БО 001P-02,RU000A101GW3,100.85,105035,10.63,11.33,––-––-03-––-––-06-––-––-09-––-––--12
ПР-Лизинг ООО БО 002Р-01,RU000A1022E6,100.42,98944,10.15,17.76,01-02-03-04-––-––-07-08-09-10-11--12
Республика Беларусь 03,RU000A100D30,100.08,85108,8.67,12.03,––-02-––-––-––-––-––-08-––-––-––-––
Первое кол.бюро НАО БО-01,RU000A0JWWG0,101.51,76744,8.99,3.03,––-––-––-––-––-––-––-––-––-10-––-––
Республика Беларусь 04,RU000A100D63,100.06,71572,8.71,12.03,––-02-––-––-––-––-––-08-––-––-––-––
ГК Пионер БО 001P-04,RU000A1016F5,101.47,55296,9.91,19.89,––-––-03-––-––-06-––-––-09-––-––--12
ДОМОДЕДОВО ФьюэлФ 001Р-01,RU000A0ZYM21,99.92,48955,8.34,16.7,––-––-––-––-––-06-––-––-––-––-––--12
Сегежа Групп 001P-01R,RU000A101D13,98.45,47686,8.03,17.39,01-––-––-––-––-––-07-––-––-––-––-––
ПАО ЛК Европлан 001P-02,RU000A1034J0,99.27,35820,8.44,22.0,––-02-––-––-05-––-––-08-––-––-11-––
ОР ООО 001P-01,RU000A100V61,100.32,35705,12.12,9.46,––-––-03-––-––-06-––-––-09-––-––--12
Респ.Марий Эл 2017обл.08,RU000A0JY031,101.0,31610,8.27,19.8,––-02-––-––-05-––-––-08-––-––-11-––
ТФН 01,RU000A102QY6,99.92,30470,12.58,21.43,––-02-––-––-05-––-––-08-––-––-11-––
РОЛЬФ ООО БО 001Р-02,RU000A101GB7,100.68,26093,8.17,7.23,––-02-––-––-––-––-––-08-––-––-11-––
МигКредит 01К,RU000A103DA2,100.08,25997,12.96,21.1,01-02-03-04-05-06-07-08-09-10-11--12
ОР ООО 001P-02,RU000A1015P6,100.29,22898,12.48,23.53,––-––-––-––-––-––-––-08-––-––-––-––
АПРИ Флай Плэнинг АО БО-П04,RU000A102KR3,100.91,14409,13.08,22.16,––-––-03-––-––-06-––-––-09-––-––--12
С-Инновации БО-П02,RU000A1037S4,100.87,12085,10.94,20.9,––-––-03-––-––-06-––-––-09-––-––--12
Лизинг-Трейд 001P-01,RU000A101CB6,101.16,11806,11.85,11.76,––-––-––-––-––-––-––-08-09-––-––-––
АПРИ Флай Плэнинг АО БО-П02,RU000A100K64,101.93,11673,12.3,7.03,01-––-––-04-––-––-07-––-––-10-––-––
АПРИ Флай Плэнинг АО БО-П03,RU000A101178,101.83,9818,12.74,10.7,––-02-––-––-05-––-––-08-––-––-11-––
