Полное наименование,Код ценной бумаги,"Цена, %","Объем сделок за n дней, шт.",Доходность,"Дюрация, месяцев",Месяцы выплат
ОФЗ-ПД 26209 20/07/22,SU26209RMFS5,99.03,17379465,10.29,5.2,––-––-––-––-––-––-07-––-––-––-––-––
ОФЗ-ПД 26211 25/01/23,SU26211RMFS1,97.529,7398509,10.32,11.3,01-––-––-––-––-––-07-––-––-––-––-––
ОФЗ-ПД 26215 16/08/23,SU26215RMFS2,96.2,3499259,10.26,17.03,––-02-––-––-––-––-––-08-––-––-––-––
ОФЗ-ПД 26220 07/12/22,SU26220RMFS2,98.098,3453127,10.36,9.63,––-––-––-––-––-06-––-––-––-––-––--12
ОФЗ-ПД 26223 28/02/24,SU26223RMFS6,93.8,2423431,10.44,22.86,––-02-03-––-––-––-––-08-––-––-––-––
Газпром нефть ПАО 001P-03R,RU000A0ZYDS7,98.73,406586,10.3,7.93,––-––-––-04-––-––-––-––-––-10-––-––
ПАО НК Роснефть обл.05,RU000A0JT965,98.7,310786,10.42,7.93,––-––-––-04-––-––-––-––-––-10-––-––
ГТЛК БО 001P-15,RU000A100Z91,93.21,274175,11.65,23.63,01-––-––-04-––-––-07-––-––-10-––-––
Мобильные ТелеСистемы 001P-03,RU000A0ZYFC6,98.48,236872,10.75,8.5,––-––-––-––-05-––-––-––-––-––-11-––
Сбербанк ПАО 001Р-SBER15,RU000A101C89,93.72,233424,10.38,22.43,01-––-––-––-––-––-07-––-––-––-––-––
ГосТранспортЛизингКомп 001P-04,RU000A0JXPG2,98.92,225112,11.05,13.56,––-––-––-04-––-––-––-––-––-––-––-––
Сбербанк ПАО 001Р-SBER24,RU000A102RS6,95.01,221763,10.5,18.76,––-––-––-04-––-––-––-––-––-10-––-––
ОФЗ-ПД 25084 04/10/23,SU25084RMFS3,93.215,207651,10.28,18.93,––-––-––-04-––-––-––-––-––-10-––-––
Сбербанк ПАО 001Р-SBER12,RU000A100K80,99.25,199550,10.02,4.9,––-––-––-––-––-––-07-––-––-––-––-––
