Полное наименование,Код ценной бумаги,"Цена, %","Объем сделок за n дней, шт.",Доходность,"Дюрация, месяцев",Месяцы выплат
ОФЗ-ПД 26223 28/02/24,SU26223RMFS6,97.735,17035034,11.9,5.6,––-02-––-––-––-––-––-––-––-––-––-––
ОФЗ-ПД 26227 17/07/24,SU26227RMFS7,96.6,4114514,11.83,10.03,01-––-––-––-––-––-07-––-––-––-––-––
ОФЗ-ПД 26222 16/10/24,SU26222RMFS8,95.389,3204446,11.76,12.66,––-––-––-04-––-––-––-––-––-10-––-––
Сбербанк ПАО 002Р-green01,RU000A103YM3,99.52,357367,12.24,1.93,––-––-––-––-––-––-––-––-––-––-11-––
Сбербанк ПАО 001Р-SBER33,RU000A103WV8,96.9,294469,12.17,13.5,––-––-––-––-05-––-––-––-––-––-11-––
ГК Самолет БО-П10,RU000A103L03,97.02,251635,12.04,11.03,––-02-––-––-05-––-––-08-––-––-11-––
Брусника 001P-02,RU000A102Y58,98.29,219321,14.0,6.5,01-––-––-04-––-––-––-––-––-10-––-––
Сбербанк ПАО 001Р-SBER15,RU000A101C89,98.02,215427,12.25,4.36,01-––-––-––-––-––-––-––-––-––-––-––
Сбербанк ПАО 001Р-SBER17,RU000A1025U5,99.27,171684,12.08,1.53,––-––-––-––-––-––-––-––-––-10-––-––
ГК Самолет БО-П09,RU000A102RX6,98.52,164458,12.97,5.16,––-02-––-––-––-––-––-––-––-––-––-––
Сбербанк ПАО 001Р-SBER19,RU000A102CU4,98.97,148568,11.1,2.16,––-––-––-––-––-––-––-––-––-––-11-––
Боржоми Финанс 001P-01,RU000A102SK1,96.55,132029,16.91,5.43,––-02-––-––-––-––-––-08-––-––-––-––
ГК Сегежа 002P-01R,RU000A1041B2,94.44,109187,15.38,13.36,––-––-––-––-05-––-––-––-––-––-11-––
ФПК Гарант-Инвест БО 001P-05,RU000A1005T9,98.91,103914,15.68,3.66,01-––-––-––-––-––-––-––-––-10-––-––
Группа ЛСР ПАО БО 001Р-04,RU000A100WA8,97.43,91357,14.2,6.13,––-––-03-––-––-06-––-––-09-––-––--12
ГК Сегежа 002P-04R,RU000A104UA4,98.8,89956,16.36,2.5,––-02-––-––-05-––-––-08-––-––-11-––
Банк ВТБ (ПАО) Б-1-320,RU000A106M25,99.39,80409,10.16,10.16,01-02-03-04-05-06-07-––-09-10-11--12
ХэндерсонБ01,RU000A103Q08,97.1,76872,14.71,10.36,––-––-03-––-––-06-––-––-09-––-––--12
ГПБ (АО) БО-10,RU000A0JUV08,97.78,66648,10.82,11.9,––-––-03-––-––-––-––-––-09-––-––-––
Сбербанк ПАО 001Р-SBER16,RU000A101QW2,95.82,66116,12.24,8.53,––-––-––-––-05-––-––-––-––-––-––--12
ГК Пионер БО 001P-05,RU000A102KG6,96.93,62524,15.07,7.33,––-––-03-––-––-06-––-––-09-––-––--12
Ритейл Бел Финанс 001P-01,RU000A101QF7,96.0,56980,14.53,10.93,––-02-––-––-05-––-––-08-––-––-11-––
Джи-групп 002P-01,RU000A103JR3,101.12,55545,12.23,2.96,––-02-––-––-05-––-––-08-––-––-11-––
ИНАРКТИКА 001Р-01,RU000A102TT0,98.55,50585,13.22,5.83,––-––-03-––-––-––-––-––-––-––-––-––
АБЗ-1 001Р-02,RU000A1046N6,99.98,48465,13.58,14.0,––-––-03-––-––-06-––-––-09-––-––--12
АБЗ-1 001Р-01,RU000A102LW1,99.92,45637,12.66,1.9,––-––-––-––-––-––-––-––-09-––-––--12
Селектел 001P-01R,RU000A102SG9,98.45,43451,13.07,5.4,––-02-––-––-––-––-––-––-––-––-––-––
ВИС ФИНАНС БО-П01,RU000A102952,99.26,40631,17.93,1.13,01-––-––-04-––-––-07-––-––-10-––-––
АПРИ ФП БО-002Р-01,RU000A105DS9,101.79,36052,13.31,1.83,––-02-––-––-05-––-––-08-––-––-11-––
MT-FREE-02,RU000A102DK3,95.85,32702,16.47,8.06,––-––-––-––-05-––-––-––-––-––-11-––
реСтор 001Р-01,RU000A103935,94.53,26871,16.49,8.76,––-––-03-––-––-06-––-––-09-––-––--12
