Полное наименование,Код ценной бумаги,"Цена, %","Объем сделок за n дней, шт.",Доходность,"Дюрация, месяцев",Месяцы выплат
ОФЗ-ПД 26220 07/12/22,SU26220RMFS2,97.9,5839456,11.43,7.16,––-––-––-––-––-06-––-––-––-––-––--12
ОФЗ-ПД 26211 25/01/23,SU26211RMFS1,98.3,683346,9.66,8.83,01-––-––-––-––-––-07-––-––-––-––-––
Сбербанк ПАО 001Р-SBER18,RU000A102FR3,95.87,234763,12.98,7.3,––-––-––-––-––-06-––-––-––-––-––--12
Газпром нефть ПАО 001P-03R,RU000A0ZYDS7,98.43,201432,11.8,5.7,––-––-––-––-––-––-––-––-––-10-––-––
Республика Беларусь 03,RU000A100D30,98.25,196561,16.54,3.2,––-––-––-––-––-––-––-08-––-––-––-––
АЛЬФА-БАНК АО БО 002Р-05,RU000A100PQ8,98.09,163888,15.79,3.46,––-––-––-––-––-––-––-08-––-––-––-––
Республика Беларусь 04,RU000A100D63,98.25,128976,16.54,3.2,––-––-––-––-––-––-––-08-––-––-––-––
ГК Самолет БО-П08,RU000A101H43,95.65,114125,17.57,9.83,––-02-––-––-––-––-––-08-––-––-––-––
Банк ВТБ (ПАО) Б-1-252,RU000A1046G0,97.3,105501,14.12,7.13,––-––-––-––-––-06-––-––-09-––-––--12
Сегежа Групп 001P-01R,RU000A101D13,95.41,92164,14.33,8.86,01-––-––-––-––-––-07-––-––-––-––-––
Банк ВТБ (ПАО) Б-1-229,RU000A103GF4,98.15,89363,15.32,3.06,––-––-––-––-05-––-––-08-––-––-––-––
ГПБ (АО) БО 001Р-05Р,RU000A1002E8,98.0,88494,12.35,8.96,01-––-––-––-––-––-07-––-––-––-––-––
ГК Самолет БО-П07,RU000A100YG1,98.07,87295,16.94,5.66,––-––-––-––-––-––-07-––-––-10-––-––
ПИК СЗ (ПАО) БО-П03,RU000A0JXY44,99.31,71909,14.49,3.03,––-––-––-––-––-––-07-––-––-––-––-––
Банк ВТБ (ПАО) Б-1-251,RU000A103YS0,97.48,70912,14.05,6.0,––-––-––-––-05-––-––-08-––-10-––-––
Банк ВТБ (ПАО) Б-1-253,RU000A104C60,97.39,70247,13.49,7.83,––-––-––-––-––-06-––-––-09-––-––--12
ГосТранспортЛизингКомп 001P-04,RU000A0JXPG2,95.76,67279,15.52,11.36,––-––-––-––-––-––-––-––-––-––-––-––
МегаФон ПАО БО-001P-03,RU000A0ZYC98,98.1,60226,13.03,5.23,––-––-––-––-––-––-––-––-––-10-––-––
ПИК-Корпорация 001Р-03,RU000A1026C1,93.63,58246,15.93,10.8,––-––-03-––-––-06-––-––-09-––-––--12
ДОМОДЕДОВО ФьюэлФ 001Р-01,RU000A0ZYM21,93.31,58243,20.89,7.6,––-––-––-––-––-06-––-––-––-––-––--12
Сбербанк ПАО БО 001P-16R,RU000A0ZZE20,96.54,57559,13.11,8.56,01-––-––-––-––-––-07-––-––-––-––-––
Брусника 001P-01,RU000A101HU5,95.04,53194,24.57,5.6,––-––-03-––-––-06-––-––-09-––-––--12
Россельхозбанк АО БО-06Р,RU000A0ZZPZ3,98.0,42267,14.21,5.6,––-––-––-––-––-––-––-––-––-10-––-––
АБЗ-1 001Р-01,RU000A102LW1,89.49,39462,26.31,11.56,––-––-03-––-––-06-––-––-09-––-––--12
Сэтл-Групп ООО БО-001P-01,RU000A0ZYEQ9,98.01,38287,16.4,4.53,––-––-––-––-––-––-07-––-––-10-––-––
ГК Пионер БО 001P-04,RU000A1016F5,92.67,38057,20.52,11.26,––-––-03-––-––-06-––-––-09-––-––--12
ПАО НК Роснефть обл.05,RU000A0JT965,98.2,33343,12.43,5.7,––-––-––-––-––-––-––-––-––-10-––-––
Первое кол.бюро НАО 001Р-01,RU000A1020S0,96.98,29222,19.45,7.36,––-02-––-––-05-––-––-08-––-––-11-––
Группа ЛСР ПАО БО 001Р-03,RU000A0ZYBV5,97.99,28367,15.02,4.96,––-––-––-––-––-06-––-––-09-––-––-––
Мобильные ТелеСистемы 001P-03,RU000A0ZYFC6,97.38,26169,13.71,6.03,––-––-––-––-05-––-––-––-––-––-11-––
РОСНАНО АО обл. 07,RU000A0JW1G7,97.61,25624,17.41,7.33,––-––-––-––-––-06-––-––-––-––-––--12
ЛЕГЕНДА БО 001P-02,RU000A101GW3,92.79,21659,30.63,5.73,––-––-03-––-––-06-––-––-09-––-––--12
Кредит Европа Банк АО 001Р-03,RU000A100X77,96.27,17283,19.53,5.3,––-––-––-––-––-––-07-––-––-10-––-––
Мобильные ТелеСистемы 001P-13,RU000A101939,96.49,16652,12.82,7.76,––-––-––-––-––-06-––-––-09-––-––--12
Ненецкий авт.округ 2017,RU000A0ZYF61,96.14,15934,12.65,11.0,––-––-––-––-05-––-––-08-––-––-11-––
Орловская область 2017,RU000A0ZYGM3,98.0,11558,12.57,6.86,––-––-––-––-––-06-––-––-09-––-11-––
