Полное наименование,Код ценной бумаги,"Цена, %","Объем сделок за n дней, шт.",Доходность,"Дюрация, месяцев",Месяцы выплат
ОР ООО 001P-01,RU000A100V61,100.15,85750,12.34,12.03,––-––-03-––-––-06-––-––-09-––-––--12
Брусника 001P-01,RU000A101HU5,102.49,76071,9.67,16.93,––-––-03-––-––-06-––-––-09-––-––--12
ЛЕГЕНДА БО 001P-02,RU000A101GW3,101.51,53528,9.93,13.9,––-––-03-––-––-06-––-––-09-––-––--12
АЗБУКА_ВКУСА_БОП1,RU000A100HE1,101.87,35927,8.04,13.63,––-––-03-––-––-06-––-––-09-––-––--12
ГК Самолет БО-П06,RU000A100QA0,101.3,22928,8.01,9.4,––-02-––-––-05-––-––-08-––-––-11-––
Джи-групп 001P-01,RU000A101TS4,103.85,18631,9.96,16.2,––-––-03-––-––-06-––-––-09-––-––--12
ЭБИС БО-П01,RU000A100VY0,101.88,16458,10.98,16.2,––-––-03-––-––-06-––-––-09-––-––--12
ЮниМетрикс 01,RU000A100T81,101.0,16278,12.33,15.03,––-––-––-––-05-––-––-––-––-––-––-––
АО им. Т.Г. Шевченко 001P-01,RU000A100YP2,102.6,15451,12.41,16.3,01-––-––-04-––-––-07-––-––-10-––-––
Лизинг-Трейд 001P-01,RU000A101CB6,100.5,14737,13.13,14.23,––-––-––-––-05-06-07-08-09-––-––-––
ЛЕГЕНДА БО 001P-03,RU000A101YD6,102.73,14355,9.72,9.19,––-02-––-––-05-––-––-08-––-––-11-––
ТрансФин-М ПАО 001P-04,RU000A0ZYEB1,100.1,13624,9.02,11.4,––-––-––-04-––-––-––-––-––-10-––-––
Вита Лайн БО-01,RU000A101DU4,101.12,12701,9.9,9.16,––-02-––-––-05-––-––-08-––-––-11-––
АО ЛК Европлан БО-03,RU000A100W60,101.55,12053,8.01,16.8,––-––-03-––-––-––-––-––-09-––-––-––
АПРИ Флай Плэнинг АО БО-П03,RU000A101178,102.03,11748,13.11,13.13,––-02-––-––-05-––-––-08-––-––-11-––
ЭнергоТехСервис 001Р-02,RU000A101TR6,103.7,11231,9.32,16.36,––-––-03-––-––-06-––-––-09-––-––--12
ОбъединениеАгроЭлита БО-П01,RU000A0ZZWJ3,103.35,8919,10.97,12.76,––-––-––-––-––-––-––-––-––-––-––-––
МФК КарМани БО-1-03,RU000A1014P9,103.55,8837,11.97,11.86,––-––-––-––-05-06-07-08-––-––-––-––
АПРИ Флай Плэнинг АО БО-П02,RU000A100K64,102.53,8759,12.31,9.66,01-––-––-04-––-––-07-––-––-10-––-––
Калужская сбытовая комп 1P 01,RU000A0ZZYL5,101.83,6537,10.24,7.5,––-––-––-––-––-06-––-––-––-––-––--12
ЗАО ЛК Роделен БО 001Р-02,RU000A100W29,101.16,5895,11.68,8.13,––-––-––-04-05-––-––-––-––-––-––-––
