Полное наименование,Код ценной бумаги,"Цена, %","Объем сделок за n дней, шт.",Доходность,"Дюрация, месяцев",Месяцы выплат
ОФЗ-ПД 26215 16/08/23,SU26215RMFS2,100.01,5130485,7.12,6.06,––-02-––-––-––-––-––-08-––-––-––-––
ОФЗ-ПД 25084 04/10/23,SU25084RMFS3,98.725,4248483,7.43,7.73,––-––-––-04-––-––-––-––-––-10-––-––
ОФЗ-ПД 26223 28/02/24,SU26223RMFS6,99.096,4206879,7.64,12.23,––-02-03-––-––-––-––-08-––-––-––-––
ОФЗ-ПД 26227 17/07/24,SU26227RMFS7,99.635,1897461,7.82,16.83,01-––-––-––-––-––-07-––-––-––-––-––
ВЭБ.РФ ПБО-001Р-34,RU000A105JU2,100.44,1099338,9.33,20.53,––-––-––-––-––-06-––-––-––-––-––--12
ОФЗ-ПК 29006 29/01/25,SU29006RMFS2,101.402,994627,8.11,22.53,01-––-––-––-––-––-07-08-––-––-––-––
ГПБ (АО) БО-10,RU000A0JUV08,99.81,990965,8.44,18.43,––-––-03-––-––-––-––-––-09-––-––-––
Сбербанк ПАО 001Р-SBER17,RU000A1025U5,98.29,764377,8.3,8.56,––-––-––-04-––-––-––-––-––-10-––-––
ВЭБ.РФ ПБО-001Р-22,RU000A102FC5,98.2,518350,8.44,9.8,––-––-––-––-––-06-––-––-––-––-––--12
Сбербанк ПАО 001Р-SBER33,RU000A103WV8,100.7,460003,8.73,20.0,––-––-––-––-05-––-––-––-––-––-11-––
Сбербанк ПАО 001Р-SBER24,RU000A102RS6,99.1,415409,8.34,7.76,––-––-––-04-––-––-––-––-––-10-––-––
ОФЗ-ПД 26222 16/10/24,SU26222RMFS8,99.09,409906,7.86,19.26,––-––-––-04-––-––-––-––-––-10-––-––
ПАО ЛК Европлан 001P-02,RU000A1034J0,98.6,407408,10.17,7.46,––-02-––-––-05-––-––-08-––-––-11-––
Сбербанк ПАО 001Р-SBER15,RU000A101C89,98.34,335782,8.34,11.36,01-––-––-––-––-––-07-––-––-––-––-––
Мобильные ТелеСистемы 001P-23,RU000A105NA6,99.56,322786,8.83,20.93,––-––-03-––-––-06-––-––-09-––-––--12
ГМК Нор.никель БО-001P-01,RU000A100VQ6,98.13,273815,8.66,18.53,––-––-03-––-––-––-––-––-09-––-––-––
ГК Самолет БО-П09,RU000A102RX6,98.38,236012,10.93,11.56,––-02-––-––-––-––-––-08-––-––-––-––
Группа ЛСР ПАО БО 001Р-05,RU000A100ZL8,97.25,198072,11.36,13.9,01-––-––-04-––-––-07-––-––-10-––-––
ГК Самолет БО-П10,RU000A103L03,97.68,185554,11.43,17.23,––-02-––-––-05-––-––-08-––-––-11-––
ГПБ (АО) БО 001Р-13Р,RU000A100VR4,99.6,168136,8.03,7.53,––-––-03-––-––-––-––-––-09-––-––-––
ЭР-Телеком Холдинг ПБО-02-01,RU000A103WR6,100.19,167967,9.36,8.23,––-––-––-04-––-––-07-––-––-10-––-––
МВ ФИНАНС 001Р-02,RU000A103HT3,94.94,167423,12.36,17.26,––-02-––-––-05-––-––-08-––-––-11-––
Сбербанк ПАО 001Р-SBER16,RU000A101QW2,96.75,166106,8.5,15.4,––-––-––-––-05-06-––-––-––-––-––--12
ТМК 001P-02,RU000A102SC8,98.2,157620,9.38,11.9,––-02-––-––-05-––-––-08-––-––-11-––
Группа ЛСР ПАО БО 001Р-04,RU000A100WA8,97.65,155749,11.43,13.0,––-––-03-––-––-06-––-––-09-––-––--12
Сбербанк ПАО 001Р-SBER19,RU000A102CU4,98.16,131066,8.3,9.19,––-––-––-––-05-––-––-––-––-––-11-––
АБЗ-1 001Р-02,RU000A1046N6,98.4,120659,14.49,19.6,––-––-03-––-––-06-––-––-09-––-––--12
Брусника 002Р-01,RU000A1048A9,98.47,114990,13.35,21.16,––-––-03-––-––-06-––-––-09-––-––--12
Сбербанк ПАО 002Р-green01,RU000A103YM3,100.5,112795,8.19,8.86,––-––-––-––-05-––-––-––-––-––-11-––
Ритейл Бел Финанс 01,RU000A100JH0,99.89,101850,11.61,10.33,01-––-––-04-––-––-07-––-––-10-––-––
Экспобанк 001P-01,RU000A103RT2,95.0,88450,13.04,18.36,––-––-03-––-––-06-––-––-09-––-––--12
КИВИ Финанс 001P-01,RU000A1028C7,99.19,85357,9.58,7.9,––-––-––-04-––-––-07-––-––-10-––-––
ПАО ЛК Европлан 001P-01,RU000A102RU2,95.96,83453,11.37,13.1,––-02-––-––-05-––-––-08-––-––-11-––
ЯТЭК 001Р-02,RU000A102ZH2,97.42,83215,11.46,17.36,––-––-––-04-––-––-––-––-––-10-––-––
ХК Новотранс 001P-01,RU000A1014S3,98.89,81650,10.56,10.56,––-02-03-––-05-––-––-08-––-––-11-––
Балтийский лизинг ООО БО-П04,RU000A103M10,98.25,74160,10.77,10.66,––-02-––-––-05-––-––-08-––-––-11-––
ПИК-Корпорация 001Р-02,RU000A1016Z3,98.22,67335,10.28,12.46,––-––-03-––-––-06-––-––-09-––-––--12
ГТЛК БО 001P-15,RU000A100Z91,94.7,67301,11.65,19.0,01-––-––-04-––-––-07-––-––-10-––-––
ИНАРКТИКА 001Р-01,RU000A102TT0,99.6,62419,9.94,12.23,––-––-03-––-––-––-––-––-09-––-––-––
СофтЛайн Трейд 001P-04,RU000A1029T9,99.17,61810,10.32,10.16,––-––-03-––-––-06-––-––-09-––-––--12
Селектел 001P-01R,RU000A102SG9,99.27,58311,9.32,11.86,––-02-––-––-––-––-––-08-––-––-––-––
Брусника 001P-02,RU000A102Y58,97.76,55897,12.24,13.2,01-––-––-04-––-––-07-––-––-10-––-––
ХэндерсонБ01,RU000A103Q08,97.18,55018,13.51,15.0,––-––-03-––-––-06-––-––-09-––-––--12
ОКЕЙ ООО БО 001Р-03,RU000A1014B9,97.75,52655,10.88,10.56,––-02-––-––-05-––-––-08-––-––-11-––
ФПК Гарант-Инвест БО 001P-05,RU000A1005T9,99.18,50259,14.31,8.06,01-––-––-04-––-––-07-––-––-10-––-––
Джи-групп 002P-02,RU000A105Q97,100.74,47607,14.68,14.43,––-––-03-––-––-06-––-––-09-––-––--12
Ритейл Бел Финанс 001P-01,RU000A101QF7,95.94,47457,13.11,17.16,––-02-03-––-05-––-––-08-––-––-11-––
ГПБ (АО) БО-17,RU000A0ZYEE5,99.38,47245,8.92,19.6,––-––-––-04-––-––-––-––-––-10-––-––
Хэдхантер 001P-01R,RU000A102GY7,98.07,44787,9.2,9.86,––-––-03-––-––-06-––-––-09-––-––--12
ГосТранспортЛизингКомп 001P-03,RU000A0JXE06,100.48,43320,10.88,11.43,––-––-––-––-––-––-––-––-––-––-––-––
ГТЛК БО 001P-09,RU000A0ZZ1J8,93.96,41428,11.98,18.7,––-––-03-––-––-––-––-––-––-––-––-––
Банк ВТБ (ПАО) Б-1-307,RU000A105HE0,100.11,39707,8.29,9.23,––-02-––-––-05-––-––-08-––-––-11-––
Центральная ППК П01-БО-03,RU000A103F27,99.59,31828,10.08,16.66,01-––-––-––-––-––-07-––-––-––-––-––
Республика Карелия 35018,RU000A0ZYCZ4,100.14,31448,7.99,8.1,––-––-––-––-––-––-––-––-––-––-––-––
Мобильные ТелеСистемы 001P-12,RU000A100ZK0,99.4,30889,7.95,8.46,––-––-––-04-––-––-07-––-––-10-––-––
Сэтл-Групп ООО БО-001P-03,RU000A1030X9,98.49,29861,9.85,13.8,01-––-––-04-––-––-07-––-––-10-––-––
Уралкалий ПАО ПБО-06-P,RU000A101GZ6,95.88,29657,9.3,22.9,––-02-––-––-––-––-––-08-––-––-––-––
АВТОДОМ АО 001P-01,RU000A104CJ3,97.46,25846,14.54,20.43,––-––-03-––-––-06-––-––-09-––-––--12
Первое кол.бюро НАО 001Р-02,RU000A103RJ3,96.79,24393,13.69,16.33,––-––-03-––-––-06-––-––-09-––-––--12
Республика Казахстан 01,RU000A101RP4,98.55,23926,8.48,7.26,––-––-03-––-––-––-––-––-09-––-––-––
