Полное наименование,Код ценной бумаги,"Цена, %","Объем сделок за n дней, шт.",Доходность,"Дюрация, месяцев",Месяцы выплат
ФПК Гарант-Инвест БО 001P-05,RU000A1005T9,99.95,218773,12.56,16.36,01-––-––-04-––-––-07-––-––-10-––-––
ГТЛК БО 001P-15,RU000A100Z91,99.71,161801,8.08,22.76,01-––-––-04-––-––-07-––-––-10-––-––
Джи-групп 002P-01,RU000A103JR3,100.37,153500,10.9,23.83,––-02-––-––-05-––-––-08-––-––-11-––
ПИК-Корпорация 001Р-04,RU000A103C46,100.0,143243,8.43,20.06,––-––-03-04-––-06-07-––-09-10-––--12
ГруппаЧеркизово БО-001Р-02,RU000A1013Y3,99.1,137424,8.34,19.36,––-02-––-––-05-––-––-08-––-––-11-––
Ритейл Бел Финанс 01,RU000A100JH0,100.65,105006,11.16,22.0,01-––-––-04-––-––-07-––-––-10-––-––
АБЗ-1 001Р-01,RU000A102LW1,100.61,82715,12.14,17.96,––-––-03-––-––-06-––-––-09-––-––--12
Сегежа Групп 001P-01R,RU000A101D13,98.99,77477,8.17,15.9,01-––-––-––-––-––-07-––-––-––-––-––
КАМАЗ ПАО БО-П08,RU000A103DP0,100.8,71070,8.05,20.39,01-––-––-04-––-––-07-––-––-10-––-––
Брусника 001P-01,RU000A101HU5,101.92,71068,9.42,12.73,––-––-03-––-––-06-––-––-09-––-––--12
РЕСО-Лизинг ООО БО-П-06,RU000A100PE4,101.63,68110,8.16,21.26,01-02-––-––-––-––-––-08-––-––-––-––
Республика Беларусь 04,RU000A100D63,100.12,67873,8.64,10.4,––-02-––-––-––-––-––-08-––-––-––-––
ПР-Лизинг ООО БО 002Р-01,RU000A1022E6,100.49,66715,10.14,15.93,01-02-03-04-––-––-––-––-09-10-11--12
СофтЛайн Трейд 001P-04,RU000A1029T9,100.22,65605,9.0,22.2,––-––-03-––-––-06-––-––-09-––-––--12
КТЖ Финанс ООО об.01,RU000A0JXS34,100.72,59589,8.14,8.5,––-––-––-––-––-06-––-––-––-––-––--12
Республика Беларусь 03,RU000A100D30,100.12,57610,8.69,10.4,––-02-––-––-––-––-––-08-––-––-––-––
МТС-Банк ПАО 001P-01,RU000A1034T9,99.25,56782,8.14,19.2,––-––-––-––-05-––-––-––-––-––-11-––
Первое кол.бюро НАО 001Р-01,RU000A1020S0,103.52,56213,10.41,14.3,––-02-––-––-05-––-––-08-––-––-11-––
АО ЭР-Телеком Холдинг ПБО-04,RU000A1029P7,99.69,55215,8.38,12.73,01-––-––-04-––-––-07-––-––-10-––-––
ГК Самолет БО-П08,RU000A101H43,103.6,54124,8.35,16.73,––-02-03-––-––-––-––-08-––-––-––-––
Балтийский лизинг ООО БО-П02,RU000A100JE7,100.5,52586,8.2,4.96,01-––-––-04-––-––-07-––-––-10-––-––
КИВИ Финанс 001P-01,RU000A1028C7,97.64,52082,9.96,22.93,01-––-––-04-––-––-07-––-––-10-––-––
ГК Пионер БО 001P-04,RU000A1016F5,101.2,48394,9.93,18.23,––-––-03-––-––-06-––-––-09-––-––--12
ГК Самолет БО-П07,RU000A100YG1,103.66,44428,8.54,12.4,01-––-––-04-––-––-07-––-––-10-––-––
ПИК-Корпорация 001Р-03,RU000A1026C1,99.0,43198,8.45,17.46,––-––-03-––-––-06-––-––-09-––-––--12
ЯТЭК 001Р-01,RU000A102B48,100.09,41288,8.4,23.43,––-––-––-––-05-––-––-––-––-10-11-––
ЛЕГЕНДА БО 001P-02,RU000A101GW3,100.95,40517,10.3,10.56,––-––-03-––-––-06-––-––-09-––-––--12
ОР ООО 001P-01,RU000A100V61,100.88,38272,11.19,7.36,––-––-03-––-––-06-––-––-09-––-––--12
Онлайн Микрофинанс 03,RU000A102CZ3,100.67,31168,12.89,22.83,01-02-03-04-05-06-07-––-––-10-11--12
ПАО ЛК Европлан 001P-02,RU000A1034J0,99.07,28918,8.6,20.3,––-02-––-––-05-––-––-08-––-––-11-––
АПРИ Флай Плэнинг АО БО-П04,RU000A102KR3,101.17,28567,12.77,20.06,––-––-03-––-––-06-––-––-09-––-––--12
ОР ООО 001P-02,RU000A1015P6,100.9,22200,12.18,21.9,––-––-––-––-––-––-––-––-––-––-––-––
ТФН 01,RU000A102QY6,100.02,21460,12.43,19.96,––-02-––-––-05-––-––-08-––-––-11-––
ТАЛАН-ФИНАНС БО 001Р-01,RU000A100AA4,102.7,17694,10.63,6.86,01-––-––-04-––-––-––-––-––-10-––-––
МигКредит 01К,RU000A103DA2,99.02,17688,13.68,19.36,01-02-03-04-05-06-07-08-09-10-11--12
Джи-групп 001P-01,RU000A101TS4,103.25,17665,9.3,11.7,––-––-03-––-––-06-––-––-09-––-––--12
АПРИ Флай Плэнинг АО БО-П01,RU000A1003E6,101.65,17374,11.27,4.26,––-––-––-––-––-––-––-––-––-––-––-––
МФК Быстроденьги 001P-01,RU000A101483,103.64,15312,11.56,9.23,––-––-––-––-––-––-––-––-––-––-––-––
Лизинг-Трейд 001P-01,RU000A101CB6,100.82,14864,11.92,9.86,––-––-––-––-––-––-––-––-––-––-––-––
ДелоПортс ООО БО 001P-01,RU000A0JXVG0,101.0,14553,8.13,9.43,01-––-––-––-––-––-07-––-––-––-––-––
АПРИ Флай Плэнинг АО БО-П02,RU000A100K64,101.46,12062,11.89,4.93,01-––-––-04-––-––-07-––-––-10-––-––
