Полное наименование,Код ценной бумаги,Нужна квалификация?,"Цена, %","Объем сделок за n дней, шт.",Доходность,"Дюрация, месяцев",Месяцы выплат
ОФЗ-ПД 26229 12/11/25,SU26229RMFS3,нет,89.349,7487054,18.02,13.76,––-––-––-––-05-––-––-––-––-––-11-––
ОФЗ-ПД 26234 16/07/2025,SU26234RMFS3,нет,89.777,5285177,18.57,10.33,01-––-––-––-––-––-07-––-––-––-––-––
ОФЗ-ПК 29006 29/01/25,SU29006RMFS2,нет,99.911,2176156,17.89,4.86,01-––-––-––-––-––-––-––-––-––-––-––
Сбербанк ПАО 001Р-SBER42,RU000A105SD9,нет,95.67,367506,19.36,5.93,––-––-03-––-––-––-––-––-––-––-––-––
ГК Самолет БО-П12,RU000A104YT6,нет,94.56,241274,21.94,9.69,01-––-––-04-––-––-07-––-––-10-––-––
МВ ФИНАНС 001Р-03,RU000A104ZK2,нет,90.37,144936,27.49,10.1,01-––-––-04-––-––-07-––-––-10-––-––
Уралкалий ПАО ПБО-06-P,RU000A101GZ6,нет,94.4,143058,20.77,5.76,––-02-––-––-––-––-––-––-––-––-––-––
ФПК Гарант-Инвест БО 002Р-08,RU000A107TR3,нет,93.7,108214,25.99,15.26,01-02-03-04-05-06-07-08-09-10-11--12
КАМАЗ ПАО БО-П11,RU000A107MM9,нет,94.57,94604,20.02,15.2,01-––-––-04-––-––-07-––-––-10-––-––
Интерлизинг 001Р-07,RU000A1077X0,нет,93.4,84261,25.53,12.33,01-02-03-04-05-06-07-08-09-10-11--12
Селектел 001P-04R,RU000A1089J4,нет,95.16,84196,20.93,16.89,01-02-03-04-05-06-07-08-09-10-11--12
Республика Беларусь 07,RU000A100D89,нет,92.67,83450,22.55,7.66,––-––-––-––-05-––-––-––-––-10-––-––
Мобильные ТелеСистемы 001P-23,RU000A105NA6,нет,97.29,82316,19.23,3.4,––-––-––-––-––-––-––-––-09-––-––--12
Интерлизинг 001Р-06,RU000A106SF2,нет,89.0,80350,25.31,14.86,––-02-––-––-05-––-––-08-––-––-11-––
ЕвроТранс БО-001Р-01,RU000A105PP9,нет,92.0,76977,23.19,14.06,01-02-03-04-05-06-07-08-09-10-11--12
ПИК-Корпорация 001Р-02,RU000A1016Z3,нет,97.49,70639,19.26,3.16,––-––-––-––-––-––-––-––-09-––-––--12
АБЗ-1 001P-05,RU000A1070X5,нет,87.71,62890,25.98,15.5,01-02-03-04-05-06-07-08-09-10-11--12
Банк ВТБ (ПАО) Б-1-357,RU000A1094V9,нет,100.09,60012,18.07,4.76,01-––-––-––-––-––-––-––-––-10-––-––
Борец Капитал 001Р-01,RU000A105ZX2,нет,88.31,48751,23.14,16.76,––-––-03-––-––-06-––-––-09-––-––--12
Джи-групп 002P-03,RU000A106Z38,нет,92.93,44758,23.45,14.4,––-––-03-04-––-06-07-––-09-10-––--12
ВУШ БО 001P-01,RU000A104WS2,нет,94.15,35996,23.68,9.16,––-––-03-––-––-06-––-––-09-––-––--12
