Полное наименование,Код ценной бумаги,"Цена, %","Объем сделок за n дней, шт.",Доходность,"Дюрация, месяцев",Месяцы выплат
ФПК Гарант-Инвест БО 001P-05,RU000A1005T9,99.99,226184,12.55,19.7,01-––-––-04-––-––-07-––-––-10-––-––
АБЗ-1 001Р-01,RU000A102LW1,100.2,182851,12.43,22.33,––-––-03-––-––-06-––-––-09-––-––--12
Республика Беларусь 03,RU000A100D30,101.3,91175,8.03,14.9,––-02-––-––-––-––-––-08-––-––-––-––
Первое кол.бюро НАО БО-01,RU000A0JWWG0,102.32,83853,8.66,4.33,––-––-––-––-––-––-07-––-––-10-––-––
ПР-Лизинг ООО БО 002Р-01,RU000A1022E6,100.5,77450,10.14,20.16,01-02-03-04-05-06-07-08-09-10-11--12
ОР ООО 001P-01,RU000A100V61,100.15,70190,12.26,12.03,––-––-03-––-––-06-––-––-09-––-––--12
Брусника 001P-01,RU000A101HU5,102.49,69177,9.56,16.93,––-––-03-––-––-06-––-––-09-––-––--12
ТФН 01,RU000A102QY6,99.14,57412,12.87,23.56,––-02-––-––-05-––-––-08-––-––-11-––
Ренессанс Страхование 001P-01R,RU000A100X69,100.44,55927,8.07,5.66,––-––-––-04-––-––-––-––-––-10-––-––
ЛЕГЕНДА БО 001P-02,RU000A101GW3,101.51,50610,10.07,13.9,––-––-03-––-––-06-––-––-09-––-––--12
ГК Пионер БО 001P-04,RU000A1016F5,101.41,39804,9.91,22.23,––-––-03-––-––-06-––-––-09-––-––--12
АЗБУКА_ВКУСА_БОП1,RU000A100HE1,101.87,30729,8.04,13.63,––-––-03-––-––-06-––-––-09-––-––--12
ТЕПЛОЭНЕРГО 001Р-01,RU000A102J57,100.36,24719,10.13,18.6,––-––-03-––-––-06-––-––-09-––-––--12
ГК Самолет БО-П06,RU000A100QA0,101.3,20388,8.01,9.4,––-02-––-––-05-––-––-08-––-––-11-––
ЮниМетрикс 01,RU000A100T81,101.0,16270,12.33,15.03,––-––-––-––-05-––-––-––-––-––-––-––
Лизинг-Трейд 001P-01,RU000A101CB6,100.5,15497,12.57,14.23,––-––-––-––-05-06-07-08-09-––-––-––
Вита Лайн БО-01,RU000A101DU4,101.12,15376,10.12,9.16,––-02-––-––-05-––-––-08-––-––-11-––
ОКЕЙ ООО БО 001Р-02,RU000A1009Z8,101.4,15296,8.09,11.56,01-––-––-04-––-––-07-––-––-10-––-––
АО им. Т.Г. Шевченко 001P-01,RU000A100YP2,102.6,15056,11.92,16.3,01-––-––-04-––-––-07-––-––-10-––-––
ЭБИС БО-П01,RU000A100VY0,101.88,14719,11.02,16.2,––-––-03-––-––-06-––-––-09-––-––--12
ТрансФин-М ПАО 001P-04,RU000A0ZYEB1,100.1,13362,9.02,11.4,––-––-––-04-––-––-––-––-––-10-––-––
АПРИ Флай Плэнинг АО БО-П03,RU000A101178,102.03,12272,13.07,13.13,––-02-––-––-05-––-––-08-––-––-11-––
АПРИ Флай Плэнинг АО БО-П02,RU000A100K64,102.53,9338,11.7,9.66,01-––-––-04-––-––-07-––-––-10-––-––
Атомстройкомплекс 01,RU000A100VS2,101.34,8520,8.87,5.33,––-––-03-––-––-––-––-––-09-––-––-––
Калужская сбытовая комп 1P 01,RU000A0ZZYL5,101.83,6730,10.24,7.5,––-––-––-––-––-06-––-––-––-––-––--12
ЗАО ЛК Роделен БО 001Р-02,RU000A100W29,101.16,6401,11.09,8.13,––-––-––-04-05-––-––-––-––-––-––-––
