Полное наименование,Код ценной бумаги,"Цена, %","Объем сделок за n дней, шт.",Доходность,"Дюрация, месяцев",Месяцы выплат
ОФЗ-ПД 26215 16/08/23,SU26215RMFS2,99.974,9228355,7.29,2.06,––-––-––-––-––-––-––-08-––-––-––-––
ОФЗ-ПД 25084 04/10/23,SU25084RMFS3,99.38,4610457,7.21,3.7,––-––-––-––-––-––-––-––-––-10-––-––
Сбербанк ПАО 001Р-SBER17,RU000A1025U5,99.16,464184,8.16,4.53,––-––-––-––-––-––-––-––-––-10-––-––
Сбербанк ПАО 001Р-SBER22,RU000A102RQ0,100.01,300471,6.0,0.13,––-––-––-––-––-06-––-––-––-––-––-––
ПИК-Корпорация 001Р-04,RU000A103C46,100.01,278646,8.12,0.5,––-––-––-––-––-06-––-––-––-––-––-––
Сбербанк ПАО 001Р-SBER24,RU000A102RS6,99.52,253632,8.37,3.76,––-––-––-––-––-––-––-––-––-10-––-––
Сбербанк ПАО 002Р-green01,RU000A103YM3,100.29,149247,8.19,4.93,––-––-––-––-––-––-––-––-––-––-11-––
ГК Пионер БО 001P-04,RU000A1016F5,100.0,123887,10.92,4.46,––-––-––-––-––-––-––-––-09-––-––--12
Сбербанк ПАО 001Р-SBER32,RU000A103G75,99.97,122307,7.56,1.66,––-––-––-––-––-––-––-08-––-––-––-––
ВЭБ.РФ ПБО-001Р-17,RU000A100GY1,100.02,109138,7.06,0.23,––-––-––-––-––-06-––-––-––-––-––-––
АБЗ-1 001Р-01,RU000A102LW1,100.48,86942,10.64,3.33,––-––-––-––-––-06-––-––-09-––-––--12
АЛЬФА-БАНК Б2Р8,RU000A102A07,99.2,82235,8.24,4.56,––-––-––-––-––-––-––-––-––-10-––-––
РЕСО-Лизинг ООО БО-П-06,RU000A100PE4,100.01,57196,8.72,1.56,––-––-––-––-––-––-––-08-––-––-––-––
ОФЗ-АД 46022 19/07/23,SU46022RMFS8,99.942,55445,5.68,1.13,––-––-––-––-––-––-––-––-––-––-––-––
ЯТЭК 001Р-01,RU000A102B48,99.88,43934,8.98,4.59,––-––-––-––-––-––-––-––-––-10-––-––
ХК Финанс ООО БО 001Р-05,RU000A102CD0,99.09,38604,10.17,4.86,––-––-––-––-––-––-––-08-––-––-11-––
КИВИ Финанс 001P-01,RU000A1028C7,99.9,36793,8.99,3.83,––-––-––-––-––-––-07-––-––-10-––-––
