Полное наименование,Код ценной бумаги,"Цена, %","Объем сделок за n дней, шт.",Доходность,"Дюрация, месяцев",Месяцы выплат
ФПК Гарант-Инвест БО 001P-05,RU000A1005T9,100.0,195492,12.55,16.73,01-––-––-04-––-––-07-––-––-10-––-––
ПИК-Корпорация 001Р-04,RU000A103C46,100.25,173330,8.26,20.43,––-––-03-04-––-06-07-––-09-10-––--12
ГруппаЧеркизово БО-001Р-02,RU000A1013Y3,99.37,152461,8.11,19.73,––-02-––-––-05-––-––-08-––-––-11-––
Ритейл Бел Финанс 01,RU000A100JH0,100.5,142122,11.08,22.36,01-––-––-04-––-––-07-––-––-10-––-––
ГК Самолет БО-П08,RU000A101H43,103.99,121091,8.34,17.1,––-02-03-––-––-––-––-08-––-––-––-––
КИВИ Финанс 001P-01,RU000A1028C7,98.52,108680,9.49,23.3,01-––-––-04-––-––-07-––-––-10-––-––
АБЗ-1 001Р-01,RU000A102LW1,100.69,95071,12.15,18.33,––-––-03-––-––-06-––-––-09-––-––--12
ПР-Лизинг ООО БО 002Р-01,RU000A1022E6,100.49,73543,10.07,16.3,01-02-03-04-––-––-––-––-09-10-11--12
Брусника 001P-01,RU000A101HU5,102.07,62286,9.34,12.76,––-––-03-––-––-06-––-––-09-––-––--12
СофтЛайн Трейд 001P-04,RU000A1029T9,100.58,61521,8.73,22.56,––-––-03-––-––-06-––-––-09-––-––--12
ГК Пионер БО 001P-04,RU000A1016F5,101.39,55849,9.92,18.13,––-––-03-––-––-06-––-––-09-––-––--12
Республика Беларусь 03,RU000A100D30,100.2,55831,8.62,10.76,––-02-––-––-––-––-––-08-––-––-––-––
Республика Беларусь 04,RU000A100D63,100.2,47387,8.65,10.76,––-02-––-––-––-––-––-08-––-––-––-––
ЯТЭК 001Р-01,RU000A102B48,100.0,38807,8.54,23.8,––-––-––-––-05-––-––-––-––-10-11-––
ЛЕГЕНДА БО 001P-02,RU000A101GW3,100.85,37258,10.05,9.6,––-––-03-––-––-06-––-––-09-––-––--12
ПАО ЛК Европлан 001P-02,RU000A1034J0,99.29,33206,8.54,20.66,––-02-––-––-05-––-––-08-––-––-11-––
ГК Самолет БО-П07,RU000A100YG1,104.15,32089,8.45,12.76,01-––-––-04-––-––-07-––-––-10-––-––
ПИК-Корпорация 001Р-03,RU000A1026C1,99.18,31207,8.15,17.83,––-––-03-––-––-06-––-––-09-––-––--12
ДОМОДЕДОВО ФьюэлФ 001Р-01,RU000A0ZYM21,100.2,29712,8.15,14.96,––-––-––-––-––-06-––-––-––-––-––--12
ТФН 01,RU000A102QY6,99.98,29037,12.53,20.3,––-02-––-––-05-––-––-08-––-––-11-––
ОР ООО 001P-01,RU000A100V61,100.84,28735,10.93,7.73,––-––-03-––-––-06-––-––-09-––-––--12
РОЛЬФ АО БО 001Р-02,RU000A101GB7,100.49,24548,8.43,5.63,––-02-––-––-––-––-––-––-––-––-11-––
АПРИ Флай Плэнинг АО БО-П04,RU000A102KR3,100.97,24077,13.1,20.43,––-––-03-––-––-06-––-––-09-––-––--12
Онлайн Микрофинанс 03,RU000A102CZ3,100.98,22491,12.83,22.96,01-02-03-04-05-06-07-––-09-10-11--12
Джи-групп 001P-01,RU000A101TS4,103.45,22298,9.48,12.03,––-––-03-––-––-06-––-––-09-––-––--12
ОР ООО 001P-02,RU000A1015P6,101.1,21889,12.17,22.26,––-––-––-––-––-––-––-––-––-––-––-––
ВсеИнструменты.ру ООО БО-01,RU000A0ZZXT0,100.22,21679,8.28,3.06,––-––-––-––-––-––-––-––-09-––-––--12
РЕСО-Лизинг ООО БО-П-06,RU000A100PE4,101.83,17659,8.1,21.63,01-02-––-––-––-––-––-08-––-––-––-––
Первое кол.бюро НАО 001Р-01,RU000A1020S0,103.94,14509,10.06,14.66,––-02-––-––-05-––-––-08-––-––-11-––
МФК Быстроденьги 001P-01,RU000A101483,104.17,14206,11.82,9.6,––-––-––-––-––-––-––-––-––-––-––-––
МигКредит 01К,RU000A103DA2,99.36,12819,13.49,19.53,01-02-03-04-05-06-07-08-09-10-11--12
Лизинг-Трейд 001P-01,RU000A101CB6,100.98,12323,12.06,10.13,––-––-––-––-––-––-––-––-09-––-––-––
Мясничий БО-П03,RU000A1006B5,103.48,11559,10.9,14.0,––-––-––-––-––-––-––-––-––-––-––-––
ОбъединениеАгроЭлита БО-П03,RU000A100CG7,104.88,10989,11.49,20.8,––-––-––-––-––-––-––-––-––-––-––-––
С-Инновации БО-П02,RU000A1037S4,101.8,10444,10.2,19.16,––-––-03-––-––-06-––-––-09-––-––--12
АО им. Т.Г. Шевченко 001P-01,RU000A100YP2,102.14,8996,11.81,12.7,01-––-––-04-––-––-07-––-––-10-––-––
Онлайн Микрофинанс БО-01,RU000A100CT0,100.66,8378,12.36,8.23,––-02-––-––-05-––-––-––-––-––-11-––
