Полное наименование,Код ценной бумаги,"Цена, %","Объем сделок за n дней, шт.",Доходность,"Дюрация, месяцев",Месяцы выплат
АО ЛК Европлан 001P-02,RU000A1034J0,98.75,323715,8.03,23.2,––-02-––-––-05-––-––-08-––-––-11-––
ФПК Гарант-Инвест БО 001P-05,RU000A1005T9,100.1,219910,12.54,18.03,01-––-––-04-––-––-07-––-––-10-––-––
АБЗ-1 001Р-01,RU000A102LW1,99.49,156783,12.91,20.66,––-––-03-––-––-06-––-––-09-––-––--12
Республика Беларусь 03,RU000A100D30,100.33,123164,8.37,13.23,––-02-––-––-––-––-––-08-––-––-––-––
ПР-Лизинг ООО БО 002Р-01,RU000A1022E6,100.35,113536,10.18,18.8,01-02-03-04-––-06-07-08-09-10-11--12
Республика Беларусь 04,RU000A100D63,100.3,103789,8.24,13.23,––-02-––-––-––-––-––-08-––-––-––-––
ПИК-Корпорация 001Р-03,RU000A1026C1,99.68,83206,8.01,20.39,––-––-03-––-––-06-––-––-09-––-––--12
АЗБУКА_ВКУСА_БОП1,RU000A100HE1,101.7,72178,8.14,11.96,––-––-03-––-––-06-––-––-09-––-––--12
Брусника 001P-01,RU000A101HU5,101.59,56271,10.13,15.7,––-––-03-––-––-06-––-––-09-––-––--12
МаксимаТелеком БО-П01,RU000A101XD8,101.5,53191,10.18,22.7,01-––-––-––-––-––-07-––-––-––-––-––
РОЛЬФ ООО БО 001Р-02,RU000A101GB7,100.69,52292,8.12,8.43,––-02-––-––-––-––-––-08-––-––-11-––
ОР ООО 001P-01,RU000A100V61,99.86,52223,12.81,10.36,––-––-03-––-––-06-––-––-09-––-––--12
Бифорком Тек БО-П01,RU000A1037L9,100.08,44735,11.69,22.0,––-––-03-––-––-06-––-––-09-––-––--12
ГК Пионер БО 001P-04,RU000A1016F5,101.36,43841,9.95,20.56,––-––-03-––-––-06-––-––-09-––-––--12
ГК Самолет БО-П06,RU000A100QA0,100.96,33295,9.65,7.93,––-02-––-––-05-––-––-08-––-––-11-––
ЛЕГЕНДА БО 001P-02,RU000A101GW3,100.79,28907,10.76,12.2,––-––-03-––-––-06-––-––-09-––-––--12
Ренессанс Страхование 001P-01R,RU000A100X69,100.1,25890,8.8,4.0,––-––-––-04-––-––-––-––-––-10-––-––
ВсеИнструменты.ру ООО БО-01,RU000A0ZZXT0,100.25,24610,8.47,6.0,––-––-––-––-––-––-––-––-09-––-––--12
ТрансФин-М ПАО 001P-04,RU000A0ZYEB1,100.1,23753,9.11,10.23,––-––-––-04-––-––-––-––-––-10-––-––
ЛЕГЕНДА БО 001P-03,RU000A101YD6,102.22,20825,9.82,7.8,––-02-––-––-05-––-––-08-––-––-11-––
Республика Карелия 35018,RU000A0ZYCZ4,100.33,19650,8.16,16.76,––-02-––-––-05-––-––-08-––-––-11-––
ТФН 01,RU000A102QY6,99.88,19310,12.57,22.63,––-02-––-––-05-––-––-08-––-––-11-––
АО ЭР-Телеком Холдинг ПБО-04,RU000A1029P7,100.03,15753,8.04,15.73,01-––-––-04-––-––-07-––-––-10-––-––
АПРИ Флай Плэнинг АО БО-П04,RU000A102KR3,100.74,14637,13.18,22.63,––-––-03-––-––-06-––-––-09-––-––--12
ТЕХНО Лизинг 001P-02,RU000A100RS0,102.55,12951,11.03,11.7,––-02-––-––-05-––-––-08-––-––-11-––
Онлайн Микрофинанс БО-01,RU000A100CT0,100.54,12007,13.1,10.9,––-02-––-––-05-––-––-08-––-––-11-––
АПРИ Флай Плэнинг АО БО-П03,RU000A101178,102.01,11597,12.7,11.9,––-02-––-––-05-––-––-08-––-––-11-––
С-Инновации БО-П02,RU000A1037S4,100.08,11362,11.41,22.1,––-––-03-––-––-06-––-––-09-––-––--12
ЮниМетрикс 01,RU000A100T81,100.89,10739,12.26,13.66,––-––-––-––-––-––-––-––-––-––-––-––
АО им. Т.Г. Шевченко 001P-01,RU000A100YP2,102.28,9695,12.37,15.16,01-––-––-04-––-––-07-––-––-10-––-––
