Полное наименование,Код ценной бумаги,"Цена, %","Объем сделок за n дней, шт.",Доходность,"Дюрация, месяцев",Месяцы выплат
АБЗ-1 001Р-01,RU000A102LW1,100.1,214737,12.49,20.53,––-––-03-––-––-06-––-––-09-––-––--12
ФПК Гарант-Инвест БО 001P-05,RU000A1005T9,100.19,161908,12.38,16.89,01-––-––-04-––-––-07-––-––-10-––-––
ГруппаЧеркизово БО-001Р-02,RU000A1013Y3,99.5,150731,8.02,21.56,––-02-––-––-05-––-––-08-––-––-11-––
Республика Беларусь 03,RU000A100D30,100.2,100154,8.65,12.5,––-02-––-––-––-––-––-08-––-––-––-––
ДОМОДЕДОВО ФьюэлФ 001Р-01,RU000A0ZYM21,100.45,73986,8.02,17.16,––-––-––-––-––-06-––-––-––-––-––--12
ПР-Лизинг ООО БО 002Р-01,RU000A1022E6,100.5,72124,10.1,18.23,01-02-03-04-––-––-07-08-09-10-11--12
Респ.Марий Эл 2017обл.08,RU000A0JY031,101.25,68695,8.11,20.3,––-02-––-––-05-––-––-08-––-––-11-––
Ритейл Бел Финанс 01,RU000A100JH0,101.65,65272,10.59,23.96,01-––-––-04-––-––-07-––-––-10-––-––
ЛЕГЕНДА БО 001P-02,RU000A101GW3,100.77,60028,10.32,11.8,––-––-03-––-––-06-––-––-09-––-––--12
Республика Беларусь 04,RU000A100D63,100.2,59579,8.62,12.5,––-02-––-––-––-––-––-08-––-––-––-––
Брусника 001P-01,RU000A101HU5,101.97,53012,9.53,14.96,––-––-03-––-––-06-––-––-09-––-––--12
ГК Пионер БО 001P-04,RU000A1016F5,101.6,41589,9.94,20.33,––-––-03-––-––-06-––-––-09-––-––--12
РОЛЬФ ООО БО 001Р-02,RU000A101GB7,100.76,37203,8.4,7.7,––-02-––-––-––-––-––-08-––-––-11-––
ОР ООО 001P-01,RU000A100V61,100.3,35049,11.96,9.93,––-––-03-––-––-06-––-––-09-––-––--12
ПАО ЛК Европлан 001P-02,RU000A1034J0,99.52,32088,8.3,22.46,––-02-––-––-05-––-––-08-––-––-11-––
ОР ООО 001P-02,RU000A1015P6,100.26,23333,12.45,23.76,––-––-––-––-––-––-07-08-––-––-––-––
АПРИ Флай Плэнинг АО БО-П04,RU000A102KR3,101.04,19497,12.99,22.63,––-––-03-––-––-06-––-––-09-––-––--12
ТФН 01,RU000A102QY6,100.0,18950,12.5,21.9,––-02-––-––-05-––-––-08-––-––-11-––
С-Инновации БО-П02,RU000A1037S4,100.87,15948,10.91,21.36,––-––-03-––-––-06-––-––-09-––-––--12
