Полное наименование,Код ценной бумаги,"Цена, %","Объем сделок за n дней, шт.",Доходность,"Дюрация, месяцев",Месяцы выплат
АО ЛК Европлан 001P-02,RU000A1034J0,99.78,247171,8.27,22.73,––-02-––-––-05-––-––-08-––-––-11-––
Респ.Марий Эл 2017обл.08,RU000A0JY031,101.17,223997,8.11,20.56,––-02-––-––-05-––-––-08-––-––-11-––
ФПК Гарант-Инвест БО 001P-05,RU000A1005T9,100.05,155251,12.54,17.56,01-––-––-04-––-––-07-––-––-10-––-––
АБЗ-1 001Р-01,RU000A102LW1,99.91,144575,12.64,20.2,––-––-03-––-––-06-––-––-09-––-––--12
Республика Беларусь 03,RU000A100D30,100.37,103503,8.42,12.76,––-02-––-––-––-––-––-08-––-––-––-––
Республика Беларусь 04,RU000A100D63,100.36,59195,8.43,12.76,––-02-––-––-––-––-––-08-––-––-––-––
ГК Пионер БО 001P-04,RU000A1016F5,101.73,43003,9.89,20.63,––-––-03-––-––-06-––-––-09-––-––--12
С-Инновации БО-П02,RU000A1037S4,100.49,42813,11.08,21.63,––-––-03-––-––-06-––-––-09-––-––--12
ОР ООО 001P-01,RU000A100V61,100.19,40051,12.3,10.19,––-––-03-––-––-06-––-––-09-––-––--12
ЛЕГЕНДА БО 001P-02,RU000A101GW3,101.44,39700,9.65,12.1,––-––-03-––-––-06-––-––-09-––-––--12
ПР-Лизинг ООО БО 002Р-01,RU000A1022E6,100.5,37575,10.1,18.5,01-02-03-04-––-––-07-08-09-10-11--12
ТФН 01,RU000A102QY6,100.0,19725,12.56,22.16,––-02-––-––-05-––-––-08-––-––-11-––
АПРИ Флай Плэнинг АО БО-П04,RU000A102KR3,100.96,18338,13.05,22.9,––-––-03-––-––-06-––-––-09-––-––--12
ВсеИнструменты.ру ООО БО-01,RU000A0ZZXT0,100.36,13703,8.15,5.53,––-––-––-––-––-––-––-––-09-––-––--12
Лизинг-Трейд 001P-01,RU000A101CB6,100.95,12935,12.1,12.36,––-––-––-––-––-––-07-08-09-––-––-––
