Полное наименование,Код ценной бумаги,"Цена, %","Объем сделок за n дней, шт.",Доходность,"Дюрация, месяцев",Месяцы выплат
ОФЗ-ПД 26220 07/12/22,SU26220RMFS2,99.291,3301511,9.1,6.03,––-––-––-––-––-––-––-––-––-––-––--12
МТС-Банк ПАО 001P-01,RU000A1034T9,97.3,142649,10.77,11.4,––-––-––-––-05-––-––-––-––-––-11-––
Сбербанк ПАО 001Р-SBER22,RU000A102RQ0,97.29,135659,9.98,11.9,––-––-––-––-––-06-––-––-––-––-––--12
Сбербанк ПАО БО 001Р-06R,RU000A0ZZ117,97.95,130988,9.75,11.26,––-––-––-––-05-––-––-––-––-––-11-––
ГК Самолет БО-П08,RU000A101H43,99.02,111263,12.79,8.46,––-02-––-––-––-––-––-08-––-––-––-––
ФПК Гарант-Инвест БО 001P-05,RU000A1005T9,82.56,104089,37.01,11.2,01-––-––-04-––-––-07-––-––-10-––-––
ДОМОДЕДОВО ФьюэлФ 001Р-01,RU000A0ZYM21,97.27,93267,15.12,6.23,––-––-––-––-––-06-––-––-––-––-––--12
Сегежа Групп 001P-01R,RU000A101D13,98.38,89430,10.02,7.5,01-––-––-––-––-––-07-––-––-––-––-––
Банк ВТБ (ПАО) Б-1-253,RU000A104C60,99.3,81895,10.3,6.46,––-––-––-––-––-06-––-––-09-––-––--12
Сбербанк ПАО БО 001P-16R,RU000A0ZZE20,98.73,77954,9.85,7.2,01-––-––-––-––-––-07-––-––-––-––-––
ГПБ (АО) БО 001Р-05Р,RU000A1002E8,99.93,72641,9.49,7.6,01-––-––-––-––-––-07-––-––-––-––-––
ГруппаЧеркизово БО-001Р-02,RU000A1013Y3,97.63,70800,10.52,11.33,––-02-––-––-05-––-––-08-––-––-11-––
ПИК-Корпорация 001Р-04,RU000A103C46,96.8,69943,11.96,12.26,––-––-03-––-––-06-07-––-09-––-––--12
ПИК-Корпорация 001Р-03,RU000A1026C1,96.63,61821,12.07,9.43,––-––-03-––-––-06-––-––-09-––-––--12
АБЗ-1 001Р-01,RU000A102LW1,94.77,53438,19.67,10.33,––-––-03-––-––-06-––-––-09-––-––--12
ПАО ЛК Европлан 001P-02,RU000A1034J0,95.84,51488,12.65,12.23,––-02-––-––-05-––-––-08-––-––-11-––
ГосТранспортЛизингКомп 001P-04,RU000A0JXPG2,98.79,40658,11.84,10.0,––-––-––-––-––-––-––-––-––-––-––-––
МЭФ Московской обл. 2016,RU000A0JX0B9,100.5,26601,9.42,11.5,––-––-––-––-––-––-––-––-––-––-––-––
