Полное наименование,Код ценной бумаги,"Цена, %","Объем сделок за n дней, шт.",Доходность,"Дюрация, месяцев",Месяцы выплат
ФПК Гарант-Инвест БО 001P-05,RU000A1005T9,99.5,226251,12.9,17.0,01-––-––-04-––-––-07-––-––-10-––-––
Джи-групп 002P-01,RU000A103JR3,99.92,132927,11.05,22.93,––-02-––-––-05-––-––-08-––-––-11-––
АБЗ-1 001Р-01,RU000A102LW1,100.52,101332,12.09,17.6,––-––-03-––-––-06-––-––-09-––-––--12
Ритейл Бел Финанс 01,RU000A100JH0,100.58,96833,11.25,21.66,01-––-––-04-––-––-07-––-––-10-––-––
МФК КарМани 01,RU000A103R98,99.7,55140,13.71,22.46,01-02-03-04-05-06-07-08-09-10-11--12
КИВИ Финанс 001P-01,RU000A1028C7,97.5,52957,10.15,22.5,01-––-––-04-––-––-07-––-––-10-––-––
ПР-Лизинг ООО БО 002Р-01,RU000A1022E6,100.18,49901,10.38,15.16,01-02-03-04-––-––-––-––-––-10-11--12
ГК Пионер БО 001P-04,RU000A1016F5,100.71,42762,10.53,17.33,––-––-03-––-––-06-––-––-09-––-––--12
ЛЕГЕНДА БО 001P-02,RU000A101GW3,100.0,36467,11.45,9.63,––-––-03-––-––-06-––-––-09-––-––--12
Первое кол.бюро НАО 001Р-01,RU000A1020S0,103.32,29547,10.52,13.4,––-02-––-––-05-––-––-08-––-––-11-––
Онлайн Микрофинанс 03,RU000A102CZ3,100.7,18670,12.85,22.16,01-02-03-04-05-06-07-––-––-––-11--12
