Полное наименование,Код ценной бумаги,"Цена, %","Объем сделок за n дней, шт.",Доходность,"Дюрация, месяцев",Месяцы выплат
ОФЗ-ПД 26220 07/12/22,SU26220RMFS2,96.384,9231881,12.84,9.13,––-––-––-––-––-06-––-––-––-––-––--12
ОФЗ-ПД 26211 25/01/23,SU26211RMFS1,95.498,6404921,12.8,10.8,01-––-––-––-––-––-07-––-––-––-––-––
МЭФ Московской обл. 2017,RU000A0ZYML3,96.74,3154175,11.0,9.53,––-––-03-––-––-06-––-––-09-––-––--12
Нижегородская обл. 35011,RU000A0JWLD0,99.62,1212454,11.1,11.1,––-––-––-––-––-––-––-––-––-––-––-––
ОФЗ-ПК 29012 16/11/22,SU29012RMFS0,96.113,416979,12.49,8.46,––-––-––-––-05-––-––-––-––-––-11-––
Газпром нефть ПАО 001P-03R,RU000A0ZYDS7,97.49,304883,12.45,7.43,––-––-––-04-––-––-––-––-––-10-––-––
Мобильные ТелеСистемы 001P-03,RU000A0ZYFC6,96.84,283090,13.03,8.0,––-––-––-––-05-––-––-––-––-––-11-––
Мобильные ТелеСистемы 001P-08,RU000A100A58,98.12,207967,11.99,7.46,––-––-––-04-––-––-07-––-––-10-––-––
Сегежа Групп 001P-01R,RU000A101D13,93.2,185854,16.01,10.83,01-––-––-––-––-––-07-––-––-––-––-––
Башкирская содовая комп. 1P-01,RU000A0ZYR18,95.96,144204,17.23,6.26,01-––-––-04-––-––-07-––-––-10-––-––
ГК Самолет БО-П07,RU000A100YG1,97.73,112462,16.78,7.46,––-––-––-04-––-––-07-––-––-10-––-––
Сбербанк ПАО 001Р-SBER18,RU000A102FR3,94.4,107672,13.51,9.26,––-––-––-––-––-06-––-––-––-––-––--12
ПАО НК Роснефть обл.05,RU000A0JT965,97.23,91118,12.99,7.43,––-––-––-04-––-––-––-––-––-10-––-––
ГК Самолет БО-П08,RU000A101H43,94.17,89676,17.37,11.8,––-02-––-––-––-––-––-08-––-––-––-––
ГПБ (АО) БО 001Р-05Р,RU000A1002E8,95.5,86976,15.07,10.93,01-––-––-––-––-––-07-––-––-––-––-––
Брусника 001P-01,RU000A101HU5,95.0,79604,20.99,7.4,––-––-03-––-––-06-––-––-09-––-––--12
Банк ВТБ (ПАО) Б-1-253,RU000A104C60,94.88,64252,16.27,9.6,––-––-03-––-––-06-––-––-09-––-––--12
РОСНАНО АО обл. 07,RU000A0JW1G7,94.17,62034,22.4,9.3,––-––-––-––-––-06-––-––-––-––-––--12
Банк ВТБ (ПАО) Б-1-251,RU000A103YS0,94.8,61619,17.43,7.96,––-––-––-––-05-––-––-08-––-10-––-––
Сбербанк ПАО БО 001P-16R,RU000A0ZZE20,95.25,55785,13.81,10.53,01-––-––-––-––-––-07-––-––-––-––-––
ПАО НК Роснефть обл.04,RU000A0JT940,98.06,41671,11.3,7.43,––-––-––-04-––-––-––-––-––-10-––-––
ПР-Лизинг ООО БО 002Р-01,RU000A1022E6,90.12,37551,23.77,11.06,––-––-03-04-––-––-––-––-––-––-––-––
Ростелеком ПАО 002P-03R,RU000A101FC7,94.42,35104,13.83,11.46,––-02-––-––-––-––-––-08-––-––-––-––
ДОМОДЕДОВО ФьюэлФ 001Р-01,RU000A0ZYM21,92.45,34564,19.46,9.56,––-––-––-––-––-06-––-––-––-––-––--12
Мобильные ТелеСистемы 001P-13,RU000A101939,95.27,33762,13.1,9.56,––-––-03-––-––-06-––-––-09-––-––--12
Первое кол.бюро НАО 001Р-01,RU000A1020S0,95.62,33572,21.14,9.3,––-02-––-––-05-––-––-08-––-––-11-––
Орловская область 2017,RU000A0ZYGM3,95.81,32852,15.31,8.66,––-––-03-––-––-06-––-––-09-––-11-––
АО ЭР-Телеком Холдинг ПБО-04,RU000A1029P7,95.17,29902,16.96,7.63,––-––-––-04-––-––-07-––-––-10-––-––
Банк ВТБ (ПАО) Б-1-230,RU000A103Q81,95.83,27988,15.77,6.56,––-––-03-––-––-06-––-––-09-––-––-––
ГПБ (АО) БО-19,RU000A0ZYRY5,96.5,26294,15.03,11.3,––-02-––-––-––-––-––-08-––-––-––-––
Банк ВТБ (ПАО) Б-1-252,RU000A1046G0,95.77,24540,15.36,8.9,––-––-03-––-––-06-––-––-09-––-––--12
ПАО Татнефть БО-001P-01,RU000A1018K1,94.93,23102,13.3,9.5,––-––-03-––-––-06-––-––-09-––-––--12
Россельхозбанк АО БО-06Р,RU000A0ZZPZ3,96.23,21147,14.82,7.3,––-––-––-04-––-––-––-––-––-10-––-––
ДОМ.РФ АО 001Р-09R,RU000A104123,94.02,20942,15.25,8.36,––-––-––-––-05-––-––-––-––-––-11-––
МФК Быстроденьги 001P-01,RU000A101483,97.41,20720,23.6,6.03,––-––-––-––-––-––-––-––-––-––-––-––
МегаФон ПАО БО-001P-03,RU000A0ZYC98,96.67,20352,14.74,6.96,––-––-––-04-––-––-––-––-––-10-––-––
Джи-групп 001P-01,RU000A101TS4,93.6,20178,25.47,7.46,––-––-03-––-––-06-––-––-09-––-––--12
АО им. Т.Г. Шевченко 001P-01,RU000A100YP2,95.22,19538,23.55,7.46,––-––-––-04-––-––-07-––-––-10-––-––
Сэтл-Групп ООО БО-001P-02,RU000A100MG6,94.2,19036,19.56,10.23,01-––-––-04-––-––-07-––-––-10-––-––
МОСКОВСКИЙ КРЕДИТНЫЙ БАНК 1P1,RU000A100WC4,96.49,18665,15.39,6.86,––-––-––-04-––-––-––-––-09-––-––-––
МОСКОВСКИЙ КРЕДИТНЫЙ БАНК П11,RU000A101DL3,89.91,18131,13.23,11.6,––-02-––-––-––-––-––-––-––-––-––-––
ФПК Гарант-Инвест БО 001P-06,RU000A1016U4,94.8,17318,20.14,9.03,––-––-03-––-––-06-––-––-09-––-––--12
Кредит Европа Банк АО 001Р-03,RU000A100X77,96.75,17138,15.58,7.13,––-––-––-04-––-––-07-––-––-10-––-––
ГосТранспортЛизингКомп БО-07,RU000A0JW1P8,97.29,16786,10.87,9.5,––-––-––-––-––-––-––-––-––-––-––-––
Магнит ПАО БО-002Р-01,RU000A101HJ8,95.03,14887,11.98,11.63,––-––-03-––-––-––-––-––-09-––-––-––
