Полное наименование,Код ценной бумаги,"Цена, %","Объем сделок за n дней, шт.",Доходность,"Дюрация, месяцев",Месяцы выплат
ДОМ.РФ АО 001Р-05R,RU000A1004W6,99.99,114814,7.51,17.23,––-02-––-––-––-––-––-08-––-––-––-––
Сэтл-Групп ООО БО-001P-01,RU000A0ZYEQ9,101.97,67714,7.1,10.33,01-––-––-04-––-––-07-––-––-10-––-––
МОСТОТРЕСТ ПАО 08 обл.,RU000A0JWN89,100.34,39542,10.55,4.83,01-02-––-––-––-––-07-08-––-––-––-––
ТрансКомплектХолдинг АО Б-П1,RU000A0ZYCR1,101.35,21301,7.8,6.7,––-––-––-04-––-––-––-––-09-10-––-––
Вита Лайн БО-01,RU000A101DU4,101.92,14063,9.21,10.5,––-02-––-––-05-––-––-08-––-––-11-––
Солид-Лизинг ООО БО-001-02,RU000A0ZZMQ9,100.29,13325,13.52,6.13,––-––-03-––-––-06-––-––-09-––-––--12
Центральная ППК П01-БО-02,RU000A0ZZFH2,101.19,7853,7.35,4.8,––-––-––-––-––-––-––-08-––-––-––-––
ЮАИЗ БО 1-001,RU000A1001L5,100.4,7495,9.71,10.0,01-––-––-04-––-––-07-––-––-10-––-––
БЭЛТИ-ГРАНД ООО БО-П01,RU000A100535,100.9,6660,12.13,7.1,––-––-03-––-––-06-––-08-––-––-11-––
СпецИнвестЛизинг 001P-02,RU000A101XB2,100.35,6497,7.08,13.73,01-02-03-04-05-06-07-08-09-10-11--12
ЗАО ЛК Роделен БО 001Р-02,RU000A100W29,100.82,6357,11.06,8.9,––-––-03-04-05-––-––-––-––-––-––-––
МСБ-Лизинг 002Р-02,RU000A100DC4,101.99,6256,11.76,16.93,––-––-––-––-––-––-––-––-––-––-––-––
ЮАИЗ БО 1-002,RU000A100Q92,100.42,5306,10.04,16.16,––-02-––-––-05-––-––-08-––-––-11-––
Солид-Лизинг ООО БО-001-05,RU000A100TD8,100.11,5084,12.39,5.9,––-––-03-––-––-06-––-––-09-––-––--12
С-Инновации БО-П01,RU000A100HW3,101.46,4974,9.74,3.56,––-––-03-––-––-06-––-––-––-––-––-––
Солид-Лизинг ООО БО-001-04,RU000A1005N2,99.49,4798,13.16,11.46,––-––-03-––-––-06-––-––-09-––-––--12
АО ЛК Европлан БО-08,RU000A0ZZBV2,100.75,4417,7.13,9.5,––-––-––-––-––-06-––-––-––-––-––--12
АО ЛК Европлан БО-03,RU000A100W60,101.87,4326,7.4,17.39,––-––-03-04-––-––-––-––-09-––-––-––
ДиректЛизинг БО 001P-04,RU000A100Z00,101.59,4277,12.31,17.86,01-––-––-04-––-––-07-––-––-10-––-––
МСБ-Лизинг 002P-03,RU000A1028N4,101.34,3970,11.17,8.76,01-02-03-04-05-06-07-08-09-10-11--12
ПР-Лизинг ООО БО 001Р-01,RU000A0ZZFP5,100.47,3870,7.37,4.76,––-––-––-––-05-––-––-08-––-––-––-––
Электрощит-Стройсистема БО-П01,RU000A100QY0,101.31,3795,11.78,16.03,––-02-––-––-05-––-––-08-––-––-11-––
МОСТОТРЕСТ ПАО 07 обл.,RU000A0JWN63,101.21,3212,8.76,15.43,01-––-––-––-––-––-07-––-––-––-––-––
ЗАО ЛК Роделен БО 001Р-01,RU000A0ZZV52,101.1,3086,8.55,3.76,––-––-––-––-––-––-––-––-––-––-––-––
СК Легион ООО БО-01,RU000A0ZZNV7,100.79,2808,9.62,6.46,––-––-––-04-––-––-––-––-––-10-––-––
Роял Капитал БО-П04,RU000A101X27,101.52,2770,13.25,14.83,01-––-––-04-––-––-07-––-––-10-––-––
СККН Финанс БО 01,RU000A102KF8,99.1,2320,7.87,17.43,––-––-––-––-––-06-––-––-09-––-––--12
ПР-Лизинг ООО БО 001Р-02,RU000A0ZZX35,101.46,2213,8.05,8.73,––-––-––-––-––-06-––-––-09-––-––--12
ХК Финанс ООО БО 001Р-03,RU000A100AP2,101.01,2177,8.23,12.8,01-––-––-04-––-––-07-––-––-10-––-––
ГК Самолет БО-П05,RU000A100Q50,100.0,1524,8.11,7.9,––-02-––-––-05-––-––-08-––-––-11-––
ЭНЕРГОНИКА 001Р-01,RU000A102028,101.52,1514,9.76,4.76,01-02-––-––-05-––-07-08-––-10-11-––
Роял Капитал БО-П03,RU000A1018F1,101.13,1444,12.74,8.86,––-––-03-––-––-06-––-––-09-––-––--12
ДиректЛизинг ООО БО-001P-03,RU000A0ZZR90,101.49,1241,11.47,7.3,––-––-––-04-––-––-07-––-––-10-––-––
Солид-Лизинг ООО БО-001-01,RU000A0ZZEA0,101.26,1066,9.52,4.23,01-––-––-04-––-––-07-––-––-10-––-––
Россельхозбанк АО БО-09Р,RU000A100GM6,100.75,860,7.58,3.4,––-––-––-––-––-06-––-––-––-––-––-––
Солид-Лизинг ООО БО-001-03,RU000A0ZZY42,100.73,718,11.65,8.66,––-––-03-––-––-06-––-––-09-––-––--12
ИСК ЭНКО 001P-01,RU000A1018U0,100.99,693,9.79,4.8,––-––-03-––-––-06-––-––-09-––-––--12
Балтийский лизинг ООО БО-02,RU000A0JVRM0,100.02,609,8.19,5.73,––-––-––-––-––-––-––-––-––-––-––-––
АО ЛК Европлан БО-02,RU000A0JVQT7,100.63,416,7.35,5.4,––-––-––-––-––-––-––-––-––-––-––-––
РСГ-Финанс ООО обл. БО-10,RU000A0JWLJ7,101.85,403,7.2,3.26,––-––-––-––-––-06-––-––-––-––-––-––
Интерлизинг 001Р-01,RU000A102B30,99.95,164,8.25,7.63,01-––-––-––-05-––-07-08-––-10-11-––
ТрансФин-М ПАО 001P-02,RU000A0JXK99,100.2,101,7.44,11.53,––-02-––-––-––-––-––-08-––-––-––-––
ИКС 5 ФИНАНС ООО БО-05,RU000A0JW9G0,100.0,41,7.05,6.03,––-––-03-––-––-––-––-––-09-––-––-––
Держава-Платформа БО-01Р-01,RU000A0ZYU54,99.9,9,8.39,5.3,––-02-––-––-––-––-––-08-––-––-––-––
ДОМ.РФ (АО) БО-08,RU000A0ZYFM5,98.02,1,11.86,7.9,––-02-––-––-05-––-––-08-––-––-11-––
АС ФИНАНС ООО БО 001P-01,RU000A0ZZYF7,100.0,0,8.24,8.66,––-02-03-––-05-06-––-08-09-––-11--12
