Показатель,value_float
"Пассажиропоток всего, млн чел",55.3
"Пассажиропоток внутр, млн чел",42.6
"Пассажиропоток м/нар, млн чел",12.7
"Занятость пассаж.кресел, %",89.6
"Грузооборот, млн т",1168.0
"Часы налета, ч",1028236.0
"Выручка, млрд руб",856.8
"Операционная прибыль, млрд руб",99.5
"EBITDA, млрд руб",214.1
"Чистая прибыль, млрд руб",58.5
"Опер.денежный поток, млрд руб",203.8
"CAPEX, млрд руб",91.9
"FCF, млрд руб",19.1
"Див доход, ао, %",0.0
"Дивиденды/прибыль, %",0.0
"Опер. расходы, млрд руб",757.2
"Амортизация, млрд руб",114.0
"Расх на персонал, млрд руб",99.8
"Процентные расходы, млрд руб",23.1
"Активы, млрд руб",1157.0
"Чистые активы, млрд руб",-55.7
"Долг, млрд руб",703.0
"Наличность, млрд руб",105.4
"Чистый долг, млрд руб",597.6
"Цена акции ао, руб",58.9
"Число акций ао, млн",3976.0
"Капитализация, млрд руб",234.0
"EV, млрд руб",831.6
"Баланс стоимость, млрд руб",-76.9
"EPS, руб",14.7
"FCF/акцию, руб",4.81
"BV/акцию, руб",-19.3
"Рентаб EBITDA, %",25.0
"Чистая рентаб, %",6.8
"Доходность FCF, %",8.2
"ROE, %",-105.0
"ROA, %",5.1
P/E,4.0
P/FCF,12.2
P/S,0.27
P/BV,-3.04
EV/EBITDA,3.88
Долг/EBITDA,2.79
"R&D/CAPEX, %",0.0
"CAPEX/Выручка, %",11.0
