Показатель,value_float
"Добыча нефти, млн т",27.3
"Выручка, млрд руб",2030.0
"Операционная прибыль, млрд руб",403.0
"EBITDA, млрд руб",478.4
"Чистая прибыль, млрд руб",306.1
"Опер.денежный поток, млрд руб",425.1
"CAPEX, млрд руб",171.0
"FCF, млрд руб",235.6
"Див.выплата, млрд руб",229.6
"Дивиденд, руб/акцию",98.7
"Див доход, ао, %",14.3
"Дивиденд ап, руб/акцию",98.7
"Див доход, ап, %",14.5
"Дивиденды/прибыль, %",75.0
"Опер. расходы, млрд руб",279.4
"Себестоимость, млрд руб",1624.0
"Амортизация, млрд руб",62.2
"Расх на персонал, млрд руб",126.2
"Процентные расходы, млрд руб",3.9
"Активы, млрд руб",2205.0
"Чистые активы, млрд руб",1322.0
"Долг, млрд руб",13.3
"Наличность, млрд руб",117.5
"Чистый долг, млрд руб",-104.2
"Цена акции ао, руб",690.0
"Число акций ао, млн",2179.0
"Цена акции ап, руб",681.6
"Число акций ап, млн",147.5
"Капитализация, млрд руб",1604.0
"EV, млрд руб",1500.0
"Баланс стоимость, млрд руб",1322.0
"EPS, руб",140.5
"FCF/акцию, руб",108.1
"BV/акцию, руб",606.8
"Рентаб EBITDA, %",23.6
"Чистая рентаб, %",15.1
"Доходность FCF, %",15.7
"ROE, %",23.2
"ROA, %",13.9
P/E,5.24
P/FCF,6.81
P/S,0.79
P/BV,1.21
EV/EBITDA,3.13
Долг/EBITDA,-0.22
"R&D/CAPEX, %",0.0
"CAPEX/Выручка, %",8.0
