Показатель,value_float
"Производство стали, млн т",13.0
"Пр-во продукции, млн т",9.94
"Продажи стали, млн т",11.8
"Объем продаж труб, млн т",0.109
"Выручка, млрд руб",763.4
"Операционная прибыль, млрд руб",146.2
"EBITDA, млрд руб",195.6
"Чистая прибыль, млрд руб",118.2
"Опер.денежный поток, млрд руб",114.9
"CAPEX, млрд руб",94.9
"FCF, млрд руб",30.8
"Див.выплата, млрд руб",30.8
"Дивиденд, руб/акцию",2.752
"Див доход, ао, %",5.3
"Дивиденды/прибыль, %",26.0
"Опер. расходы, млрд руб",74.3
"Себестоимость, млрд руб",543.4
"Расх на персонал, млрд руб",69.7
"Процентные расходы, млрд руб",2.88
"Активы, млрд руб",902.0
"Чистые активы, млрд руб",662.0
"Долг, млрд руб",70.3
"Наличность, млрд руб",161.8
"Чистый долг, млрд руб",-91.5
"Цена акции ао, руб",52.2
"Число акций ао, млн",11174.0
"Капитализация, млрд руб",582.7
"EV, млрд руб",491.3
"Баланс стоимость, млрд руб",658.2
"EPS, руб",10.6
"FCF/акцию, руб",2.75
"BV/акцию, руб",58.9
"Рентаб EBITDA, %",25.6
"Чистая рентаб, %",15.5
"Доходность FCF, %",5.3
"ROE, %",17.9
"ROA, %",13.1
P/E,4.93
P/FCF,19.0
P/S,0.76
P/BV,0.89
EV/EBITDA,2.51
Долг/EBITDA,-0.47
"R&D/CAPEX, %",0.0
"CAPEX/Выручка, %",12.0
