Показатель,value_float
"Выручка, млрд руб",24.5
"Операционная прибыль, млрд руб",4.62
"EBITDA, млрд руб",6.46
"Чистая прибыль, млрд руб",3.66
"EBITDAC, млрд руб",-1.24
"NIC, млрд руб",-2.66
"Опер.денежный поток, млрд руб",2.89
"CAPEX, млрд руб",6.67
"FCF, млрд руб",-5.78
"Див.выплата, млрд руб",0.3
"Дивиденд, руб/акцию",4.56
"Див доход, ао, %",0.2
"Дивиденды/прибыль, %",8.0
"Опер. расходы, млрд руб",17.5
"Себестоимость, млрд руб",2.39
"Амортизация, млрд руб",1.9
"НИОКР, млрд руб",3.82
"Расх на персонал, млрд руб",10.9
"Процентные расходы, млрд руб",0.969
"Активы, млрд руб",52.7
"Чистые активы, млрд руб",17.1
"Долг, млрд руб",26.4
"Наличность, млрд руб",6.23
"Чистый долг, млрд руб",20.1
"Цена акции ао, руб",2010.0
"Число акций ао, млн",71.2
"Free Float, %",23.6
"Капитализация, млрд руб",143.1
"EV, млрд руб",163.2
"Баланс стоимость, млрд руб",-4.4
"EPS, руб",51.4
"FCF/акцию, руб",-81.2
"BV/акцию, руб",-61.8
"Рентаб EBITDA, %",26.4
"Чистая рентаб, %",15.0
"Доходность FCF, %",-4.0
"ROE, %",21.5
"ROA, %",6.9
P/E,39.1
P/FCF,-24.8
P/S,5.85
P/BV,-32.5
EV/EBITDA,25.3
Долг/EBITDA,3.12
"Персонал, чел",3160.0
"Произв.труда, млн руб/чел/год",7.74
"Расходы/чел/год, тыс.р",3459.0
"R&D/CAPEX, %",57.31
"CAPEX/Выручка, %",27.0
