secid,days_present,total_days,presence_percentage,is_continuous
KG000A3LSC78,268,479,55.94989561586638,False
KG000A3LSJ06,478,479,99.79123173277662,False
RU000A0JQ7Z2,170,479,35.49060542797495,False
RU000A0JQAM6,34,479,7.09812108559499,False
RU000A0JQRD9,342,479,71.39874739039665,False
RU000A0JR4U9,43,479,8.977035490605429,False
RU000A0JRJB8,10,479,2.0876826722338206,False
RU000A0JRJL7,6,479,1.2526096033402923,False
RU000A0JRU20,186,479,38.83089770354906,False
RU000A0JRU46,183,479,38.20459290187891,False
RU000A0JRZ74,145,479,30.2713987473904,False
RU000A0JS4J1,9,479,1.8789144050104383,False
RU000A0JS4K9,76,479,15.866388308977037,False
RU000A0JS4L7,4,479,0.8350730688935281,False
RU000A0JS4Z7,394,479,82.25469728601253,False
RU000A0JS934,70,479,14.613778705636744,False
RU000A0JSGV0,479,479,100.0,True
RU000A0JSQ58,316,479,65.97077244258872,False
RU000A0JT403,311,479,64.92693110647181,False
RU000A0JT6B2,354,479,73.90396659707724,False
RU000A0JT7T2,24,479,5.010438413361169,False
RU000A0JTB96,37,479,7.724425887265135,False
RU000A0JTFB2,10,479,2.0876826722338206,False
RU000A0JTU85,376,479,78.49686847599166,False
RU000A0JTW83,3,479,0.6263048016701461,False
RU000A0JU0N7,184,479,38.413361169102295,False
RU000A0JUAG0,290,479,60.5427974947808,False
RU000A0JUAH8,327,479,68.26722338204593,False
RU000A0JUFU0,13,479,2.7139874739039667,False
RU000A0JUFV8,27,479,5.6367432150313155,False
RU000A0JUG98,11,479,2.2964509394572024,False
RU000A0JUJG1,27,479,5.6367432150313155,False
RU000A0JUKX4,40,479,8.350730688935283,False
RU000A0JUMH3,138,479,28.81002087682672,False
RU000A0JUPW5,10,479,2.0876826722338206,False
RU000A0JUQ39,161,479,33.61169102296451,False
RU000A0JUQC5,107,479,22.338204592901878,False
RU000A0JUT85,188,479,39.24843423799583,False
RU000A0JUU90,132,479,27.55741127348643,False
RU000A0JUV08,265,479,55.323590814196244,False
RU000A0JUW23,103,479,21.50313152400835,False
RU000A0JUW31,54,479,11.273486430062631,False
RU000A0JUW72,105,479,21.920668058455114,False
RU000A0JUZZ7,15,479,3.1315240083507305,False
RU000A0JV0U1,81,479,16.910229645093946,False
RU000A0JV1X3,329,479,68.6847599164927,False
RU000A0JV219,329,479,68.6847599164927,False
RU000A0JV250,5,479,1.0438413361169103,False
RU000A0JV375,340,479,70.9812108559499,False
RU000A0JV3Q3,10,479,2.0876826722338206,False
RU000A0JV3R1,54,479,11.273486430062631,False
RU000A0JV805,96,479,20.041753653444676,False
RU000A0JV8D0,98,479,20.45929018789144,False
RU000A0JV8G3,90,479,18.789144050104383,False
RU000A0JV987,16,479,3.3402922755741122,False
RU000A0JV9D8,131,479,27.348643006263046,False
RU000A0JV9H9,87,479,18.16283924843424,False
RU000A0JVA10,404,479,84.34237995824635,False
RU000A0JVA77,14,479,2.9227557411273484,False
RU000A0JVBX1,50,479,10.438413361169102,False
RU000A0JVD25,398,479,83.08977035490605,False
RU000A0JVE65,1,479,0.20876826722338201,False
RU000A0JVFC6,244,479,50.939457202505224,False
RU000A0JVHH1,256,479,53.444676409185796,False
RU000A0JVM81,312,479,65.1356993736952,False
RU000A0JVN56,3,479,0.6263048016701461,False
RU000A0JVNB2,1,479,0.20876826722338201,False
RU000A0JVS36,2,479,0.41753653444676403,False
RU000A0JVT43,7,479,1.4613778705636742,False
RU000A0JVUK8,208,479,43.42379958246347,False
RU000A0JVUP7,19,479,3.966597077244259,False
RU000A0JVUS1,5,479,1.0438413361169103,False
RU000A0JVUY9,4,479,0.8350730688935281,False
RU000A0JVW71,57,479,11.899791231732777,False
RU000A0JVWB3,6,479,1.2526096033402923,False
RU000A0JVWD9,148,479,30.89770354906054,False
RU000A0JVWJ6,148,479,30.89770354906054,False
RU000A0JVXS5,3,479,0.6263048016701461,False
RU000A0JVYG8,68,479,14.19624217118998,False
RU000A0JVZB6,10,479,2.0876826722338206,False
RU000A0JW0S4,85,479,17.745302713987474,False
RU000A0JW1P8,80,479,16.701461377870565,False
RU000A0JW5E3,64,479,13.361169102296449,False
RU000A0JWBP5,40,479,8.350730688935283,False
RU000A0JWC82,19,479,3.966597077244259,False
RU000A0JWDN6,9,479,1.8789144050104383,False
RU000A0JX2M2,18,479,3.7578288100208765,False
RU000A0NRCJ8,26,479,5.427974947807933,False
RU000A0ZYWZ2,2,479,0.41753653444676403,False
RU000A0ZZY59,5,479,1.0438413361169103,False
RU000A102K96,148,479,30.89770354906054,False
RU000A103FY7,110,479,22.964509394572026,False
RU000A1040E8,162,479,33.82045929018789,False
RU000A105104,442,479,92.27557411273486,False
RU000A105112,436,479,91.02296450939458,False
RU000A105146,149,479,31.106471816283925,False
RU000A1054W1,479,479,100.0,True
RU000A1056U0,149,479,31.106471816283925,False
RU000A1057A0,250,479,52.19206680584551,False
RU000A1057B8,3,479,0.6263048016701461,False
RU000A1057D4,479,479,100.0,True
RU000A1057S2,354,479,73.90396659707724,False
RU000A1059A6,35,479,7.306889352818372,False
RU000A105BY1,84,479,17.536534446764094,False
RU000A105C44,471,479,98.32985386221294,False
RU000A105C51,84,479,17.536534446764094,False
RU000A105EV1,283,479,59.081419624217126,False
RU000A105EW9,479,479,100.0,True
RU000A105GS2,315,479,65.76200417536533,False
RU000A105M75,459,479,95.82463465553236,False
RU000A105ML5,181,479,37.78705636743215,False
RU000A105N25,443,479,92.48434237995825,False
