,Марковиц,Блэк-Литерман
RISK_FREE,0.4,0.4
AFKS,0.08999999999998813,0.08999999999999998
GAZP,0.089999999999983,0.0
TATN,0.08999999999997971,0.09
RUAL,0.0899999999999797,0.0
SBER,0.089999999999979,2.097374495490694e-17
LKOH,0.08999999999975802,4.7345660452651876e-17
MTSS,0.059999999999974844,0.0
NVTK,2.1669494404936868e-13,0.08999999999999996
SNGS,4.555987531273047e-14,0.09
MVID,2.0980201334146587e-14,0.08999999999999993
GMKN,1.777612896197291e-14,0.09
MAGN,1.6828155820894997e-14,3.603093544924517e-17
ALRS,1.6331760063564143e-14,2.39411219992868e-17
SIBN,1.2724587965083548e-14,0.0
ROSN,1.230590116445168e-14,0.05999999999999994
PHOR,0.0,1.4856297754428948e-17
