date,ticker,close,composite_score,tech_score,sentiment_score,fundamental_score,signal,recommendation
2025-04-21,LKOH,6732.5,0.5200773793819222,1.2097293780060467,-0.28262436540367053,0.0,1,BUY
2025-04-21,PHOR,6218.0,0.3200889084381627,0.8097524361185277,-0.28262436540367053,0.0,0,HOLD
2025-04-21,NVTK,1237.0,0.21716134941227389,0.6038973180667501,-0.28262436540367053,0.0,0,HOLD
2025-04-21,ROSN,482.0,0.12063338395844987,0.41084138715910207,-0.28262436540367053,0.0,0,HOLD
2025-04-21,TATN,706.6,0.1196289738864189,0.4088325670150401,-0.28262436540367053,0.0,0,HOLD
2025-04-21,VTBR,85.39,0.10787954462669137,0.38533370849558507,-0.28262436540367053,0.0,0,HOLD
2025-04-21,SBER,308.12,0.07084115767645484,0.311256934595112,-0.28262436540367053,0.0,0,HOLD
2025-04-21,GAZP,139.53,0.04159517060541647,0.25276496045303526,-0.28262436540367053,0.0,0,HOLD
2025-04-21,SIBN,557.95,0.007701574784760745,0.18497776881172381,-0.28262436540367053,0.0,0,HOLD
2025-04-21,SNGS,24.13,0.001276832942436107,0.17212828512707454,-0.28262436540367053,0.0,0,HOLD
2025-04-21,ALRS,51.06,-0.0042254027170770675,0.1611238138080482,-0.28262436540367053,0.0,0,HOLD
2025-04-21,MTSS,216.8,-0.04817405204427063,0.07322651515366106,-0.28262436540367053,0.0,0,HOLD
2025-04-21,MAGN,33.365,-0.05829645671769937,0.05298170580680358,-0.28262436540367053,0.0,0,HOLD
2025-04-21,AFKS,15.257,-0.07014806994023237,0.029278479361737584,-0.28262436540367053,0.0,0,HOLD
2025-04-21,GMKN,113.92,-0.08487628305466402,-0.00017794686712571325,-0.28262436540367053,0.0,0,HOLD
2025-04-21,RUAL,34.055,-0.09889364967169825,-0.028212680101194182,-0.28262436540367053,0.0,0,HOLD
2025-04-21,MVID,110.35,-0.10739186605215624,-0.04520911286211015,-0.28262436540367053,0.0,0,HOLD
