date,ticker,close,composite_score,tech_score,sentiment_score,fundamental_score,signal,recommendation
2025-04-14,TATN,686.4,0.7156493738279628,0.7526724018816001,1.0355176996004187,0.14328931503518538,1,BUY
2025-04-14,MVID,110.35,0.6304409282360351,-0.020934295743125136,2.0408340436685353,0.14328931503518538,1,BUY
2025-04-14,ROSN,449.3,0.4146302279340715,-0.0065520890506383005,1.297494698174512,0.14328931503518538,0,HOLD
2025-04-14,SNGS,23.01,0.38943352768061823,-0.11688531871124681,1.397394413430682,0.14328931503518538,0,HOLD
2025-04-14,PHOR,6089.0,0.32788009950647423,0.782157426083622,-0.3061882551412462,0.14328931503518538,0,HOLD
2025-04-14,SIBN,545.5,0.22246265835118645,-0.0721739590273859,0.7663059161928077,0.14328931503518538,0,HOLD
2025-04-14,GAZP,132.05,0.18171355258365093,0.09066602405536511,0.35907559182977106,0.14328931503518538,0,HOLD
2025-04-14,NVTK,1115.6,0.17201261858407688,-0.17466183738674115,0.7689522475680347,0.14328931503518538,0,HOLD
2025-04-14,SBER,296.5,0.01030249439361891,0.11467343033214493,-0.25230694593163544,0.14328931503518538,0,HOLD
2025-04-14,MTSS,215.5,-0.01567374677534225,0.08582832093175256,-0.29081923416085204,0.14328931503518538,0,HOLD
2025-04-14,GMKN,114.5,-0.043986867361090844,0.02920207976025539,-0.29081923416085204,0.14328931503518538,0,HOLD
2025-04-14,AFKS,14.919,-0.1630354943504527,-0.20889517421846834,-0.29081923416085204,0.14328931503518538,0,HOLD
2025-04-14,MAGN,32.26,-0.1674257988608012,-0.21767578323916534,-0.29081923416085204,0.14328931503518538,0,HOLD
2025-04-14,ALRS,48.44,-0.19399372631858894,-0.196471994428101,-0.4147186403719183,0.14328931503518538,0,HOLD
2025-04-14,RUAL,32.875,-0.20116074372461987,-0.3138521273289404,-0.2429751435572891,0.14328931503518538,0,HOLD
2025-04-14,LKOH,6474.0,-0.2441476216689554,-0.025674417778259507,-0.8665609192895424,0.14328931503518538,0,HOLD
