date,ticker,close,composite_score,tech_score,sentiment_score,fundamental_score,signal,recommendation
2024-12-31,LKOH,7222.5,1.058685221559762,2.251321573517598,-0.41035377098784254,0.2806528304865788,1,BUY
2024-12-31,TATN,687.0,0.5477813098294284,1.237299391876516,-0.2908305543775236,0.08190390102213735,1,BUY
2024-12-31,SIBN,653.7,0.5094698811608009,1.1556879657577352,-0.28462977132841416,0.08507414840228744,1,BUY
2024-12-31,NVTK,994.4,0.5055884501491792,1.19675309198921,-0.3165643270771862,0.010906011388650416,1,BUY
2024-12-31,ROSN,609.5,0.4334308706505045,1.0169533941801845,-0.2813814267454368,0.0468430079202165,0,HOLD
2024-12-31,MAGN,39.3,0.4202432674227738,1.033304639773526,-0.29426397497440127,-0.04064929985834418,0,HOLD
2024-12-31,ALRS,57.78,0.4041059731996279,0.9836302420619684,-0.29426397497440127,0.002850223304820219,0,HOLD
2024-12-31,SBER,280.9,0.3814045350979958,0.8801733862086706,-0.29426397497440127,0.14798517242990442,0,HOLD
2024-12-31,RUAL,37.16,0.3615271401947403,1.0368938272857526,-0.29426397497440127,-0.3432029047790781,0,HOLD
2024-12-31,MTSS,212.1,0.34105476322438133,0.8744307300184356,-0.29426397497440127,-0.0394070464625806,0,HOLD
2024-12-31,AFKS,15.59,0.3385934692200017,0.95545094049711,-0.34755842461698006,-0.17432236821729635,0,HOLD
2024-12-31,GAZP,132.71,0.3267775744327431,0.9771944713393211,-0.32235460548615913,-0.32556639795534886,0,HOLD
2024-12-31,GMKN,115.82,0.30839511485723314,0.8124992136506891,-0.29426397497440127,-0.04787649737895528,0,HOLD
2024-12-31,SNGS,25.17,0.2110052716079558,0.604140656571884,-0.4103537709878412,0.16020537309183072,0,HOLD
2024-12-31,MVID,93.2,0.15494945472144522,0.4967247992799799,-0.29426397497440127,-0.02566876213112192,0,HOLD
