date,ticker,close,composite_score,tech_score,sentiment_score,fundamental_score,signal,recommendation
2025-04-14,TATN,686.4,0.7156493738279628,0.7526724018816001,1.0355176996004187,0.14328931503518538,1,BUY
2025-04-14,MVID,110.35,0.601783065228998,-0.020934295743125136,2.0408340436685353,0.0,1,BUY
2025-04-14,ROSN,449.3,0.43123771904155084,-0.0065520890506383005,1.297494698174512,0.22632677057258216,0,HOLD
2025-04-14,SNGS,23.01,0.36077566467358113,-0.11688531871124681,1.397394413430682,0.0,0,HOLD
2025-04-14,PHOR,6089.0,0.31632195176404126,0.782157426083622,-0.3061882551412462,0.08549857632302071,0,HOLD
2025-04-14,SIBN,545.5,0.20751934175016926,-0.0721739590273859,0.7663059161928077,0.06857273203009934,0,HOLD
2025-04-14,NVTK,1115.6,0.16752463043740934,-0.17466183738674115,0.7689522475680347,0.12084937430184772,0,HOLD
2025-04-14,GAZP,132.05,0.15305568957661386,0.09066602405536511,0.35907559182977106,0.0,0,HOLD
2025-04-14,SBER,296.5,0.011373674506290295,0.11467343033214493,-0.25230694593163544,0.1486452155985423,0,HOLD
2025-04-14,MTSS,215.5,-0.0899658713703655,0.08582832093175256,-0.29081923416085204,-0.22817130793993087,0,HOLD
2025-04-14,GMKN,114.5,-0.10083750348573174,0.02920207976025539,-0.29081923416085204,-0.14096386558801907,0,HOLD
2025-04-14,LKOH,6474.0,-0.20078128288703134,-0.025674417778259507,-0.8665609192895424,0.3601210089448057,0,HOLD
2025-04-14,MAGN,32.26,-0.20758420215237167,-0.21767578323916534,-0.29081923416085204,-0.057502701422666946,0,HOLD
2025-04-14,AFKS,14.919,-0.25167923840487083,-0.20889517421846834,-0.29081923416085204,-0.2999294052369052,0,HOLD
2025-04-14,ALRS,48.44,-0.2604812795606565,-0.196471994428101,-0.4147186403719183,-0.18914845117515225,0,HOLD
2025-04-14,RUAL,32.875,-0.2754805155993054,-0.3138521273289404,-0.2429751435572891,-0.2283095443382423,0,HOLD
